measurementPoint,e2eLatencyMax-Min,e2eLatencyMax-Mean,e2eLatencyMax-Max,e2eLatencyMean-Min,e2eLatencyMean-Mean,e2eLatencyMean-Max,e2eLatencyMin-Min,e2eLatencyMin-Mean,e2eLatencyMin-Max,e2eLatency99.9%-Min,e2eLatency99.9%-Mean,e2eLatency99.9%-Max,e2eLatency95%-Min,e2eLatency95%-Mean,e2eLatency95%-Max,e2eLatencyUnit,e2eLatencyFactor,e2eLatencyAvailability,e2eLatencyConfigChanges,e2eDelayTargetMin,e2eDelayTargetMean,e2eDelayTargetMax,e2eDelayTargetTotal,e2eDelayTargetUnit,e2eDelayTargetFactor,e2eDelayTargetAvailability,e2eDelayTargetConfigChanges,localRoundtripTimeMax-Min,localRoundtripTimeMax-Mean,localRoundtripTimeMax-Max,localRoundtripTimeMean-Min,localRoundtripTimeMean-Mean,localRoundtripTimeMean-Max,localRoundtripTimeMin-Min,localRoundtripTimeMin-Mean,localRoundtripTimeMin-Max,localRoundtripTimeUnit,localRoundtripTimeFactor,localRoundtripTimeAvailability,localRoundtripTimeConfigChanges,remoteRoundtripTimeMax-Min,remoteRoundtripTimeMax-Mean,remoteRoundtripTimeMax-Max,remoteRoundtripTimeMean-Min,remoteRoundtripTimeMean-Mean,remoteRoundtripTimeMean-Max,remoteRoundtripTimeMin-Min,remoteRoundtripTimeMin-Mean,remoteRoundtripTimeMin-Max,remoteRoundtripTimeUnit,remoteRoundtripTimeFactor,remoteRoundtripTimeAvailability,remoteRoundtripTimeConfigChanges,applicationResponseTimeThresholdMin,applicationResponseTimeThresholdMean,applicationResponseTimeThresholdMax,applicationResponseTimeThresholdTotal,applicationResponseTimeThresholdUnit,applicationResponseTimeThresholdFactor,applicationResponseTimeThresholdAvailability,applicationResponseTimeThresholdConfigChanges,roundtripTimeEventThresholdMin,roundtripTimeEventThresholdMean,roundtripTimeEventThresholdMax,roundtripTimeEventThresholdTotal,roundtripTimeEventThresholdUnit,roundtripTimeEventThresholdFactor,roundtripTimeEventThresholdAvailability,roundtripTimeEventThresholdConfigChanges,e2eLatency99%-Min,e2eLatency99%-Mean,e2eLatency99%-Max
<!>cfgFile,/home/jpc/rnd/corvil/trunk/test/demo_get_stats_venues_1hour.cfg
<!>updateIntervalSeconds,300
<!>updateInterval,5 minutes
<!>startTimestampMs,1367284500000
<!>startTime,Tue Apr 30 02:15:00 2013
<!>endTimestampMs,1367288100000
<!>endTime,Tue Apr 30 03:15:00 2013
<!>noDataValues,previous
rt-class/OrderRouter/London_CNE//VENUE_London/Session-2/class-default,,,,,,,,,,,,,,,,ms,1000000,0,,1000000000,1000000000,1000000000,12000000000,ms,1000000,100,,,,,,,,,,,ms,1000,0,,,,,,,,,,,ms,1000,0,,200000,200000,200000,2400000,ms,1000,100,,200000,200000,200000,2400000,ms,1000,100,,,,
rt-class/OrderRouter/London_CNE//VENUE_London/Session-3/class-default,282560000,1802705583,8108901000,92298862,186521931,394410229,16988000,17431833,17720000,,,,261360569,536756003,1765809437,ms,1000000,100,,1000000000,1000000000,1000000000,12000000000,ms,1000000,100,,44278,44346,44672,44206,44226,44256,44080,44118,44212,ms,1000,100,,6720,8322,10447,3800,3985,4148,2627,2804,3043,ms,1000,100,,200000,200000,200000,2400000,ms,1000,100,,200000,200000,200000,2400000,ms,1000,100,,,,
rt-class/OrderRouter/London_CNE//VENUE_NewYork//class-default,,,,,,,,,,,,,,,,ms,1000000,0,,1000000000,1000000000,1000000000,12000000000,ms,1000000,100,,,,,,,,,,,ms,1000,0,,,,,,,,,,,ms,1000,0,,200000,200000,200000,2400000,ms,1000,100,,200000,200000,200000,2400000,ms,1000,100,,,,
rt-class/OrderRouter/London_CNE//VENUE_NewYork/Session-1/class-default,,,,,,,,,,,,,,,,ms,1000000,0,,1000000000,1000000000,1000000000,12000000000,ms,1000000,100,,,,,,,,,,,ms,1000,0,,,,,,,,,,,ms,1000,0,,200000,200000,200000,2400000,ms,1000,100,,200000,200000,200000,2400000,ms,1000,100,,,,
rt-class/PropTradersA/London_CNE//VENUE_NJ-ATS/order-ack-latency/class-default,54281000,150908000,320019000,19838334,19999204,20105308,8590000,9014666,9437000,37922202,40292072,41889703,27037519,28338716,29277759,ms,1000000,100,,100000000,100000000,100000000,1200000000,ms,1000000,100,,1405,6218,13889,285,291,298,18,36,44,ms,1000,100,,31631,33399,34579,18292,18330,18376,9025,10729,11792,ms,1000,100,,200000,200000,200000,2400000,ms,1000,100,,200000,200000,200000,2400000,ms,1000,100,,,,
rt-class/PropTradersA/London_CNE//VENUE_NJ-ATS/order-to-tick-latency/class-default,21451274000,21822419666,22144041000,99836405,105630688,112753498,0,0,0,16080102517,18250758693,19816988742,23756857,24744525,26242349,ms,1000000,100,,100000000,100000000,100000000,1200000000,ms,1000000,100,,1405,6218,13889,285,291,298,18,36,44,ms,1000,100,,31631,33399,34579,18292,18330,18376,9025,10729,11792,ms,1000,100,,200000,200000,200000,2400000,ms,1000,100,,200000,200000,200000,2400000,ms,1000,100,,,,
rt-class/PropTradersB/London_CNE//VENUE_Nasdaq/order-ack-latency/class-default,6681000,6681000,6681000,347279,355404,368428,127000,127000,127000,5557358,5557358,5557358,680861,708880,737275,ms,1000000,100,,100000000,100000000,100000000,1200000000,ms,1000000,100,,230,230,230,27,28,28,4,4,4,ms,1000,100,,2911,2911,2911,160,166,172,39,39,39,ms,1000,100,,200000,200000,200000,2400000,ms,1000,100,,200000,200000,200000,2400000,ms,1000,100,,,,
rt-class/PropTradersB/London_CNE//VENUE_Nasdaq/order-to-tick-latency/class-default,4533000,4533000,4533000,267701,274758,284942,85000,85000,85000,4376787,4406111,4464760,480629,503896,530914,ms,1000000,100,,100000000,100000000,100000000,1200000000,ms,1000000,100,,230,230,230,27,28,28,4,4,4,ms,1000,100,,2911,2911,2911,160,166,172,39,39,39,ms,1000,100,,200000,200000,200000,2400000,ms,1000,100,,200000,200000,200000,2400000,ms,1000,100,,,,
rt-class/VENUE_Chicago//London_CNE/AlgoEngine/AlgoLatency/class-default,,,,,,,,,,,,,,,,ms,1000000,0,,30000000,30000000,30000000,360000000,ms,1000000,100,,,,,,,,,,,ms,1000,0,,,,,,,,,,,ms,1000,0,,60000,60000,60000,720000,ms,1000,100,,60000,60000,60000,720000,ms,1000,100,,,,
rt-class/VENUE_Chicago//London_CNE/OrderRouter//class-default,,,,,,,,,,,,,,,,ms,1000000,0,,,,,,ms,1000000,0,,16123,16213,16357,16098,16103,16116,16037,16049,16076,ms,1000,100,,2799,4159,6019,2649,2674,2692,1921,2035,2178,ms,1000,83,,200000,200000,200000,2400000,ms,1000,100,,200000,200000,200000,2400000,ms,1000,100,,,,
rt-class/VENUE_Chicago//London_CNE/OrderRouter/Session-1/class-default,,,,,,,,,,,,,,,,ms,1000000,0,,,,,,ms,1000000,0,,16108,16179,16264,16095,16103,16115,16039,16052,16082,ms,1000,92,,2797,3648,4882,2636,2680,2814,1933,2156,2382,ms,1000,83,,200000,200000,200000,2400000,ms,1000,100,,200000,200000,200000,2400000,ms,1000,100,,,,
rt-class/VENUE_Chicago//London_CNE/OrderRouter/Session-2/class-default,,,,,,,,,,,,,,,,ms,1000000,0,,,,,,ms,1000000,0,,16112,16195,16357,16097,16104,16117,16037,16050,16075,ms,1000,92,,2799,3678,5990,2607,2672,2721,1921,2121,2309,ms,1000,83,,200000,200000,200000,2400000,ms,1000,100,,200000,200000,200000,2400000,ms,1000,100,,,,
rt-class/VENUE_Chicago//London_CNE/OrderRouter/Session-3/class-default,,,,,,,,,,,,,,,,ms,1000000,0,,,,,,ms,1000000,0,,16163,16202,16302,16100,16104,16110,16044,16048,16053,ms,1000,33,,2820,3763,6019,2613,2673,2732,2270,2298,2314,ms,1000,33,,200000,200000,200000,2400000,ms,1000,100,,200000,200000,200000,2400000,ms,1000,100,,,,
rt-class/VENUE_Chicago//London_CNE/OrderRouter/Session-4/class-default,,,,,,,,,,,,,,,,ms,1000000,0,,,,,,ms,1000000,0,,16134,16151,16161,16099,16105,16107,16037,16048,16070,ms,1000,33,,2773,3265,4023,2536,2663,2719,2029,2191,2325,ms,1000,33,,200000,200000,200000,2400000,ms,1000,100,,200000,200000,200000,2400000,ms,1000,100,,,,
rt-class/VENUE_LambdaATS//London_CNE/OrderRouter//class-default,,,,,,,,,,,,,,,,ms,1000000,0,,,,,,ms,1000000,0,,97939,97990,98087,97914,97935,97950,97875,97894,97929,ms,1000,83,,2580,2631,2686,2542,2567,2622,2429,2511,2587,ms,1000,83,,200000,200000,200000,2400000,ms,1000,100,,200000,200000,200000,2400000,ms,1000,100,,,,
rt-class/VENUE_Lambda_ATS//London_CNE/OrderRouter/Session-1/class-default,,,,,,,,,,,,,,,,ms,1000000,0,,,,,,ms,1000000,0,,97967,97995,98087,97930,97940,97962,97875,97900,97929,ms,1000,50,,2498,2615,2669,2498,2562,2640,2444,2519,2616,ms,1000,50,,200000,200000,200000,2400000,ms,1000,100,,200000,200000,200000,2400000,ms,1000,100,,,,
rt-class/VENUE_Lambda_ATS//London_CNE/OrderRouter/Session-2/class-default,,,,,,,,,,,,,,,,ms,1000000,0,,,,,,ms,1000000,0,,97939,97985,98053,97914,97932,97940,97880,97896,97915,ms,1000,75,,2580,2626,2686,2545,2570,2603,2429,2514,2587,ms,1000,75,,200000,200000,200000,2400000,ms,1000,100,,200000,200000,200000,2400000,ms,1000,100,,,,
rt-class/VENUE_London//London_CNE/OrderRouter//class-default,,,,,,,,,,,,,,,,ms,1000000,0,,,,,,ms,1000000,0,,44526,50638,58303,44186,44278,44597,44064,44076,44091,ms,1000,100,,6720,9048,15772,3548,3829,3930,2027,2264,2441,ms,1000,100,,200000,200000,200000,2400000,ms,1000,100,,200000,200000,200000,2400000,ms,1000,100,,,,
rt-class/VENUE_London//London_CNE/OrderRouter/Session-1/class-default,,,,,,,,,,,,,,,,ms,1000000,0,,,,,,ms,1000000,0,,44284,44324,44363,44284,44324,44363,44284,44324,44363,ms,1000,17,,6174,6174,6174,6174,6174,6174,6174,6174,6174,ms,1000,8,,200000,200000,200000,2400000,ms,1000,100,,200000,200000,200000,2400000,ms,1000,100,,,,
rt-class/VENUE_London//London_CNE/OrderRouter/Session-2/class-default,,,,,,,,,,,,,,,,ms,1000000,0,,,,,,ms,1000000,0,,,,,,,,,,,ms,1000,0,,,,,,,,,,,ms,1000,0,,200000,200000,200000,2400000,ms,1000,100,,200000,200000,200000,2400000,ms,1000,100,,,,
rt-class/VENUE_London//London_CNE/OrderRouter/Session-3/class-default,,,,,,,,,,,,,,,,ms,1000000,0,,,,,,ms,1000000,0,,44278,44346,44672,44206,44226,44256,44080,44118,44212,ms,1000,100,,6720,8322,10447,3800,3985,4145,2627,2804,3043,ms,1000,100,,200000,200000,200000,2400000,ms,1000,100,,200000,200000,200000,2400000,ms,1000,100,,,,
rt-class/VENUE_NJ-ATS//London_CNE/PropTradersA/order-ack-latency/class-default,,,,,,,,,,,,,,,,ms,1000000,0,,,,,,ms,1000000,0,,1405,6218,13889,285,291,298,18,36,44,ms,1000,100,,31631,33399,34579,18292,18330,18376,9025,10729,11792,ms,1000,100,,200000,200000,200000,2400000,ms,1000,100,,200000,200000,200000,2400000,ms,1000,100,,,,
rt-class/VENUE_NJ-ATS//London_CNE/PropTradersA/order-to-tick-latency/class-default,,,,,,,,,,,,,,,,ms,1000000,0,,100000000,100000000,100000000,1200000000,ms,1000000,100,,1405,6218,13889,285,291,298,18,36,44,ms,1000,100,,31631,33399,34579,18292,18330,18376,9025,10729,11792,ms,1000,100,,200000,200000,200000,2400000,ms,1000,100,,200000,200000,200000,2400000,ms,1000,100,,,,
rt-class/VENUE_Nasdaq//London_CNE/PropTradersB/order-ack-latency/class-default,,,,,,,,,,,,,,,,ms,1000000,0,,,,,,ms,1000000,0,,230,230,230,27,28,28,4,4,4,ms,1000,100,,2911,2911,2911,160,166,172,39,39,39,ms,1000,100,,200000,200000,200000,2400000,ms,1000,100,,200000,200000,200000,2400000,ms,1000,100,,,,
rt-class/VENUE_Nasdaq//London_CNE/PropTradersB/order-to-tick-latency/class-default,,,,,,,,,,,,,,,,ms,1000000,0,,100000000,100000000,100000000,1200000000,ms,1000000,100,,230,230,230,27,28,28,4,4,4,ms,1000,100,,2911,2911,2911,160,166,172,39,39,39,ms,1000,100,,200000,200000,200000,2400000,ms,1000,100,,200000,200000,200000,2400000,ms,1000,100,,,,
rt-class/VENUE_NewYork//London_CNE/OrderRouter//class-default,,,,,,,,,,,,,,,,ms,1000000,0,,,,,,ms,1000000,0,,,,,,,,,,,ms,1000,0,,,,,,,,,,,ms,1000,0,,200000,200000,200000,2400000,ms,1000,100,,200000,200000,200000,2400000,ms,1000,100,,,,
rt-class/VENUE_NewYork//London_CNE/OrderRouter/Session-1/class-default,,,,,,,,,,,,,,,,ms,1000000,0,,,,,,ms,1000000,0,,,,,,,,,,,ms,1000,0,,,,,,,,,,,ms,1000,0,,200000,200000,200000,2400000,ms,1000,100,,200000,200000,200000,2400000,ms,1000,100,,,,
