Name,Value
<!>samplingStatus,OK
system,V149221
OS,7.1.0
countryId,US
languageId,ENU
mainStorageSize,4194 MB
processorFeature,4982
systemModel,MHB
systemSerialNo,10050BP
timezone,GMT-06:00
totalActiveJobs,194
totalJobs,1220
upTime,63 days
