Parameter,Value
groupID,0
instance,stlimssp4.1.dacs_trans
path,/usr/triarch/tri_ins_current/dacs/bin/tran/dacs_trans
processID,2765
time,22:14:25 Tue Mar 06 2012
userID,0
version,dacs6.3.0.F2
