Parameter,Value
<!>WaitMessageID,0
<!>WaitEnabled,FALSE
<!>scpActive,1
<!>scpFailures,0
<!>scpStarts,1
<!>scpMaximum,1
RVProtoEnabled,FALSE
RVProtoStats,DOWN
RVUsageFileSize,0
RVusageAge,0
RxPingEnabled,TRUE
RxPingTimeout,45
ServerConnect,UP
ServerName,stlimssp4
SiteName,DACS
TxPingFrequency,30
Version,dacs6.3.0.F2
enableDistSvrC,TRUE
upTime,192223
