Name,Description,Object name,Manageable,Stats Provider,Event Provider
Default Datasource_mcf,Datasource for the WebSphere Default Application,WebSphere:name=Default Datasource_mcf;process=server1;platform=dynamicproxy;node=nysupsvr1fNode01;j2eeType=JDBCDriver;J2EEServer=server1;Server=server1;version=7.0.0.29;type=JDBCDriver;mbeanIdentifier=cells/nysupsvr1fNode01Cell/nodes/nysupsvr1fNode01/servers/server1/resources.xml#DataSource_1183122153625_mcf;cell=nysupsvr1fNode01Cell;DataSource=Default Datasource;spec=1.0,FALSE,FALSE,FALSE
PLANTSDB_mcf,Data source for the Plants by WebSphere entity beans,WebSphere:name=PLANTSDB_mcf;process=server1;platform=dynamicproxy;node=nysupsvr1fNode01;j2eeType=JDBCDriver;J2EEServer=server1;Server=server1;version=7.0.0.29;type=JDBCDriver;mbeanIdentifier=cells/nysupsvr1fNode01Cell/nodes/nysupsvr1fNode01/servers/server1/resources.xml#DataSource_1183122165968_mcf;cell=nysupsvr1fNode01Cell;DataSource=PLANTSDB;spec=1.0,FALSE,FALSE,FALSE
DefaultEJBTimerDataSource_mcf,Default data source for WebSphere EJB Timer Service,WebSphere:name=DefaultEJBTimerDataSource_mcf;process=server1;platform=dynamicproxy;node=nysupsvr1fNode01;j2eeType=JDBCDriver;J2EEServer=server1;Server=server1;version=7.0.0.29;type=JDBCDriver;mbeanIdentifier=cells/nysupsvr1fNode01Cell/nodes/nysupsvr1fNode01/servers/server1/resources.xml#DataSource_1000001_mcf;cell=nysupsvr1fNode01Cell;DataSource=DefaultEJBTimerDataSource;spec=1.0,FALSE,FALSE,FALSE
PLANTSDBNonJTA_mcf,Data source for the Plants by WebSphere entity beans; non-JTA,WebSphere:name=PLANTSDBNonJTA_mcf;process=server1;platform=dynamicproxy;node=nysupsvr1fNode01;j2eeType=JDBCDriver;J2EEServer=server1;Server=server1;version=7.0.0.29;type=JDBCDriver;mbeanIdentifier=cells/nysupsvr1fNode01Cell/nodes/nysupsvr1fNode01/servers/server1/resources.xml#DataSource_1204733259593_mcf;cell=nysupsvr1fNode01Cell;DataSource=PLANTSDBNonJTA;spec=1.0,FALSE,FALSE,FALSE
