Name,Connection Factories,Archive Path,State,Start Time,Event Types,Stats,Description,Object Name,State Manageable,Statistics Provider,Event Provider
WebSphere MQ Resource Adapter_duplicate1,[Ljava.lang.String;@2d2b0f0f,/opt/IBM/WebSphere/AppServer/installedConnectors/wmq.jmsra.rar,1,1.37513E+12,[Ljava.lang.String;@aa646025,null,WAS 7.0.0.1 Built In WebSphere MQ Resource Adapter,WebSphere:name=WebSphere MQ Resource Adapter;process=server1;platform=dynamicproxy;node=nysupsvr1fNode01;j2eeType=JCAResource;J2EEServer=server1;Server=server1;version=7.0.0.29;type=J2CResourceAdapter;mbeanIdentifier=cells/nysupsvr1fNode01Cell/nodes/nysupsvr1fNode01/servers/server1/resources.xml#J2CResourceAdapter_1372357479705;cell=nysupsvr1fNode01Cell;spec=1.0,TRUE,FALSE,TRUE
WebSphere Relational Resource Adapter_duplicate1,[Ljava.lang.String;@b97ee350,/opt/IBM/WebSphere/AppServer/lib/rsadapter.rar,1,1.37513E+12,[Ljava.lang.String;@13bcaac3,null,Built-in Relational Resource Adapter for WebSphere Persistence,WebSphere:name=WebSphere Relational Resource Adapter;process=server1;platform=dynamicproxy;node=nysupsvr1fNode01;j2eeType=JCAResource;J2EEServer=server1;Server=server1;version=7.0.0.29;type=J2CResourceAdapter;mbeanIdentifier=cells/nysupsvr1fNode01Cell/nodes/nysupsvr1fNode01/servers/server1/resources.xml#builtin_rra;cell=nysupsvr1fNode01Cell;spec=1.0,TRUE,FALSE,TRUE
WebSphere Relational Resource Adapter_duplicate2,[Ljava.lang.String;@af036f6d,/opt/IBM/WebSphere/AppServer/lib/rsadapter.rar,1,1.37513E+12,[Ljava.lang.String;@fbebc869,null,Built-in Relational Resource Adapter for WebSphere Persistence,WebSphere:name=WebSphere Relational Resource Adapter;process=server1;platform=dynamicproxy;node=nysupsvr1fNode01;j2eeType=JCAResource;J2EEServer=server1;Server=server1;version=7.0.0.29;type=J2CResourceAdapter;mbeanIdentifier=cells/nysupsvr1fNode01Cell/nodes/nysupsvr1fNode01/resources.xml#builtin_rra;cell=nysupsvr1fNode01Cell;spec=1.0,TRUE,FALSE,TRUE
SIB JMS Resource Adapter_duplicate1,[Ljava.lang.String;@3d3dea6a,/opt/IBM/WebSphere/AppServer/installedConnectors/sib.api.jmsra.rar,1,1.37513E+12,[Ljava.lang.String;@739665b0,null,Default messaging provider,WebSphere:name=SIB JMS Resource Adapter;process=server1;platform=dynamicproxy;node=nysupsvr1fNode01;j2eeType=JCAResource;J2EEServer=server1;Server=server1;version=7.0.0.29;type=J2CResourceAdapter;mbeanIdentifier=cells/nysupsvr1fNode01Cell/resources.xml#J2CResourceAdapter_1372357479759;cell=nysupsvr1fNode01Cell;spec=1.0,TRUE,FALSE,TRUE
WebSphere Relational Resource Adapter_duplicate3,[Ljava.lang.String;@3683dec,/opt/IBM/WebSphere/AppServer/lib/rsadapter.rar,1,1.37513E+12,[Ljava.lang.String;@3a2a826c,null,Built-in Relational Resource Adapter for WebSphere Persistence,WebSphere:name=WebSphere Relational Resource Adapter;process=server1;platform=dynamicproxy;node=nysupsvr1fNode01;j2eeType=JCAResource;J2EEServer=server1;Server=server1;version=7.0.0.29;type=J2CResourceAdapter;mbeanIdentifier=cells/nysupsvr1fNode01Cell/resources.xml#builtin_rra;cell=nysupsvr1fNode01Cell;spec=1.0,TRUE,FALSE,TRUE
SIB JMS Resource Adapter_duplicate2,[Ljava.lang.String;@fe82ef40,/opt/IBM/WebSphere/AppServer/installedConnectors/sib.api.jmsra.rar,1,1.37513E+12,[Ljava.lang.String;@eb299128,null,Default messaging provider,WebSphere:name=SIB JMS Resource Adapter;process=server1;platform=dynamicproxy;node=nysupsvr1fNode01;j2eeType=JCAResource;J2EEServer=server1;Server=server1;version=7.0.0.29;type=J2CResourceAdapter;mbeanIdentifier=cells/nysupsvr1fNode01Cell/nodes/nysupsvr1fNode01/servers/server1/resources.xml#J2CResourceAdapter_1372357479595;cell=nysupsvr1fNode01Cell;spec=1.0,TRUE,FALSE,TRUE
SIB JMS Resource Adapter_duplicate3,[Ljava.lang.String;@a26528b1,/opt/IBM/WebSphere/AppServer/installedConnectors/sib.api.jmsra.rar,1,1.37513E+12,[Ljava.lang.String;@8b3a203,null,Default messaging provider,WebSphere:name=SIB JMS Resource Adapter;process=server1;platform=dynamicproxy;node=nysupsvr1fNode01;j2eeType=JCAResource;J2EEServer=server1;Server=server1;version=7.0.0.29;type=J2CResourceAdapter;mbeanIdentifier=cells/nysupsvr1fNode01Cell/nodes/nysupsvr1fNode01/resources.xml#J2CResourceAdapter_1372357479324;cell=nysupsvr1fNode01Cell;spec=1.0,TRUE,FALSE,TRUE
WebSphere MQ Resource Adapter_duplicate2,[Ljava.lang.String;@3c26f163,/opt/IBM/WebSphere/AppServer/installedConnectors/wmq.jmsra.rar,1,1.37513E+12,[Ljava.lang.String;@b16968c7,null,WAS 7.0.0.1 Built In WebSphere MQ Resource Adapter,WebSphere:name=WebSphere MQ Resource Adapter;process=server1;platform=dynamicproxy;node=nysupsvr1fNode01;j2eeType=JCAResource;J2EEServer=server1;Server=server1;version=7.0.0.29;type=J2CResourceAdapter;mbeanIdentifier=cells/nysupsvr1fNode01Cell/resources.xml#J2CResourceAdapter_1372357479817;cell=nysupsvr1fNode01Cell;spec=1.0,TRUE,FALSE,TRUE
WebSphere MQ Resource Adapter_duplicate3,[Ljava.lang.String;@feb277ce,/opt/IBM/WebSphere/AppServer/installedConnectors/wmq.jmsra.rar,1,1.37513E+12,[Ljava.lang.String;@e2ec2d66,null,WAS 7.0.0.1 Built In WebSphere MQ Resource Adapter,WebSphere:name=WebSphere MQ Resource Adapter;process=server1;platform=dynamicproxy;node=nysupsvr1fNode01;j2eeType=JCAResource;J2EEServer=server1;Server=server1;version=7.0.0.29;type=J2CResourceAdapter;mbeanIdentifier=cells/nysupsvr1fNode01Cell/nodes/nysupsvr1fNode01/resources.xml#J2CResourceAdapter_1372357479471;cell=nysupsvr1fNode01Cell;spec=1.0,TRUE,FALSE,TRUE
