name,type,uncommitted,url,accessible,capacity,Free Space,Maintenance Mode
SAS_SP4_VMWARE_VMFS5_WEBMETHODS_01,VMFS,522362705928,ds:///vmfs/volumes/53611cc6-e8dc2fe0-fad2-e83935c08886/,true,1099780063232,995472965632,normal
SAS_SP1_VMWARE_VMFS5_EQSSP_ESXMBX02,VMFS,2088913757711,ds:///vmfs/volumes/526012f4-4cae6982-801a-e83935a8a94a/,true,2198754820096,2197567832064,normal
SATA_SP1_VMWARE_VMFS3_SharedServices_01,VMFS,580161372160,ds:///vmfs/volumes/518bb708-e3145315-578e-1cc1deeeff7d/,true,2198754820096,1495143546880,normal
SATA_SP1_VMWARE_VMFS3_SharedServices_02,VMFS,770342649856,ds:///vmfs/volumes/518bb6b4-b63daa90-83ab-1cc1deeeff7d/,true,2198754820096,1842952011776,normal
datastore1 (5),VMFS,,ds:///vmfs/volumes/5015e28d-b77415e8-6e63-ac162dbd3605/,true,141465485312,140447318016,normal
SAS_SP2_VMWARE_VMFS5_SharedServices_04,VMFS,2432893874707,ds:///vmfs/volumes/528f9263-a387c46f-1d07-e83935a8a94a/,true,2576711942144,371190661120,normal
SAS_SP1_VMWARE_WJCLDTC04_SQL_LOG,VMFS,,ds:///vmfs/volumes/50217e32-af6e860a-b4ba-1cc1deeeff7d/,true,85630910464,83763396608,normal
SAS_SP1_VMWARE_WJCLDTC03_SQL,VMFS,,ds:///vmfs/volumes/50217156-c5af77dc-be01-1cc1deeeff7d/,true,536870912000,536277417984,normal
SAS_SP2_VMWARE_VMFS5_SharedServices_03,VMFS,3699976982406,ds:///vmfs/volumes/528b9332-631bc6bc-9f43-e83935a8a94a/,true,2088964718592,500948795392,normal
SAS_SP2_VMWARE_VMFS5_SharedServices_02,VMFS,2453539286070,ds:///vmfs/volumes/5293a5a2-130102bd-be47-ac162dbd77be/,true,2198754820096,392517648384,normal
SAS_SP2_VMWARE_VMFS5_SharedServices_01,VMFS,3435374105655,ds:///vmfs/volumes/50e5b572-b1e60b35-d74c-ac162dbd77be/,true,4397778075648,2493681500160,normal

