processName,/group,instanceCount,percentCPU,residentSetSize,processId,numThreads,percentMemory,virtualMemory,startTime,args,user
AdapterIn1,,1,0.1 %,27820 Kb,18136,20,0.7 %,106364 Kb,Thu Aug  8 12:47:13 2013,java -Dproperty=IMPITF1 -Dlog4j.configuration=file://///opt/2la/STP_IN/ImpItfTest1/conf/log4j.xml -classpath /usr/tibco/tibrv/8.1/lib/tibrvj.jar:/opt/2la/STP_IN/ImpItfTest1/lib/2la_monik.jar:/opt/2la/STP_IN/ImpItfTest1/lib/impitf.jar:/opt/2la/STP_IN/ImpItfTest1/lib/commons-io-1.4.jar:/opt/2la/STP...,kplus
AdapterOut1,,1,0.0 %,772 Kb,5681,1,0.1 %,1584 Kb,Thu Aug  8 10:42:41 2013,/bin/ksh /usr/kplushome/bin/startksrv E1 kplusexport,kplus
SybaseProcess,,1,0.6 %,323160 Kb,967,81,7.8 %,356580 Kb,Thu Aug  8 09:49:30 2013,/opt/sybase/ASE-15_0/bin/dataserver -d/opt/sybase/data/master.dat -e/opt/sybase,sybase
