Router,CPUUtilization,Uptime,ifErrors,ifDiscards,CustLANUtilIn,CustLANUtilOut,ServerLANUtilIn,ServerLANUtilOut,WANUtilIn,WANUtilOut
<!>Feed_Status,OK
<!>location,New York
R101318,1,4,0,0,0.14,8.68,0,0,1.61,0.21
R101320,4,4,0,0,2.99,26.16,13.74,13.74,13.64,2.95
R103218,1,57,0,0,0.01,0.02,0.02,0.01,0,0.01
R103454,2,200,0,0,0.68,2.36,0.11,0.02,21.14,3.37
R107646,2,193,0,0,0,2.92,0.17,0.61,23.83,3.4
R109671,15,481,0,0,0,0.11,,,1.03,4.85
R109672,12,481,0,0,1.06,0.44,,,4.27,5.17
