name,status,permissions,lastModificationTime,fileSize,updateRate,triggerDetails,fileOwner,filename,/group
/opt/extdl29/main/app3/logs/mxsoaprelay/mxsoapregistry/service.log,OK,644 (-rw-r--r--),Tue Jul  9 15:29:11 2013,1.7 Kb,0.0000 Kb/sec,,extdl29,service.log,
/opt/extdl29/main/app3/logs/mxsqluserauthorizedlists/mxsqluserauthorizedlists_engine/service.log,OK,644 (-rw-r--r--),Fri Jul 26 11:30:24 2013,5.0 Kb,0.0000 Kb/sec,,extdl29,service.log,
/opt/extdl29/main/app3/logs/mxstaticsrepository/mxenvironmentrepository_loader/service.log,NOT_FOUND: No such file or directory,,,,,,,service.log,
/opt/extdl29/main/app3/logs/mxstaticsrepository/mxstaticsrepository_loader/service.log,NOT_FOUND: No such file or directory,,,,,,,service.log,
/opt/extdl29/main/app3/logs/mxtemplates/mxtemplates_spaces/service.log,OK,644 (-rw-r--r--),Thu Jul 11 09:38:49 2013,3.7 Kb,0.0000 Kb/sec,,extdl29,service.log,
/opt/extdl29/main/app3/logs/mxtraderepository/mxtraderepository_engine/service.log,NOT_FOUND: No such file or directory,,,,,,,service.log,
/opt/extdl29/main/app3/logs/mxwarehouse/mxwarehouse/service.log,OK,644 (-rw-r--r--),Wed Aug  7 14:49:47 2013,10.4 Kb,0.0000 Kb/sec,,extdl29,service.log,
/opt/extdl29/main/app3/logs/mxwarehouse/mxwarehouse_static_data/service.log,OK,644 (-rw-r--r--),Tue Jul  9 15:29:02 2013,6.2 Kb,0.0000 Kb/sec,,extdl29,service.log,
/opt/extdl29/main/app3/logs/printsrv/printsrv/service.log,NOT_FOUND: No such file or directory,,,,,,,service.log,
/opt/extdl29/main/app3/logs/traces/logs/mxdatapublisher/mxdatapublisher/service.log,NOT_FOUND: No such file or directory,,,,,,,service.log,
/opt/extdl29/main/app3/logs/traces/logs/mxodr/mxdealscanner_engine/service.log,NOT_FOUND: No such file or directory,,,,,,,service.log,
/opt/extdl29/main/app3/logs/traces/logs/mxprocessingscript/mxprocessingscript/service.log,NOT_FOUND: No such file or directory,,,,,,,service.log,
/opt/extdl29/main/app3/logs/traces/logs/mxsession/mx/service.log,NOT_FOUND: No such file or directory,,,,,,,service.log,
/opt/extdl29/main/app3/logs/traces/logs/mxtraderepository/mxtraderepository_engine/service.log,NOT_FOUND: No such file or directory,,,,,,,service.log,
