name,listenSubject,status
<!>rvTransportState,Initialised
<!>rvService,7475
<!>rvNetwork,239.193.8.141
<!>rvDaemon,rcp:7500
ML.EQTY.ETS.MONITOR.ED-EMEA.PRD.MLXN1.MLXN,ML.EQTY.ETS.MONITOR.ED-EMEA.PRD.MLXN1.MLXN,Pending Initialise on Read
