name,status,triggerDetails,updateRate,fileSize,lastModificationTime,permissions,filename,/group
<!>filesMonitored,3
<!>filesInError,0
<!>filesInWarning,0
<!>filesNotFound,1
MLXN1,NOT_FOUND, , , , , ,MLXN1, ,
MLXN,OK, ,3.6052 Kb/sec,219977.9 Kb,Mon Jun 15 16:24:38 2009,644 (-rw-r--r--),Daily, 
gc*,OK, ,0.0038 Kb/sec,26.4 Kb,Mon Jun 15 16:23:55 2009,644 (-rw-r--r--),gc-2009-06-15-06:00:53.log, 
