Process Name,/group,instanceCount,args,percentCPU,processId,parentProcessId,percentMemory,user,startTime,ageDays,ageHours,fileDescriptors,state,cpuTime,cpuSeconds
MLXN1_APPLICATION, ,1,/tools/jav ... -XX:+PrintGCApplicationStoppedTime com.ml.ets.apptk.APPTKMain,0.38 %,841,32251,4.72 %,ettprod,Mon Jun 15 06:02:52 2009,0 Days,10 Hours,51,Sleeping, , 
MLXN1_CONTROLLER, ,1,/opt/TPper ...  -w /gbwaapettp11/apps/ettprod/MLXN1/scripts/tprun -app MLXN1,0.00 %,32251,1,0.04 %,ettprod,Mon Jun 15 06:00:23 2009,0 Days,10 Hours,5,Sleeping, , 
