processName,/group,instanceCount,percentCPU,residentSetSize,processId,numThreads,percentMemory,virtualMemory,startTime,args,user,
bbsoscks#036,,1,0.8 %,12704 Kb,29340,1,0.4 %,16752 Kb,Mon Dec 20 11:41:58 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#037,,1,0.0 %,11936 Kb,14587,1,0.3 %,16816 Kb,Mon Dec 20 13:03:20 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#038,,1,0.9 %,13144 Kb,24042,1,0.4 %,16816 Kb,Mon Dec 20 13:52:27 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#039,,1,0.1 %,12840 Kb,5393,1,0.4 %,16752 Kb,Mon Dec 20 14:50:13 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#040,,1,0.0 %,11936 Kb,3864,1,0.3 %,16816 Kb,Mon Dec 20 22:35:23 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#041,,1,0.0 %,11936 Kb,3863,1,0.3 %,16816 Kb,Mon Dec 20 22:35:23 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#042,,1,0.0 %,11944 Kb,3862,1,0.3 %,16816 Kb,Mon Dec 20 22:35:23 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#043,,1,0.0 %,11752 Kb,3866,1,0.3 %,16816 Kb,Mon Dec 20 22:35:24 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#044,,1,0.0 %,11936 Kb,3865,1,0.3 %,16816 Kb,Mon Dec 20 22:35:24 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#045,,1,0.0 %,11880 Kb,3872,1,0.3 %,16816 Kb,Mon Dec 20 22:35:43 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#046,,1,0.0 %,11944 Kb,3871,1,0.3 %,16816 Kb,Mon Dec 20 22:35:33 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
