Item,Value
Expiry Time (GMT),Fri Jan 02 00:00:00 EST 2015
Max Unique Users,-1
Unique Users Period,31
Max concurrent logins per app,-1
Status of the licence,Within license limit
Licensed Company,Caplin Systems
Max Cncurrent Logins Per User,-1
Max DataSource Peers,-1
Max Users,-1
Max Cluster Size,0
HTTPS Allowed,enabled
Licenced Product,rttpd
Max Session Threads,0
