Remote Name,Connection,Local Type,Remote Type,State,Label,Address,Port,Local ID,Remote ID
liberator1,Outgoing,Active,Broadcast,UP,liberator1,localhost,15001,102,101
demosrc-nysupsvr10,Incoming,Broadcast,Active,UP,DemoDataSource1,127.0.0.1,39387,102,103
