name,localAddress,remoteAddress,sendQueue,recvQueue,state,type
<!>Total connections,3
192.168.115.153:8101-192.168.115.155:60383,192.168.115.153:8101,192.168.115.155:60383,0,0,ESTABLISHED,tcp
192.168.115.153:8101-192.168.115.155:60376,192.168.115.153:8101,192.168.115.155:60376,0,0,ESTABLISHED,tcp
192.168.115.153:8101-192.168.115.155:43877,192.168.115.153:8101,192.168.115.155:43877,0,0,ESTABLISHED,tcp
