Process Name,/group,instanceCount,args,percentCPU,processId,parentProcessId,percentMemory,user,startTime,ageDays,ageHours,fileDescriptors,state,cpuTime,cpuSeconds
SOR_PASS_1_APPLICATION, ,1,/gbwaapettp13/apps/ettprod/SOR_PASS_1/bin/sor,2.32 %,6873,5669,3.00 %,ettprod,Mon Jun 15 06:40:42 2009,0 Days,9 Hours,157,Sleeping, , 
SOR_PASS_1_CONTROLLER, ,1,/opt/TPper ... pettp13/apps/ettprod/SOR_PASS_1/scripts/tprun -app SOR_PASS_1,0.00 %,5669,1,0.04 %,ettprod,Mon Jun 15 06:40:33 2009,0 Days,9 Hours,5,Sleeping, ,
