GENEOS Status Report,
Monday 20 Jul 2015 17:36:05,
samplingStatus,Currency,HistClose,IndexName,IndexValue,NetChange,Open,Time,TradeDate,
OK,CNY,3924.4871,SSE COMPOSITE   ,3805.8106,-118.6765,3874.9681,7:10:4,7/15/2015,
instrument,Name,Value,LastValue,PctChange,Time,DataState,Timeliness,SeqNumber,Ticks,
600078.SS,CHENGXING CHEM  ,9.8,,-10.01,6:59:56,Ok,RealTime,61376,1,
600079.SS,HUMANWELL       ,34.45,33.67,-10.01,6:59:55,Ok,RealTime,46656,1,
600080.SS,GINWA           ,9.78,,0.62,6:59:56,Ok,RealTime,30912,1,
600081.SS,DONGFENG TECH   ,15,13.77,-10.02,6:59:32,Ok,RealTime,32464,1,
600082.SS,HI-TECH DEVLP   ,5.92,5.9,-10.03,6:59:56,Ok,RealTime,46400,1,
600083.SS,GUANGDONG BOXIN ,10.58,9.71,-9.96,6:59:54,Ok,RealTime,36144,1,
600084.SS,CITIC GUOAN VINE,8.87,,-9.95,6:59:35,Ok,RealTime,35680,1,
600085.SS,TONGRENTANG     ,26.65,27.29,-9.97,6:59:58,Ok,RealTime,59600,1,
600086.SS,GOLD JADE       ,43.97,45.76,-10.01,6:59:45,Ok,RealTime,24176,1,
600088.SS,CTV MEDIA       ,23.18,21.29,-10.02,6:59:59,Ok,RealTime,4416,1,
600089.SS,TEBA            ,14.07,,3.91,6:59:59,Ok,RealTime,35536,1,
600090.SS,XIN JIANG HOPS  ,12.23,,0.74,6:59:58,Ok,RealTime,13264,1,
600091.SS,TOMORROW TECH   ,9.31,10.44,-5,6:57:29,Ok,RealTime,36128,1,
600093.SS,HEJIA COMPANY   ,13.23,,1.15,6:59:55,Ok,RealTime,18144,1,
600094.SS,GREATTOWN       ,,,,,Ok,RealTime,1856,1,
600095.SS,HARBIN HI-TECH  ,8.37,8.54,-10,6:59:46,Ok,RealTime,59680,1,
600096.SS,YUNTIANHUA      ,9.94,9.93,-9.96,6:59:58,Ok,RealTime,38208,1,
600097.SS,KAICHUANG MARINE,,,,,Ok,RealTime,1280,1,
600098.SS,GUANGZHOU DEV   ,10.1,8.37,-0.3,6:59:59,Ok,RealTime,13040,1,
600099.SS,LINHAI          ,,,,,Ok,RealTime,1120,1,
600100.SS,TONGFANG        ,16.81,13.89,0,6:59:59,Ok,RealTime,60336,1,
600101.SS,MINGXING ELECT  ,9.19,8.99,-9.99,6:59:57,Ok,RealTime,27440,1,
600103.SS,QINGSHAN PAPER  ,5.58,,-7.77,6:59:59,Ok,RealTime,42720,1,
600104.SS,SAIC MOTOR      ,23.71,26.1,1.98,6:59:59,Ok,RealTime,26016,1,
600105.SS,JIANG SU ETERN  ,20.07,,-10,6:59:44,Ok,RealTime,6912,1,
600106.SS,CHONGQING ROAD  ,7.89,7.76,-10.03,6:59:50,Ok,RealTime,14496,1,
600107.SS,MAILYARD        ,9.88,9.46,-10.02,6:59:46,Ok,RealTime,34560,1,
600108.SS,YASHENG INDUST  ,6.76,6.67,-9.99,6:59:59,Ok,RealTime,55872,1,
600109.SS,SINOLINK SEC    ,17.4,,-9.23,6:59:59,Ok,RealTime,50224,1,
600110.SS,CHINA-KINWA     ,,,,,Ok,RealTime,1696,1,
600111.SS,RARE-EARTH      ,15.39,15.73,-5.76,6:59:59,Ok,RealTime,48704,1,
600112.SS,CHANGZHENG      ,13.52,12.41,-9.99,6:59:59,Ok,RealTime,15264,1,
600113.SS,ZJ DONGRI       ,14.38,18.45,-10.01,6:59:30,Ok,RealTime,8768,1,
600114.SS,NBTM NEW MAT    ,13.42,11.74,-5.49,6:59:57,Ok,RealTime,49040,1,
600115.SS,CHINA EAST AIR  ,8.64,9.16,-10,6:59:59,Ok,RealTime,55504,1,
600116.SS,THREE GORGES    ,13.25,13.26,-9.25,6:59:58,Ok,RealTime,5056,1,
600117.SS,XINING STEEL    ,6.71,,-9.93,6:59:56,Ok,RealTime,10720,1,
600118.SS,CHINA SPACESAT  ,41.47,38.08,-10,6:59:59,Ok,RealTime,43808,1,
600119.SS,YANGTZE RIVER   ,16.2,,-3.05,6:59:58,Ok,RealTime,9792,1,
600120.SS,ZJ ORIENT       ,25.15,22.77,-8.74,6:59:59,Ok,RealTime,7712,1,
600121.SS,ZHENGZHOU PWR   ,6.77,,-9.37,6:59:59,Ok,RealTime,9920,1,
600122.SS,HONGTU HI-TECH  ,,,,,Ok,RealTime,1392,1,
600123.SS,LANHUA SCI-TEC  ,7.94,8.37,-9.98,6:59:59,Ok,RealTime,49120,1,
600125.SS,TIELONG LOG     ,9.93,,-9.97,6:59:59,Ok,RealTime,53776,1,
600126.SS,HANG ZHOU IRON  ,7.39,7.26,-9.77,6:59:59,Ok,RealTime,8720,1,
600127.SS,JINJIAN CEREAL  ,7.88,8.75,-9.94,6:59:58,Ok,RealTime,5296,1,
600128.SS,JIANGSU HOLLY   ,12.72,12.08,-9.98,6:59:54,Ok,RealTime,43568,1,
600129.SS,TAIJI           ,19.77,17.94,-8.89,6:59:59,Ok,RealTime,3712,1,
600130.SS,NINGBO BIRD     ,10.16,12.09,-10.01,6:59:59,Ok,RealTime,24944,1,
600131.SS,SC MINJIANG     ,7.95,8.03,-9.97,6:59:45,Ok,RealTime,34112,1,
600132.SS,CHONGQING BREW  ,16.28,16.61,-9.71,6:59:57,Ok,RealTime,45184,1,
600133.SS,EASTLAKE TECH   ,7.79,7.74,-10.05,6:59:55,Ok,RealTime,61840,1,
600135.SS,LUCKY FILM      ,13.49,12.95,-10.01,6:59:53,Ok,RealTime,14480,1,
600136.SS,DOUBLE COMPANY  ,,,,,Ok,RealTime,1104,1,
600137.SS,SC LANGSHA      ,,,,,Ok,RealTime,1168,1,
600138.SS,CYTS TOURS      ,19.07,19.94,-10,6:59:59,Ok,RealTime,4672,1,
600139.SS,WESTERN RESOURCE,,,,,Ok,RealTime,1712,1,
600141.SS,XINGFA CHEM     ,12.54,13.08,-9.91,6:59:59,Ok,RealTime,39648,1,
600143.SS,KINGFA          ,9.79,8.99,-10.02,6:59:59,Ok,RealTime,61648,1,
600145.SS,GUOCHUANG ENERGY,,,,,Ok,RealTime,1120,1,
600146.SS,DAYUAN CHEM     ,,,,,Ok,RealTime,33200,1,
600148.SS,YIDONG          ,16.86,15.48,-9.98,6:59:37,Ok,RealTime,60368,1,
600149.SS,C&T TECH DEV    ,12.47,,-8.71,6:59:59,Ok,RealTime,44512,1,
600150.SS,CSSC HOLDINGS   ,36.61,37.21,-8.73,6:59:59,Ok,RealTime,51552,1,
600151.SS,AEROSPACE AUTO  ,11.93,11.39,-10.03,6:59:59,Ok,RealTime,63824,1,
600152.SS,VEKEN ELITE     ,8.31,7.83,-9.97,6:59:15,Ok,RealTime,41232,1,
600153.SS,XIAMEN C&D      ,,,,,Ok,RealTime,2016,1,
600155.SS,BAOSHUO         ,,,,,Ok,RealTime,1728,1,
600156.SS,HUASHENG        ,7.8,,-5.22,6:59:58,Ok,RealTime,49104,1,
600157.SS,WINTIME ENERGY  ,5.29,,0.38,6:59:59,Ok,RealTime,15072,1,
600158.SS,CHINA SPORTS    ,19.6,18.43,-10.01,6:59:54,Ok,RealTime,53296,1,
600159.SS,DALONG WEIYE    ,5.41,5.36,-9.98,6:59:53,Ok,RealTime,51312,1,
600160.SS,JU HUA          ,7.75,,-9.99,6:59:58,Ok,RealTime,64512,1,
600161.SS,TIANTAN BIO     ,26.96,24.75,-9.98,6:59:42,Ok,RealTime,54144,1,
600162.SS,HEUNGKONG HOLD  ,6.89,,-8.74,6:59:59,Ok,RealTime,49616,1,
600163.SS,FUJIAN NANZHI   ,6.34,6.37,-4.95,6:59:37,Ok,RealTime,36608,1,
600165.SS,XINRI HENGLI    ,,,,,Ok,RealTime,51728,1,
600166.SS,FOTON MOTOR     ,6.46,6.51,-9.65,6:59:59,Ok,RealTime,42176,1,
600167.SS,LUENMEI GROUP   ,,,,,Ok,RealTime,1136,1,
600168.SS,WUHAN SANZHEN   ,11,10.27,-9.98,6:59:59,Ok,RealTime,1680,1,
600169.SS,TAIYUAN HEAVY   ,6.35,6.16,-9.93,6:59:59,Ok,RealTime,59776,1,
600170.SS,SHANGHAI CONST  ,8.07,8.48,-10.03,6:59:57,Ok,RealTime,57088,1,
600171.SS,SH BELLING      ,16.8,15.74,-10.02,6:59:47,Ok,RealTime,19568,1,
600172.SS,WHIRLWIND       ,17.42,,-5.22,6:59:59,Ok,RealTime,32768,1,
600173.SS,WOLONG REAL EST ,6.38,,-3.33,6:59:59,Ok,RealTime,37904,1,
600175.SS,MEIDU ENERGY    ,,,,,Ok,RealTime,2000,1,
600176.SS,CHINA JUSHI     ,21.6,20.97,-10,6:59:59,Ok,RealTime,18128,1,
600177.SS,YOUNGOR GROUP   ,18.12,17.29,-4.73,6:59:59,Ok,RealTime,10480,1,
600178.SS,DONGAN AUTO     ,9.41,7.74,0.53,6:59:58,Ok,RealTime,2336,1,
600179.SS,HEIHUA          ,11.17,,-9.85,6:59:57,Ok,RealTime,43984,1,
600180.SS,CCS SUPPLY CHAIN,22.58,,-5.92,6:59:59,Ok,RealTime,34960,1,
600182.SS,S GITI TIRE     ,19.45,21.48,-4.98,6:59:37,Ok,RealTime,16496,1,
600183.SS,SHENGYI TECH    ,7.77,7.57,-9.97,6:59:58,Ok,RealTime,40240,1,
600184.SS,ELECTRO-OPTIC   ,22.78,18.59,1.24,6:59:57,Ok,RealTime,10720,1,
600185.SS,GREE REAL ESTATE,24.31,23.75,-10,6:59:57,Ok,RealTime,26176,1,
600186.SS,LOTUS GOURMET   ,,,,,Ok,RealTime,1680,1,
600187.SS,INTERCHINA WATER,,,,,Ok,RealTime,45824,1,
600188.SS,YANZHOU COAL    ,10.59,11.78,-10.03,6:59:56,Ok,RealTime,672,1,
600189.SS,JILIN FOREST    ,11.44,11.8,-9.92,6:59:59,Ok,RealTime,26976,1,
600190.SS,JINZHOU PORT    ,5.71,5.6,-9.94,6:59:59,Ok,RealTime,30272,1,
600191.SS,HUAZI INDUSTRY  ,,,,,Ok,RealTime,1280,1,
600192.SS,GREATWALL ELE   ,9.5,9.93,-9.95,6:59:57,Ok,RealTime,54128,1,
600193.SS,PROSOLAR RESOURC,13.48,11.14,10.04,6:59:52,Ok,RealTime,4912,1,
600195.SS,CHINA ANIMAL    ,20.93,20.82,-9.98,6:59:56,Ok,RealTime,30816,1,
600196.SS,FOSUN PHARM     ,25.19,26.47,-10,6:59:56,Ok,RealTime,19328,1,
600197.SS,YILITE          ,10.98,11.13,-10,6:59:43,Ok,RealTime,15408,1,
600198.SS,DATANG TELECOM  ,26.21,24.06,-9.99,6:59:49,Ok,RealTime,1200,1,
600199.SS,GOLD SEED WINE  ,9.37,9.94,-9.99,6:59:56,Ok,RealTime,8352,1,
600200.SS,WUZHONG         ,23.41,,-10,6:59:51,Ok,RealTime,53520,1,
600201.SS,JINYU GROUP     ,64.72,,-10,6:59:59,Ok,RealTime,29200,1,
600202.SS,HARBIN AIR CON  ,,,,,Ok,RealTime,1264,1,
600203.SS,FURI ELEC       ,11.2,,2.56,6:59:59,Ok,RealTime,44944,1,
600206.SS,GRINM MATERIALS ,15.28,14.04,-10.01,6:59:57,Ok,RealTime,62848,1,
600207.SS,ANCAI HI-TECH   ,5.94,5.72,-10,6:59:58,Ok,RealTime,32080,1,
600208.SS,XINHU ZHONGBAO  ,5.35,,-4.63,6:59:59,Ok,RealTime,37200,1,
600209.SS,LAWTON DEVELOP  ,9.95,10.38,-10.04,6:59:35,Ok,RealTime,2880,1,
600210.SS,ZIJIANG         ,5.88,5.4,-9.95,6:59:59,Ok,RealTime,12032,1,
600211.SS,TIBET PHARMA    ,,,,,Ok,RealTime,1264,1,
600212.SS,JIANGQUAN IND   ,,,,,Ok,RealTime,1104,1,
600213.SS,YAXING COACH    ,9.39,8.62,-9.97,6:59:46,Ok,RealTime,57360,1,
600215.SS,JINGKAI         ,7.98,8.1,-9.32,6:59:59,Ok,RealTime,49872,1,
600216.SS,ZHEJIANG MED    ,10.13,10.3,-10.04,6:59:52,Ok,RealTime,48,1,
600217.SS,QINLING CEMENT  ,,,,,Ok,RealTime,1152,1,
600218.SS,QUANCHAI ENG    ,9.67,9.19,-9.96,6:58:55,Ok,RealTime,38560,1,
600219.SS,NS ALUMINIUM    ,7.97,8.87,-10.05,6:59:59,Ok,RealTime,45744,1,
600220.SS,JS SUNSHINE     ,6.61,6.06,-9.95,6:59:59,Ok,RealTime,40928,1,
600221.SS,HAINAN AIRLINE  ,4.75,4.72,-9.35,6:59:59,Ok,RealTime,43856,1,
