GENEOS Status Report,
Monday 20 Jul 2015 17:36:05,
samplingStatus,Currency,HistClose,IndexName,IndexValue,NetChange,Open,Time,TradeDate,
OK,CNY,3924.4871,SSE COMPOSITE   ,3805.8106,-118.6765,3874.9681,7:10:4,7/15/2015,
instrument,Name,Value,LastValue,PctChange,Time,DataState,Timeliness,SeqNumber,Ticks,
600319.SS,YAXING CHEM     ,,,,,Ok,RealTime,1104,1,
600320.SS,ZHENHUA HEAVY   ,7.97,8.36,-9.94,6:59:59,Ok,RealTime,62800,1,
600321.SS,GUODONG CONSTR  ,5.91,,2.96,6:59:59,Ok,RealTime,22080,1,
600322.SS,TIANJIN DEV     ,5.36,5.47,-10.07,6:59:59,Ok,RealTime,38848,1,
600323.SS,NANHAI DEVELOP  ,14,13.05,-10.03,6:59:51,Ok,RealTime,49632,1,
600325.SS,HUAFA IND       ,14.17,,-9.97,6:59:57,Ok,RealTime,6816,1,
600326.SS,TIBET TIANLU    ,9.72,,-6.63,6:59:59,Ok,RealTime,41216,1,
600327.SS,GRAND ORIENT    ,10.16,10.01,-10.01,6:59:42,Ok,RealTime,57344,1,
600328.SS,LANTAI IND      ,10.95,10.05,-10.02,6:59:30,Ok,RealTime,38448,1,
600329.SS,ZHONGXIN PHARM  ,19.87,19.33,-10.01,6:59:52,Ok,RealTime,61360,1,
600330.SS,TDG HOLDING     ,12.75,,-6.52,7:0:0,Ok,RealTime,23856,1,
600331.SS,HONGDA          ,7.04,,-1.95,6:59:59,Ok,RealTime,24848,1,
600332.SS,BAIYUNSHAN      ,30.16,31.41,-10,6:59:59,Ok,RealTime,12736,1,
600333.SS,CHANGCHUN GAS   ,11.09,13.65,-9.98,6:59:58,Ok,RealTime,8256,1,
600335.SS,SINOMACH AUTO   ,,,,,Ok,RealTime,2000,1,
600336.SS,AUCMA           ,6.04,5.84,-9.99,6:59:56,Ok,RealTime,53984,1,
600337.SS,MARKOR HOME FURN,13.6,,-6.53,6:59:58,Ok,RealTime,63280,1,
600338.SS,TIBET SUMMIT    ,27.19,32.17,-10,6:59:22,Ok,RealTime,1568,1,
600339.SS,TIANLI TECH     ,5.89,6.01,-9.94,6:59:58,Ok,RealTime,50704,1,
600340.SS,CN FORTUNE LAND ,25.02,,7.94,6:59:59,Ok,RealTime,50576,1,
600343.SS,AEROSPACE PWR   ,22.8,22,-9.99,6:59:58,Ok,RealTime,3200,1,
600345.SS,YANGTZE COMM    ,15.68,15.5,-9.99,6:59:56,Ok,RealTime,53312,1,
600346.SS,DALIAN RUBBER   ,,,,,Ok,RealTime,1216,1,
600348.SS,YANGQUAN COAL   ,6.82,7.4,-10.03,6:59:58,Ok,RealTime,54160,1,
600350.SS,SD EXPRESSWAY   ,7.1,7.66,-10.01,6:59:59,Ok,RealTime,64624,1,
600351.SS,YABAO PHARM     ,12.95,,0.15,6:59:58,Ok,RealTime,52144,1,
600352.SS,LONGSHENG       ,13.09,14.17,-9.97,6:59:59,Ok,RealTime,32208,1,
600353.SS,XUGUANG         ,8.34,,-5.23,6:59:59,Ok,RealTime,26704,1,
600354.SS,DUNHUANG SEED   ,7.46,7.33,-10.01,6:59:59,Ok,RealTime,19264,1,
600355.SS,ROUTON ELECT    ,,,,,Ok,RealTime,1136,1,
600356.SS,HENGFENG        ,,,,,Ok,RealTime,60512,1,
600358.SS,UNITED TRAVEL   ,13.54,,-9.97,6:59:58,Ok,RealTime,17184,1,
600359.SS,TALIMU AGRIC    ,12.59,,-10.01,6:59:40,Ok,RealTime,28832,1,
600360.SS,MICROELECT      ,7.16,,-2.05,6:59:59,Ok,RealTime,36752,1,
600361.SS,BJ HUALIAN      ,8.05,7.83,-9.96,6:59:57,Ok,RealTime,18592,1,
600362.SS,JIANGXI COPPER  ,15.47,16.57,-10.01,6:59:58,Ok,RealTime,36096,1,
600363.SS,LIANCHUANG      ,,,,,Ok,RealTime,17552,1,
600365.SS,TONGHUA WINE    ,,,,,Ok,RealTime,1168,1,
600366.SS,YUNSHENG        ,,,,,Ok,RealTime,2000,1,
600367.SS,REDSTAR         ,9.01,8.94,-9.99,6:59:51,Ok,RealTime,37104,1,
600368.SS,WUZHOU COMM     ,5.5,5.36,-9.98,6:59:59,Ok,RealTime,29632,1,
600369.SS,SW SECURITIES   ,17.79,19.13,-8.01,6:59:59,Ok,RealTime,50944,1,
600370.SS,SANFANGXIANG    ,9.11,9.11,-9.98,6:59:20,Ok,RealTime,2864,1,
600371.SS,WANXIANG DONEED ,16.56,19.27,-10,6:59:42,Ok,RealTime,33376,1,
600372.SS,CN AVIC AVIONICS,25.34,22.9,-8.55,6:59:59,Ok,RealTime,7680,1,
600373.SS,CHINESE UNIVERSE,23.49,24.89,-10,6:59:49,Ok,RealTime,11328,1,
600375.SS,HUALING XINGMA  ,8.3,8.78,-9.98,6:59:54,Ok,RealTime,30416,1,
600376.SS,CAPITAL DEV     ,16.02,15.29,-7.24,6:59:59,Ok,RealTime,57824,1,
600377.SS,JIANGSU EXP     ,7.66,8.12,-6.01,6:59:58,Ok,RealTime,40144,1,
600378.SS,TIANYI SCIENCE  ,16.2,,2.92,6:59:55,Ok,RealTime,32960,1,
600379.SS,SX BAOGUANG     ,17.42,16.24,-6.8,6:59:55,Ok,RealTime,29808,1,
600380.SS,JOINCARE        ,12.01,10.56,-6.03,6:59:59,Ok,RealTime,33824,1,
600381.SS,QH SUNSHINY     ,19.28,17.7,-9.99,6:59:56,Ok,RealTime,46512,1,
600382.SS,GD MINGZHU      ,11.41,12.01,-10.02,6:59:49,Ok,RealTime,46928,1,
600383.SS,GEMDALE         ,12.32,14.55,-5.23,6:59:59,Ok,RealTime,20464,1,
600385.SS,SD JINTAI       ,14.87,14.87,-9.99,6:59:55,Ok,RealTime,36368,1,
600386.SS,BASHI MEDIA     ,11.75,11.44,-10.03,6:59:55,Ok,RealTime,4576,1,
600387.SS,ZJ HAIYUE       ,15.39,,-10,6:59:51,Ok,RealTime,60064,1,
600388.SS,FJ LONGKING     ,15.07,,-0.2,6:59:59,Ok,RealTime,47200,1,
600389.SS,JIANGSHAN CHEM  ,21.84,21.25,-10.01,6:58:46,Ok,RealTime,8736,1,
600390.SS,KINGRAY TECH    ,11.04,,-10.02,6:59:55,Ok,RealTime,27616,1,
600391.SS,CHENGFA TECH    ,39.53,37.64,-10,6:59:21,Ok,RealTime,26336,1,
600392.SS,TIANCHENG       ,19.34,,-7.73,6:59:59,Ok,RealTime,38624,1,
600393.SS,DONGHUA         ,,,,,Ok,RealTime,688,1,
600395.SS,PANJIANG COAL   ,,,,,Ok,RealTime,2016,1,
600396.SS,JINSHAN         ,7.85,8.2,-9.98,6:59:59,Ok,RealTime,47488,1,
600397.SS,ANYUAN COAL     ,6.39,6.33,-10,6:59:48,Ok,RealTime,20368,1,
600398.SS,HEILAN HOME     ,15.17,,-9.97,6:59:59,Ok,RealTime,5328,1,
600399.SS,FUSHUN STEEL    ,8.63,7.99,-10.01,6:59:59,Ok,RealTime,2800,1,
600400.SS,HONGDOU IND     ,10.16,8.38,0.2,6:59:59,Ok,RealTime,16848,1,
600401.SS,HAREON SOLAR TEC,3.01,3.31,-5.05,6:59:57,Ok,RealTime,37440,1,
600403.SS,DAYOU ENERGY    ,6.86,7.46,-9.97,6:59:59,Ok,RealTime,22688,1,
600405.SS,DYNAMIC POWER   ,11.24,10.32,-10.01,6:59:57,Ok,RealTime,55760,1,
600406.SS,NARI TECH       ,16.09,15.6,-6.51,6:59:59,Ok,RealTime,14416,1,
600408.SS,ANTAI           ,,,,,Ok,RealTime,1104,1,
600409.SS,TANG SANYOU     ,7.75,8.27,-9.99,6:59:56,Ok,RealTime,34720,1,
600410.SS,TEAMSUN TECH    ,,,,,Ok,RealTime,2016,1,
600415.SS,COMMO CITY      ,10.95,,-10.02,6:59:59,Ok,RealTime,45584,1,
600416.SS,XIANGTAN ELEC   ,,,,,Ok,RealTime,1968,1,
600418.SS,JIANGHUAI AUTO  ,,,,,Ok,RealTime,17040,1,
600419.SS,TIANRUN DAIRY   ,32.99,42.8,-10.01,6:58:45,Ok,RealTime,62112,1,
600420.SS,MODERN PHARM    ,32.6,28.6,-5.81,6:59:58,Ok,RealTime,38960,1,
600421.SS,YANGFAN HOLDING ,13.17,10.14,7.33,6:59:57,Ok,RealTime,5616,1,
600422.SS,KPC PHARM       ,34.6,33.77,-5.18,6:59:59,Ok,RealTime,41072,1,
600423.SS,LIUZHOU CHEM    ,6.19,5.7,-10.03,6:59:58,Ok,RealTime,26144,1,
600425.SS,QINGSONG        ,6.16,6.3,-9.94,6:59:59,Ok,RealTime,14960,1,
600426.SS,HUALU HS CHEM   ,14.5,14.83,-9.99,6:59:53,Ok,RealTime,58640,1,
600428.SS,COSCO SHIPPING  ,10.13,10.63,-9.96,6:59:57,Ok,RealTime,59072,1,
600429.SS,SANYUAN FOODS   ,9.02,9.65,-9.98,6:59:57,Ok,RealTime,50784,1,
600432.SS,JIEN NICKEL     ,11.9,,-9.98,6:59:59,Ok,RealTime,51248,1,
600433.SS,GUANHAO         ,,,,,Ok,RealTime,31360,1,
600435.SS,NORTH NAVIGATION,38.88,33.58,-4.19,6:59:58,Ok,RealTime,63680,1,
600436.SS,PIENTZEHUANG    ,63.46,,10,6:59:49,Ok,RealTime,4304,1,
600438.SS,TONGWEI         ,11.23,,-0.09,6:59:57,Ok,RealTime,55824,1,
600439.SS,REBECCA         ,6.02,,-5.49,6:59:59,Ok,RealTime,40576,1,
600444.SS,GUOTONG         ,17.16,17.58,-4.98,6:56:8,Ok,RealTime,34368,1,
600446.SS,KINGDOM         ,,,,,Ok,RealTime,47248,1,
600448.SS,HUAFANG CO      ,7.43,7.98,-10.05,6:59:51,Ok,RealTime,49520,1,
600449.SS,NINGXIA BUILDING,9,9.15,-10,6:59:55,Ok,RealTime,23584,1,
600452.SS,FULING          ,19.52,17.93,-10,6:59:58,Ok,RealTime,33168,1,
600455.SS,BUTONE INFO     ,36.52,,4.7,6:59:58,Ok,RealTime,24736,1,
600456.SS,BAOJI TITANIUM  ,16.39,17.34,-9.99,6:59:51,Ok,RealTime,53808,1,
600458.SS,TIMES NEW MAT   ,21.18,20.54,-9.99,6:59:56,Ok,RealTime,1472,1,
600459.SS,SINO PLATINUM   ,15.98,16.09,-9.97,6:59:13,Ok,RealTime,59664,1,
600460.SS,SILAN MICROELE  ,7.44,7.35,-10.04,6:59:59,Ok,RealTime,22320,1,
600461.SS,HONGCHENG WW    ,,,,,Ok,RealTime,1264,1,
600462.SS,SHIXIAN PAPER   ,,,,,Ok,RealTime,1152,1,
600463.SS,AIRPORT PARK    ,13.47,12.75,-10.02,6:59:55,Ok,RealTime,29408,1,
600466.SS,DIKANG PHARM    ,9.26,,-10.01,6:59:58,Ok,RealTime,32272,1,
600467.SS,HOMEY AQUATIC   ,6.89,,-2.96,6:59:59,Ok,RealTime,35824,1,
600468.SS,BENEFO          ,15.29,,-8.17,6:59:50,Ok,RealTime,34144,1,
600469.SS,AEOLUS          ,13.51,12.8,-9.99,6:59:53,Ok,RealTime,47264,1,
600470.SS,LIUGUO CHEM     ,6.6,6.46,-9.96,6:59:58,Ok,RealTime,60144,1,
600475.SS,HUAGUANG BOIL   ,13.95,13.9,-9.83,6:59:49,Ok,RealTime,27872,1,
600476.SS,COPOTE TECH     ,24.88,30.02,-9.99,6:59:49,Ok,RealTime,23488,1,
600477.SS,HANGXIAO STEEL  ,10.28,10,-9.98,6:59:55,Ok,RealTime,54720,1,
600478.SS,CORUN NEW ENERGY,16,15.53,-10.01,6:59:41,Ok,RealTime,8416,1,
600479.SS,QIANJIN         ,14.71,,-2.84,6:59:59,Ok,RealTime,22624,1,
600480.SS,LINGYUN IND     ,15.17,15.15,-10.02,6:59:35,Ok,RealTime,6480,1,
600481.SS,SHUANGLIANG     ,17.1,15.7,-10,6:59:56,Ok,RealTime,61696,1,
600482.SS,FENGFAN         ,,,,,Ok,RealTime,2000,1,
600483.SS,NANFANG TEXTLE  ,13.04,,0.85,6:59:59,Ok,RealTime,64032,1,
600485.SS,ZHONGCHUANG     ,,,,,Ok,RealTime,52240,1,
600486.SS,YANGNONG CHEM   ,25.9,23.72,-8.48,6:59:59,Ok,RealTime,54080,1,
600487.SS,HT OPTICELECTRIC,31.2,,-8.85,6:59:57,Ok,RealTime,10624,1,
600488.SS,TIANYAO         ,6.95,,-6.96,6:59:59,Ok,RealTime,37264,1,
600489.SS,ZHONGJIN GOLD   ,9.48,10.3,-9.97,6:59:59,Ok,RealTime,6544,1,
600490.SS,PENGXIN         ,8.99,,10.04,6:59:59,Ok,RealTime,4992,1,
600491.SS,LONG YUAN       ,7.69,,-8.78,6:59:59,Ok,RealTime,12096,1,
600493.SS,FYNEX TEXTILE   ,10.31,10.03,-9.96,6:59:52,Ok,RealTime,65008,1,
600495.SS,JINXI AXLE      ,8.43,7.55,-7.77,6:59:59,Ok,RealTime,56832,1,
600496.SS,JINGGONG STEEL  ,5.53,,2.41,6:59:59,Ok,RealTime,53984,1,
600497.SS,YUNNAN CHIHONG  ,9.73,9.82,-9.99,6:59:52,Ok,RealTime,10096,1,
600498.SS,FIBERHOME TELE  ,23.4,,0.39,6:59:59,Ok,RealTime,24832,1,
600499.SS,KEDA CLEAN ENER ,,,,,Ok,RealTime,2000,1,
600500.SS,SINOCHEM        ,12.09,11.1,-9.98,6:59:50,Ok,RealTime,10336,1,
600501.SS,AEROSUN CORP    ,19.59,,1.03,6:59:59,Ok,RealTime,36480,1,
600502.SS,ANHUI WATER     ,14.13,14.51,-10,6:59:51,Ok,RealTime,64176,1,
600503.SS,DELUXE FAMILY   ,11.53,11.18,-9.99,6:59:59,Ok,RealTime,53200,1,
600505.SS,XICHANG POWER   ,8.4,8.06,-9.97,6:59:48,Ok,RealTime,8272,1,
600506.SS,KORLA PEAR      ,14.75,13.09,-6.88,6:59:57,Ok,RealTime,25600,1,
600507.SS,FANGDA STEEL    ,7.16,7.41,-10.05,6:59:57,Ok,RealTime,4464,1,
600508.SS,SH ENERGY       ,10.23,10.74,-10.03,6:59:59,Ok,RealTime,27776,1,
600509.SS,TIANFU THERMO   ,10.04,10.19,-9.96,6:59:56,Ok,RealTime,56528,1,
600510.SS,BLACK PEONY     ,10.97,10.08,-10.01,6:59:58,Ok,RealTime,45088,1,
600511.SS,CN NATIONAL MED ,35.12,35.72,-9.99,6:59:57,Ok,RealTime,32800,1,
600512.SS,TENGDA CONSTR   ,,,,,Ok,RealTime,27408,1,
600513.SS,LIANHUAN PHARM  ,22,18.9,-3.76,6:59:59,Ok,RealTime,22704,1,
600515.SS,HN ISLAND CONSTR,,,,,Ok,RealTime,1680,1,
600516.SS,FANGDA          ,9.99,9.98,-10,6:59:58,Ok,RealTime,43088,1,
600517.SS,ZHIXIN ELECT    ,10.94,10.26,-9.96,6:59:54,Ok,RealTime,11936,1,
600518.SS,KANGMEI PHARM   ,18.16,16.74,-5.17,6:59:59,Ok,RealTime,3184,1,
600519.SS,MOUTAI          ,251.25,265.8,0.88,6:59:59,Ok,RealTime,44960,1,
600520.SS,ZHONGFA SUNTECH ,,,,,Ok,RealTime,1120,1,
600521.SS,HUAHAI PHARMA   ,24.07,26.32,-9.99,6:59:51,Ok,RealTime,47024,1,
600522.SS,ZHONGTIAN TECH  ,23.05,,-2.45,6:59:59,Ok,RealTime,56848,1,
600523.SS,GUIHANG AUTO    ,20.62,19.83,-10,6:59:31,Ok,RealTime,54128,1,
600525.SS,CHANGYUAN       ,18.48,18.9,-9.99,6:59:59,Ok,RealTime,1488,1,
600526.SS,FEIDA ENVIRON   ,,,,,Ok,RealTime,2000,1,
600527.SS,JIANGNAN FIBER  ,6.56,6.94,-10.01,6:59:48,Ok,RealTime,17904,1,
600528.SS,CHINA RAILWAY   ,13.08,13.79,-9.67,6:59:59,Ok,RealTime,43840,1,
600529.SS,PHARM GLASS     ,15.09,12.53,-0.46,6:59:59,Ok,RealTime,5632,1,
600530.SS,JIAODA ONLLY    ,24.88,,-9.89,6:59:59,Ok,RealTime,2464,1,
600531.SS,YUGUANG         ,18.78,,-10.01,6:59:54,Ok,RealTime,16176,1,
600532.SS,HONGDA MINING   ,12.67,,-10.01,6:59:58,Ok,RealTime,58432,1,
600533.SS,CHIXIA DEVELOP  ,5.23,5.18,-9.98,6:59:58,Ok,RealTime,28688,1,
600535.SS,TASLY PHARMACEUT,47.5,46.24,1.54,6:59:58,Ok,RealTime,57360,1,
600536.SS,CHINA SOFTWARE  ,25.72,23.62,-10.01,6:59:58,Ok,RealTime,13104,1,
600537.SS,EGING PHOTOVOLTA,12.94,,-3.65,6:59:56,Ok,RealTime,62768,1,
600538.SS,GOFAR           ,9.02,8.51,-9.98,6:58:58,Ok,RealTime,53360,1,
600539.SS,LIONHEAD CEM    ,8.88,9.16,-5.03,6:58:50,Ok,RealTime,21440,1,
600540.SS,SAYRAM AGRI     ,10.21,,-9.96,6:59:54,Ok,RealTime,63472,1,
600543.SS,GANSU MOGAO     ,10.39,9.91,-9.97,6:59:56,Ok,RealTime,37520,1,
600545.SS,URBAN CONST     ,10.03,9.94,-9.96,6:59:56,Ok,RealTime,18848,1,
600546.SS,SHANXI COAL     ,5.47,,-10.03,6:59:59,Ok,RealTime,6992,1,
600547.SS,SHANDONG GOLD   ,17.94,19.25,-9.98,6:59:59,Ok,RealTime,13280,1,
600548.SS,SZ EXPRESSWAY   ,8.22,9.16,-9.97,6:59:50,Ok,RealTime,25552,1,
600549.SS,XIAMEN TUNGST   ,18.89,19.83,-10,6:59:48,Ok,RealTime,62416,1,
600550.SS,TIANWEI         ,8.66,8.31,-9.98,6:59:59,Ok,RealTime,12688,1,
600551.SS,TIME PUBLISHING ,18.03,18.16,-9.99,6:58:58,Ok,RealTime,16304,1,
600552.SS,FANGXING SCI    ,18.31,18.62,-9.98,6:59:31,Ok,RealTime,30656,1,
600555.SS,NINE DRAGON-A   ,,,,,Ok,RealTime,1136,1,
600556.SS,FUTURE TECH     ,15.83,15.95,-10.01,6:59:57,Ok,RealTime,29184,1,
600557.SS,KANION          ,24.91,25.42,-10.01,6:59:50,Ok,RealTime,61600,1,
600558.SS,ATLANTIC        ,,,,,Ok,RealTime,1264,1,
600559.SS,HS LAOBAIGAN    ,58.55,61.3,-7.8,6:59:56,Ok,RealTime,17600,1,
600560.SS,BJ ARITIME      ,14.24,14.78,-9.99,6:59:58,Ok,RealTime,12832,1,
600561.SS,CHANGYUN        ,,,,,Ok,RealTime,1248,1,
600562.SS,GLARUN TECH     ,39.3,,9.99,6:59:46,Ok,RealTime,58448,1,
600563.SS,FARATRONIC      ,30.29,33.3,-10.01,6:59:37,Ok,RealTime,53584,1,
600565.SS,DIMA INDUSTRY   ,,,,,Ok,RealTime,1440,1,
600566.SS,HONGCHENG MACH  ,20.45,,-9.99,6:59:57,Ok,RealTime,15760,1,
600567.SS,SHANYING PAPER  ,,,,,Ok,RealTime,8672,1,
600568.SS,ZHONGZHU HOLDING,,,,,Ok,RealTime,2016,1,
600569.SS,ANYANG IRON     ,3.71,3.84,-9.95,6:59:58,Ok,RealTime,7664,1,
600570.SS,HUNDSUN TECH    ,80.06,,-10,6:59:56,Ok,RealTime,41520,1,
600571.SS,SUNYARD         ,61.98,,-9.86,6:59:59,Ok,RealTime,2976,1,
600572.SS,CONBA           ,14.2,,-10.01,6:59:59,Ok,RealTime,50432,1,
600573.SS,HUIQUAN BREW    ,9.7,8.91,-10.02,6:59:54,Ok,RealTime,20512,1,
600575.SS,WUHU PORT       ,,,,,Ok,RealTime,1200,1,
600576.SS,ZHEJIANG WHWH   ,,,,,Ok,RealTime,1168,1,
600577.SS,TONGLING JINGDA ,5.61,,-3.11,6:59:59,Ok,RealTime,58384,1,
600578.SS,JINGNENG POWER  ,6.17,6.55,-10.06,6:59:59,Ok,RealTime,5104,1,
600579.SS,TIANHUA CHEMIS  ,10.06,,-5.89,6:59:54,Ok,RealTime,28848,1,
600580.SS,WOLONG          ,12.51,,-3.84,6:59:59,Ok,RealTime,49456,1,
600581.SS,BA YI STEEL     ,8.26,9.42,-10.02,6:59:57,Ok,RealTime,8784,1,
600582.SS,TIANDI TECH     ,17.23,,-1.99,6:59:59,Ok,RealTime,31648,1,
600583.SS,OFFSHORE OIL    ,10.94,11.83,-6.58,6:59:59,Ok,RealTime,61312,1,
600584.SS,CHANGJIANG ELE  ,19.25,18.41,-10,6:59:57,Ok,RealTime,26448,1,
600585.SS,ANHUI CONCH     ,20.34,22.32,-3.24,6:59:59,Ok,RealTime,44320,1,
600586.SS,JINJING         ,5.48,5.48,-10.02,6:59:58,Ok,RealTime,23856,1,
600587.SS,SHINVA MEDICAL  ,35.28,45.05,-10,6:59:49,Ok,RealTime,23600,1,
600588.SS,YONYOU NETWORK  ,44.16,,-10.01,6:59:58,Ok,RealTime,288,1,
600589.SS,RONGTAI         ,,,,,Ok,RealTime,1280,1,
600590.SS,TELLHOW         ,10.15,,9.97,6:59:38,Ok,RealTime,58080,1,
600592.SS,LONGXI BEARING  ,12.11,12.72,-10.03,6:59:44,Ok,RealTime,44432,1,
600593.SS,DALIAN SUN ASIA ,29.49,24.37,10,6:59:14,Ok,RealTime,46736,1,
600594.SS,YIBAI           ,53.92,,-10,6:59:59,Ok,RealTime,8480,1,
600595.SS,ZHONGFU         ,,,,,Ok,RealTime,1680,1,
600596.SS,XINAN CHEMICAL  ,9.39,,-9.97,6:59:59,Ok,RealTime,47568,1,
600597.SS,BRIGHT DAIRY    ,,,,,Ok,RealTime,6224,1,
600598.SS,HLJ AGRICULTURE ,12.26,11.25,-9.99,6:59:59,Ok,RealTime,27632,1,
600599.SS,PANDA FIREWORKS ,25.45,,-10.01,6:59:44,Ok,RealTime,18336,1,
600600.SS,TSINGTAO BREW   ,38.93,43.14,-6.93,6:59:58,Ok,RealTime,65344,1,
600601.SS,FOUNDER TECH    ,7.08,,4.12,6:59:59,Ok,RealTime,2448,1,
600602.SS,INESA ELECTRON  ,,,,,Ok,RealTime,1104,1,
600603.SS,XINGYE RESOURCES,11.64,,7.18,6:59:59,Ok,RealTime,50992,1,
600604.SS,ERFANGJI        ,11.59,,-6.15,6:59:58,Ok,RealTime,46016,1,
600605.SS,HUITONG ENERGY  ,14.11,,-8.2,6:59:58,Ok,RealTime,10992,1,
600606.SS,JINFENG INVEST  ,17.06,15.72,-9.97,6:59:51,Ok,RealTime,6800,1,
600608.SS,SHANGHAI TECH   ,8.21,9,-4.98,6:59:26,Ok,RealTime,55584,1,
600609.SS,JINBEI AUTOMOT  ,,,,,Ok,RealTime,1680,1,
600610.SS,S CN TEXT MACH  ,,,,,Ok,RealTime,4752,1,
600611.SS,DAZHONG TRANS   ,11.82,10.85,-9.98,6:59:59,Ok,RealTime,13536,1,
600612.SS,LAO FENG XIANG  ,47.07,46.42,-10,6:59:34,Ok,RealTime,24496,1,
600613.SS,SHENQI PHAR     ,15.63,15.58,-10.02,6:59:44,Ok,RealTime,9936,1,
600614.SS,SH DINGLI       ,,,,,Ok,RealTime,19440,1,
600615.SS,SH FENGHWA      ,14.97,14.77,-9.98,6:59:55,Ok,RealTime,28576,1,
600616.SS,JINFENG WINE    ,10.63,10.44,-9.99,6:59:58,Ok,RealTime,60752,1,
600617.SS,LIAN HUA FIBRE  ,17.08,17.37,-9.96,6:59:55,Ok,RealTime,32096,1,
600618.SS,CHLOR ALKALI    ,9.54,9.64,-10,6:59:57,Ok,RealTime,62992,1,
600619.SS,HIGHLY          ,9.23,,-9.95,6:59:58,Ok,RealTime,35584,1,
600620.SS,TIANCHEN CO     ,12.23,,9.98,6:59:54,Ok,RealTime,51280,1,
600621.SS,JINLING         ,10.68,,-8.09,6:59:59,Ok,RealTime,64944,1,
600622.SS,SH JIABAO       ,10.07,9.9,-10.01,6:59:56,Ok,RealTime,52240,1,
600623.SS,DOUBLE COIN A   ,16.9,17.81,-10.01,6:59:51,Ok,RealTime,53424,1,
600624.SS,FUDAN-FORWARD   ,13.71,,9.94,6:59:58,Ok,RealTime,8848,1,
600626.SS,SHENDA          ,12.68,13.09,-10.01,6:59:56,Ok,RealTime,60384,1,
600628.SS,NEW WORLD       ,13.49,12.56,-10.01,6:59:54,Ok,RealTime,416,1,
600629.SS,LENGGUANG IND   ,20.79,19.92,-10,6:59:16,Ok,RealTime,54224,1,
600630.SS,SH DRAGON       ,10.67,10.09,-9.96,6:59:58,Ok,RealTime,38576,1,
600633.SS,ZJ DAILY MEDIA  ,16.21,16.41,-9.99,6:59:59,Ok,RealTime,17088,1,
600634.SS,ZHONGJI INVEST  ,,,,,Ok,RealTime,1104,1,
600635.SS,SH DAZHONG      ,7.31,,-1.35,6:59:59,Ok,RealTime,10320,1,
600636.SS,SHANGHAI 3F     ,13.53,13.05,-9.98,6:59:42,Ok,RealTime,1360,1,
600637.SS,BESTV NEW MEDIA ,35.72,35.86,-8.62,6:59:59,Ok,RealTime,61280,1,
600638.SS,HUANGPU ESTATE  ,12.15,11.73,-10,6:59:39,Ok,RealTime,32656,1,
600639.SS,JINQIAO         ,18.4,16.89,-9.98,6:59:54,Ok,RealTime,544,1,
600640.SS,BESTTONE HOLDING,18.53,18.58,-10,6:59:54,Ok,RealTime,25184,1,
600641.SS,SH WANYE        ,,,,,Ok,RealTime,1248,1,
600642.SS,SHENERGY        ,8.06,8.42,-10.04,6:59:58,Ok,RealTime,64,1,
600643.SS,AJ CORP         ,,,,,Ok,RealTime,1872,1,
600644.SS,LESHAN ELEC     ,8.3,8.81,-5.03,6:56:13,Ok,RealTime,61936,1,
600645.SS,ZHONGYUAN UNION ,,,,,Ok,RealTime,1840,1,
600647.SS,SH TONGDA       ,21.19,19.45,-9.98,6:59:45,Ok,RealTime,48864,1,
600648.SS,WAI GAOQIAO     ,24.26,22.62,-9.98,6:59:52,Ok,RealTime,32672,1,
600649.SS,CHENGTOU HOLDING,13.63,12.51,-9.97,6:59:56,Ok,RealTime,24016,1,
600650.SS,JIN JIANG INV   ,14.87,13.65,-9.99,6:59:53,Ok,RealTime,58544,1,
600651.SS,FEILO ACOUSTICS ,16.17,14.85,-10.02,6:59:38,Ok,RealTime,38320,1,
600652.SS,SHANGHAI ACE    ,,,,,Ok,RealTime,1680,1,
600653.SS,SH SHENHUA      ,6.01,,-8.66,6:59:59,Ok,RealTime,14544,1,
600654.SS,CHINA SECURITY  ,,,,,Ok,RealTime,2064,1,
600655.SS,YUYUAN TOURIST  ,15.02,14.6,-9.79,6:59:59,Ok,RealTime,11632,1,
600656.SS,BOYUAN INVESTMNT,,,,,Ok,RealTime,1120,1,
600657.SS,CINDA REALESTATE,6.71,6.82,-9.93,6:59:54,Ok,RealTime,48288,1,
600658.SS,BJ ELEC ZONE    ,11.21,10.3,-10.03,6:59:58,Ok,RealTime,43440,1,
600660.SS,FUYAO GLASS     ,14.12,14.95,-4.59,6:59:57,Ok,RealTime,12576,1,
600661.SS,XIN NANYANG     ,25.83,,4.7,6:59:58,Ok,RealTime,54064,1,
600662.SS,QIANGSHENG      ,9.89,9.26,-10.01,6:59:58,Ok,RealTime,35568,1,
600663.SS,LUJIAZUI        ,42.13,41.36,-10,6:59:58,Ok,RealTime,21360,1,
600664.SS,HARBIN PHARM    ,11.17,11.17,10.05,6:59:50,Ok,RealTime,53664,1,
600665.SS,TANDE           ,5.69,5.63,-9.97,6:59:59,Ok,RealTime,35424,1,
600666.SS,SOUTHWEST PHARMA,31.27,,-4.95,6:59:52,Ok,RealTime,16144,1,
600667.SS,TAIJI INDUST    ,6.88,,10.08,6:59:58,Ok,RealTime,28464,1,
600668.SS,JIANFENG GROUP  ,11.95,10.81,-8.64,6:59:59,Ok,RealTime,4688,1,
600671.SS,TIAN MU PHARM   ,21.61,,-2.39,6:59:15,Ok,RealTime,17248,1,
