GENEOS Status Report,
Monday 20 Jul 2015 17:35:44,
samplingStatus,Currency,HistClose,IndexName,IndexValue,NetChange,Open,Time,TradeDate,
OK,KRW,2059.23,KOSPI           ,2072.91,13.68,2068.38,9:3:30,7/15/2015,
instrument,Name,Value,LastValue,PctChange,Time,DataState,Timeliness,SeqNumber,Ticks,
006570.KS,DAELIM TRADING  ,8300,7200,-0.95,6:0:30,Ok,RealTime,12286,1,
006650.KS,KOREA PETRO CHEM,189000,180000,3.56,6:27:15,Ok,RealTime,25038,1,
006660.KS,SAMSUNG CLIMATE ,11050,10700,2.79,6:0:30,Ok,RealTime,26910,1,
006740.KS,YOUNG POONG PAPR,2325,2275,0.65,6:20:21,Ok,RealTime,44590,1,
006800.KS,DAEWOO SEC      ,15750,14350,5,6:26:44,Ok,RealTime,20414,1,
006840.KS,AK HOLDINGS     ,86700,84400,-0.91,6:25:20,Ok,RealTime,61038,1,
006880.KS,SINGSONGHOLDINGS,9890,9340,2.7,6:29:13,Ok,RealTime,65406,1,
006890.KS,TAEKYUNG CHEM   ,6190,5950,1.14,6:27:21,Ok,RealTime,19086,1,
006980.KS,WOOSUNG FEED    ,3300,3100,4.76,6:29:29,Ok,RealTime,7422,1,
007070.KS,GS RETAIL       ,54700,50000,3.8,6:16:10,Ok,RealTime,54766,1,
007110.KS,ILSHINSTONE     ,1095,1060,0.46,6:25:29,Ok,RealTime,57646,1,
007120.KS,MIRAEING        ,1350,1050,-0.74,6:11:56,Ok,RealTime,6654,1,
007160.KS,SAJO IND        ,112500,108500,2.27,6:14:14,Ok,RealTime,51278,1,
007190.KS,HSL ARTN PAP    ,1860,1790,2.48,6:18:57,Ok,RealTime,45294,1,
007210.KS,BYUCKSAN        ,12200,9950,2.95,6:16:56,Ok,RealTime,13406,1,
007280.KS,KR STEEL SHAPES ,2555,2475,0.39,5:47:51,Ok,RealTime,26558,1,
007310.KS,OTTOGI          ,880000,816000,3.04,6:0:19,Ok,RealTime,50750,1,
007340.KS,DONG AH TIRE IND,22550,22950,-0.66,6:10:3,Ok,RealTime,35470,1,
007460.KS,NARA KIC        ,2725,2720,0.55,6:0:6,Ok,RealTime,38334,1,
007540.KS,SEMPIO FOODS    ,62800,57400,2.61,6:0:30,Ok,RealTime,53550,1,
007570.KS,ILYANG PHARM    ,69400,64500,3.58,6:29:25,Ok,RealTime,39454,1,
007590.KS,DONGBANG AGRO   ,8900,8470,3.49,6:29:22,Ok,RealTime,60382,1,
007610.KS,SEONDO ELECTRIC ,2385,2320,0.21,6:0:30,Ok,RealTime,49790,1,
007630.KS,GS INSTRUMENTS  ,2370,2195,-1.04,6:0:3,Ok,RealTime,38174,1,
007660.KS,ISUPETASYS      ,5820,5060,3.74,6:28:19,Ok,RealTime,9790,1,
007690.KS,KUKDO CHEMICAL  ,70700,67600,2.91,6:28:49,Ok,RealTime,20702,1,
007700.KS,F F             ,17200,17600,-2.82,6:11:26,Ok,RealTime,2446,1,
007810.KS,KOREA CIRCUIT   ,9020,8920,-2.06,6:19:4,Ok,RealTime,27934,1,
007860.KS,SEOYON          ,11450,10900,1.78,6:28:45,Ok,RealTime,63390,1,
007980.KS,PAN-PACIFIC     ,5220,4580,5.67,6:16:30,Ok,RealTime,15150,1,
008000.KS,TORAYCHEMICKOREA,19900,19900,-0.25,6:19:34,Ok,RealTime,27054,1,
008020.KS,KYUNGNAM ENERGY ,6910,7000,-0.43,6:0:28,Ok,RealTime,12686,1,
008040.KS,DONGAONE        ,2800,2835,-0.71,6:0:23,Ok,RealTime,41278,1,
008060.KS,DAEDUCK ELECTR  ,7290,7200,0.83,6:17:14,Ok,RealTime,63342,1,
008110.KS,DAIDONG ELEC    ,5600,5070,6.67,6:10:0,Ok,RealTime,28238,1,
008250.KS,EAGON IND       ,29600,25600,2.6,6:22:33,Ok,RealTime,42686,1,
008260.KS,NI STEEL        ,2505,2380,1.83,6:20:52,Ok,RealTime,16686,1,
008350.KS,NAMSUN ALUMINIUM,1190,1060,7.21,6:25:44,Ok,RealTime,41614,1,
008420.KS,MOONBAE STEEL   ,2260,2265,-1.09,6:10:0,Ok,RealTime,47950,1,
008490.KS,SUHEUNG         ,51500,50700,0.19,6:26:32,Ok,RealTime,20526,1,
008500.KS,ILJEONG IND     ,29500,29100,0,5:25:49,Ok,RealTime,16814,1,
008560.KS,MERITZ SEC      ,6700,6740,0.6,6:27:8,Ok,RealTime,40974,1,
008600.KS,WILLBES         ,1775,1680,-1.39,6:29:18,Ok,RealTime,57614,1,
008700.KS,ANAM ELECTRONIC ,1375,1355,0.36,6:27:22,Ok,RealTime,16510,1,
008730.KS,YOULCHON CHEM   ,12550,12050,0.8,6:29:45,Ok,RealTime,41982,1,
008770.KS,HOTEL SHILLA    ,135500,128000,0.37,6:25:6,Ok,RealTime,39086,1,
008870.KS,KUMBI           ,68200,67500,-0.29,6:10:0,Ok,RealTime,58782,1,
008900.KS,TEC&CO          ,2180,2190,1.87,6:10:0,Ok,RealTime,23502,1,
008930.KS,HANMI SCIENCE   ,140000,126500,9.38,6:28:10,Ok,RealTime,8734,1,
008970.KS,DONG YANG PIPE  ,1170,1145,1.3,6:19:40,Ok,RealTime,51662,1,
009070.KS,KCTC            ,3740,3395,6.86,6:22:38,Ok,RealTime,59950,1,
009140.KS,KYUNG IN ELECTR ,25100,26000,-3.46,6:10:0,Ok,RealTime,44862,1,
009150.KS,SAMSUNG EL-MECH ,55300,50300,10.6,6:27:16,Ok,RealTime,19646,1,
009160.KS,SIMPAC          ,6870,6680,0.44,6:10:0,Ok,RealTime,62382,1,
009180.KS,HANSOL LOGISTICS,,,,,Ok,RealTime,2350,1,
009190.KS,DAIYANG METAL   ,591,612,0.17,6:0:21,Ok,RealTime,1166,1,
009200.KS,MOORIM PAPER    ,4785,4285,-0.62,6:24:39,Ok,RealTime,61934,1,
009240.KS,HANSSEM         ,295500,284500,-2.8,6:28:28,Ok,RealTime,9934,1,
009270.KS,SHINWON         ,1805,1715,0,6:10:2,Ok,RealTime,22558,1,
009290.KS,KWANGDONG PHARM ,15700,15000,0.96,6:10:24,Ok,RealTime,59566,1,
009310.KS,CHARM ENGINE    ,,,,,Ok,RealTime,2206,1,
009320.KS,DAEWOO ELEC COMP,945,915,-2.07,6:15:45,Ok,RealTime,24478,1,
009410.KS,TAEYOUNG CONST  ,6530,6180,1.71,6:0:19,Ok,RealTime,61918,1,
009420.KS,HAN ALL BIOPHARM,14900,14450,0.34,6:21:57,Ok,RealTime,34670,1,
009440.KS,KC GREEN HOLDING,10050,9100,2.24,6:14:19,Ok,RealTime,60142,1,
009450.KS,KYNG DNG NAVIEN ,30250,29600,-0.33,6:0:27,Ok,RealTime,36974,1,
009460.KS,HAN CHANG PAPER ,827,812,-0.12,6:0:13,Ok,RealTime,58798,1,
009470.KS,SAMWHA ELECTRIC ,4750,4350,4.63,6:0:17,Ok,RealTime,11886,1,
009540.KS,HYUNDAI HVY IND ,110500,120000,-3.91,6:26:50,Ok,RealTime,29454,1,
009580.KS,MOORIM P&P      ,5870,5640,-1.18,6:21:24,Ok,RealTime,2782,1,
009680.KS,MOTONIC         ,11550,11600,-0.43,6:10:0,Ok,RealTime,18718,1,
009770.KS,SAM JUNG PULP   ,37200,36650,0.68,6:0:30,Ok,RealTime,39902,1,
009810.KS,KP              ,1375,1420,-2.48,6:24:57,Ok,RealTime,25374,1,
009830.KS,HANWHA CHEMICAL ,21750,19900,4.57,6:29:16,Ok,RealTime,33262,1,
009970.KS,YOUNGONE HOLDING,83700,86200,-1.06,6:10:11,Ok,RealTime,4542,1,
010040.KS,KOREA REFRACT   ,4700,4475,-2.08,6:29:24,Ok,RealTime,63726,1,
010050.KS,WOORI INVEST    ,667,596,-1.33,6:10:0,Ok,RealTime,27950,1,
010060.KS,OCI             ,123000,118500,1.23,6:29:37,Ok,RealTime,35102,1,
010100.KS,KOREA FLANGE    ,15950,15500,4.93,6:24:3,Ok,RealTime,2366,1,
010120.KS,LS IND SYSTEM   ,50500,51000,0.2,6:27:58,Ok,RealTime,4478,1,
010130.KS,KOREA ZINC      ,519000,510000,1.17,6:0:30,Ok,RealTime,49582,1,
010140.KS,SAMSUNG HEAVY   ,16500,17950,-5.17,6:29:44,Ok,RealTime,49198,1,
010420.KS,HANSOL PNS      ,1265,1190,2.02,6:17:39,Ok,RealTime,16782,1,
010520.KS,HYUNDAI HYSCO   ,,,,,Ok,RealTime,2174,1,
010580.KS,JICO            ,1000,1095,2.04,6:11:57,Ok,RealTime,18174,1,
010600.KS,YBROAD          ,2140,2100,0,6:15:37,Ok,RealTime,12302,1,
010620.KS,HYUNDAI MIPO DK ,62600,67100,-3.69,6:27:23,Ok,RealTime,11678,1,
010640.KS,CHINYANG POLY   ,2595,2485,0.19,6:0:30,Ok,RealTime,30622,1,
010660.KS,HWACHEON MACHI  ,31350,32000,0,5:13:54,Ok,RealTime,35598,1,
010690.KS,HWASHIN         ,6120,5990,-2.08,6:23:42,Ok,RealTime,23246,1,
010770.KS,PYUNG HWA HLDG  ,3830,3725,-0.26,6:20:30,Ok,RealTime,26750,1,
010780.KS,IS DONGSEO      ,77600,71900,1.17,6:22:38,Ok,RealTime,53038,1,
010820.KS,FIRSTEC         ,3580,3575,-2.19,6:29:11,Ok,RealTime,7662,1,
010950.KS,S-OIL           ,63800,62300,2.57,6:29:16,Ok,RealTime,21182,1,
010960.KS,SAMHO DEV       ,3850,3855,-0.52,6:10:0,Ok,RealTime,35310,1,
011000.KS,GENEONELIFESCIEN,12200,11750,1.24,6:24:43,Ok,RealTime,53342,1,
011070.KS,LG INNOTEK      ,96700,94400,1.15,6:27:4,Ok,RealTime,27790,1,
011090.KS,ENEX            ,7910,6800,1.93,6:29:28,Ok,RealTime,1726,1,
011150.KS,CJ SEAFOOD      ,3750,3250,3.59,6:29:58,Ok,RealTime,34142,1,
011160.KS,DOOSAN ENG&CONST,9000,8460,0.56,6:14:39,Ok,RealTime,61086,1,
011170.KS,LOTTE CHEMICAL  ,278000,268500,6.11,6:22:50,Ok,RealTime,798,1,
011200.KS,HYUNDAIMERCMAR  ,7010,6840,-0.43,6:23:26,Ok,RealTime,61230,1,
011210.KS,HYUNDAI WIA     ,99400,91500,4.96,6:29:31,Ok,RealTime,25022,1,
011230.KS,SAMWHA ELEC     ,1520,1420,1.67,6:0:30,Ok,RealTime,38590,1,
011280.KS,TAI LIM PACKAGNG,3710,3525,0.95,6:26:27,Ok,RealTime,54926,1,
011300.KS,SEONG AN        ,895,836,0.22,6:10:20,Ok,RealTime,19646,1,
011330.KS,UNI CHEM        ,,,,,Ok,RealTime,2446,1,
011390.KS,BUSAN IND       ,34000,30300,1.04,6:13:36,Ok,RealTime,55918,1,
011420.KS,IB WORLDWIDE    ,3705,2790,21.48,6:23:17,Ok,RealTime,30702,1,
011500.KS,HANNONG CHEM    ,4350,4195,3.08,6:29:4,Ok,RealTime,50222,1,
011690.KS,YUYANG D&U      ,1320,1275,-0.38,6:12:36,Ok,RealTime,5486,1,
011700.KS,HAN SHIN MACH   ,2150,2095,-0.23,6:21:1,Ok,RealTime,58302,1,
011720.KS,HYUNDAI PAINT   ,2405,2165,0.42,6:11:11,Ok,RealTime,3982,1,
011760.KS,HYUNDAI CORP    ,33000,33300,2.17,6:10:0,Ok,RealTime,13374,1,
011780.KS,KUMHO PETROCHEM ,73300,70800,1.95,6:26:51,Ok,RealTime,47758,1,
011790.KS,SKC             ,36600,36950,-0.41,6:10:0,Ok,RealTime,38590,1,
011810.KS,STX CORPORATION ,4315,4085,-2.15,6:19:55,Ok,RealTime,27662,1,
011930.KS,SHINSUNG SE     ,1340,1315,0,6:16:31,Ok,RealTime,53358,1,
012030.KS,DONGBU          ,7260,7300,-0.55,6:0:30,Ok,RealTime,36366,1,
012160.KS,YOUNG HEUNG I&S ,2525,2625,0,6:10:0,Ok,RealTime,14558,1,
012170.KS,KEYSTONE GLOBAL ,955,770,24.03,6:29:11,Ok,RealTime,54750,1,
012200.KS,KEYANG ELEC MACH,4610,4570,-1.07,6:29:19,Ok,RealTime,3038,1,
012280.KS,YEONG HWA METAL ,1600,1565,-0.93,6:25:50,Ok,RealTime,41902,1,
012320.KS,KYUNGDONG GAS   ,119000,111500,-0.83,6:0:30,Ok,RealTime,8878,1,
012330.KS,HYUNDAI MOBIS   ,201000,195500,2.03,6:24:44,Ok,RealTime,2862,1,
012450.KS,HANWHA TECHWIN  ,39650,38450,-1.25,6:17:19,Ok,RealTime,24494,1,
012510.KS,DUZONBIZON      ,16700,14450,-0.6,6:23:39,Ok,RealTime,30190,1,
012600.KS,CHUNGHO COMNET  ,6580,7270,-5.46,6:20:18,Ok,RealTime,4574,1,
012610.KS,KYUNGIN SYNTHETI,4675,4530,-1.27,6:23:28,Ok,RealTime,18558,1,
012630.KS,HYUNDAI DVLP    ,75100,70200,5.18,6:25:3,Ok,RealTime,29950,1,
012690.KS,MONALISA        ,5600,4900,-4.11,6:28:13,Ok,RealTime,5854,1,
012750.KS,S-1             ,78700,76800,1.94,6:20:8,Ok,RealTime,63582,1,
012800.KS,DAE CHANG       ,845,847,-2.2,6:10:0,Ok,RealTime,29182,1,
013000.KS,SEWOO GLOBAL    ,2150,2030,10.54,6:29:47,Ok,RealTime,10222,1,
013360.KS,IL SUNG CONST   ,7980,8170,-0.62,6:10:0,Ok,RealTime,31294,1,
013520.KS,HS R&A          ,30800,31300,0.98,6:10:0,Ok,RealTime,43646,1,
013570.KS,DY              ,6240,6200,0.16,6:24:23,Ok,RealTime,54766,1,
013580.KS,KYERYONG CONST  ,12550,12300,-1.57,6:0:30,Ok,RealTime,13390,1,
013700.KS,SAMWHAN CAMUS   ,16400,16200,-8.12,6:23:26,Ok,RealTime,64734,1,
013870.KS,GMB KOREA       ,5480,5490,0.55,6:27:56,Ok,RealTime,35854,1,
014130.KS,HAN EXPRESS     ,125000,87000,17.92,6:21:59,Ok,RealTime,64446,1,
014160.KS,DAE YOUNG PKG   ,1125,1030,0.45,6:29:44,Ok,RealTime,23710,1,
014280.KS,KUMKANG KIND    ,82600,81600,0.49,6:0:30,Ok,RealTime,56478,1,
014440.KS,YOUNGBO CHEM    ,5920,5210,3.5,6:12:44,Ok,RealTime,2990,1,
014530.KS,KUKDONG OIL & CH,35400,36500,-0.84,6:0:30,Ok,RealTime,574,1,
014580.KS,BAEK KWANG MIN  ,2800,2800,-0.71,6:0:30,Ok,RealTime,30046,1,
014680.KS,HANSOL CHEMICAL ,97100,94600,1.04,6:0:30,Ok,RealTime,34366,1,
014710.KS,SAJO SEAFOOD    ,9800,8380,5.83,6:23:1,Ok,RealTime,51022,1,
014790.KS,HALLA           ,5150,4855,3.62,6:27:20,Ok,RealTime,5054,1,
014820.KS,DONGWON SYSTEMS ,129000,106500,13.66,6:27:54,Ok,RealTime,22222,1,
014830.KS,UNID            ,71000,66100,2.75,6:22:19,Ok,RealTime,26222,1,
014910.KS,SUNGMOON ELECTR ,1595,1525,0.95,6:26:36,Ok,RealTime,47870,1,
014990.KS,IN THE F        ,2560,2505,-2.29,6:10:44,Ok,RealTime,190,1,
015020.KS,E-STARCO        ,2435,2125,4.06,6:13:18,Ok,RealTime,53982,1,
015230.KS,DAECHANG FORGING,52000,49400,0.78,6:0:30,Ok,RealTime,4238,1,
015260.KS,AUTOMOBILE &PCB ,1170,1160,0.86,6:10:0,Ok,RealTime,19470,1,
015350.KS,BUSAN CITY GAS  ,36950,36850,-0.54,6:21:0,Ok,RealTime,47454,1,
015360.KS,YESCO           ,43000,37800,7.63,6:21:45,Ok,RealTime,41534,1,
015540.KS,HOT TECH        ,6100,5350,-0.33,6:14:45,Ok,RealTime,31166,1,
015590.KS,DAEKYUNG MACH   ,1735,1755,-1.7,6:14:47,Ok,RealTime,16750,1,
015760.KS,KOREA ELEC POWER,49050,47400,0.1,6:23:20,Ok,RealTime,1808,3,
015860.KS,ILJIN HOLDINGS  ,7320,7470,-0.68,6:20:46,Ok,RealTime,38286,1,
015890.KS,TAE KYUNG IND   ,6300,6250,0.32,6:10:0,Ok,RealTime,56126,1,
016090.KS,DAE HYUN        ,2715,2610,-1.45,6:11:4,Ok,RealTime,34030,1,
016360.KS,SAMSUNG SEC     ,56300,51300,3.3,6:27:19,Ok,RealTime,43038,1,
016380.KS,DONGBU STEEL    ,4040,3835,-0.25,6:24:27,Ok,RealTime,9310,1,
016450.KS,HANSAE YES24    ,22600,21400,-0.22,6:0:30,Ok,RealTime,31726,1,
016580.KS,WHANIN PHARM    ,24200,23400,3.2,6:24:3,Ok,RealTime,1886,1,
016590.KS,SHINDAEYANG PAPR,34550,33950,-2.4,6:10:0,Ok,RealTime,10622,1,
016610.KS,DONGBU SEC      ,5990,5660,0.5,6:11:40,Ok,RealTime,17022,1,
016710.KS,DAESUNG HOLDINGS,13150,12900,0,6:25:24,Ok,RealTime,8158,1,
016800.KS,FURSYS          ,36000,31450,-1.37,6:0:27,Ok,RealTime,51550,1,
016880.KS,WOONGJIN        ,3055,2870,-0.16,6:29:56,Ok,RealTime,26670,1,
017040.KS,KWANG MYUNG ELEC,2495,2400,0.4,6:28:9,Ok,RealTime,56094,1,
017180.KS,MYUNGMOON PHARM ,4810,4310,6.18,6:25:45,Ok,RealTime,7294,1,
017370.KS,WOOSHIN SYSTEMS ,3415,3290,-2.43,6:10:0,Ok,RealTime,462,1,
017390.KS,SEOUL CITY GAS  ,144500,137000,0,4:8:37,Ok,RealTime,10894,1,
017550.KS,SOOSAN HEAVY IND,1910,1805,-1.04,6:24:7,Ok,RealTime,57182,1,
017670.KS,SK TELECOM      ,255000,256000,0.59,6:29:19,Ok,RealTime,20926,1,
017800.KS,HYUNDAI ELEVATOR,86200,78600,-0.81,6:19:33,Ok,RealTime,11694,1,
017810.KS,PULMUONE        ,235000,241500,-2.49,6:18:9,Ok,RealTime,34942,1,
017900.KS,AUK CORP        ,2360,2270,0.43,6:19:16,Ok,RealTime,56046,1,
017940.KS,E1              ,70600,68200,1.73,6:0:29,Ok,RealTime,47966,1,
017960.KS,HANKUK CARBON   ,7130,7300,-2.99,6:19:49,Ok,RealTime,37438,1,
018260.KS,SAMSUNGSDS      ,262000,252000,1.16,6:26:43,Ok,RealTime,63406,1,
018470.KS,CHOIL ALUMINUM  ,1450,1355,2.11,6:25:58,Ok,RealTime,25246,1,
018500.KS,DONGWON METAL   ,2195,2150,0.46,6:20:45,Ok,RealTime,63230,1,
018670.KS,SK GAS          ,88000,87800,-1.68,6:29:48,Ok,RealTime,51438,1,
018880.KS,HALLA VISTEON   ,36400,36150,0.69,6:19:32,Ok,RealTime,2270,1,
019170.KS,SHINPOONG PHARM ,5720,5360,2.69,6:14:56,Ok,RealTime,6350,1,
019180.KS,THN             ,1555,1600,-0.32,6:14:42,Ok,RealTime,39998,1,
019300.KS,DONGIL PAPER    ,3100,2960,2.31,6:17:10,Ok,RealTime,55470,1,
019440.KS,SEAH SPE STEEL  ,20600,20150,0,6:0:30,Ok,RealTime,34302,1,
019490.KS,HITRON SYSTEMS  ,6670,6230,4.22,6:0:28,Ok,RealTime,14654,1,
019680.KS,DAEKYO          ,8410,7770,2.56,6:25:31,Ok,RealTime,39182,1,
020000.KS,HANDSOME        ,37250,35600,2.05,6:0:30,Ok,RealTime,22414,1,
020120.KS,DAOUINCUBE      ,3785,3615,0.53,6:26:11,Ok,RealTime,58014,1,
020150.KS,ILJIN MATERIALS ,7360,7110,-1.21,6:10:0,Ok,RealTime,30766,1,
020560.KS,ASIANA AIRLINES ,7000,6700,1.89,6:28:12,Ok,RealTime,7102,1,
020760.KS,ILJIN DISPLAY   ,7650,7920,-2.92,6:16:7,Ok,RealTime,24654,1,
021050.KS,SEOWON          ,1410,1350,-0.35,6:10:0,Ok,RealTime,26958,1,
021240.KS,COWAY           ,95000,93000,1.06,6:10:0,Ok,RealTime,31310,1,
021820.KS,SEWON PRECISION ,24800,24650,-1,6:0:30,Ok,RealTime,40238,1,
021960.KS,KB CAPITAL      ,23850,23550,2.8,6:22:38,Ok,RealTime,22686,1,
023000.KS,SAMWON STEEL    ,3605,3570,-0.96,6:20:37,Ok,RealTime,28462,1,
023150.KS,MHETHANOL       ,13950,12150,2.95,6:26:36,Ok,RealTime,21118,1,
023350.KS,KOREA ENG CONS  ,5520,5500,0.18,6:11:53,Ok,RealTime,31630,1,
023450.KS,DONGNAM CHEM    ,40700,41250,-0.73,6:0:30,Ok,RealTime,23982,1,
023530.KS,LOTTE SHOPPING  ,236500,229000,2.6,6:18:30,Ok,RealTime,31390,1,
023590.KS,DAOU TECH       ,26350,26550,-5.89,6:27:19,Ok,RealTime,32990,1,
023800.KS,INZI CONTROLS   ,5190,4995,-0.38,6:0:6,Ok,RealTime,50446,1,
023810.KS,INFAC           ,5750,5530,0,6:21:6,Ok,RealTime,22462,1,
023960.KS,SC ENGINEERING  ,8250,7780,0.73,6:10:0,Ok,RealTime,28638,1,
024070.KS,WISCOM          ,5460,5410,0.74,6:10:0,Ok,RealTime,28510,1,
024090.KS,DCM             ,17850,17900,-1.65,6:0:30,Ok,RealTime,55374,1,
024110.KS,IBK             ,13300,13350,-4.32,6:29:45,Ok,RealTime,19774,1,
024720.KS,KOLMAR HOLDINGS ,80800,77200,-1.34,6:29:48,Ok,RealTime,8926,1,
024890.KS,DAE WON CHEM    ,3000,2685,6.38,6:29:20,Ok,RealTime,20894,1,
024900.KS,DUCK YANG IND   ,2260,2130,1.12,6:0:22,Ok,RealTime,30046,1,
025000.KS,KPX CHEMICAL    ,58700,56600,0.69,6:0:10,Ok,RealTime,35678,1,
025530.KS,SJM HOLDINGS    ,5450,5470,0,6:0:30,Ok,RealTime,56190,1,
025540.KS,KOREA ELEC TERM ,87600,85000,0.34,6:10:0,Ok,RealTime,50318,1,
025560.KS,MIRAE           ,260,257,-1.14,6:28:17,Ok,RealTime,62622,1,
025620.KS,SHINWOO         ,2450,2330,4.7,6:10:59,Ok,RealTime,2254,1,
025750.KS,HANSOL HOMEDECO ,1800,1560,4.05,6:29:8,Ok,RealTime,13390,1,
025820.KS,LEE KU IND      ,1425,1375,0.35,6:20:14,Ok,RealTime,44318,1,
025850.KS,HANWHAFINECHEMI ,22850,22900,0.88,6:0:30,Ok,RealTime,21934,1,
025860.KS,NAMHAE CHEMICAL ,12950,12950,0.78,6:20:35,Ok,RealTime,13598,1,
025890.KS,HAN KOOK STEEL  ,3330,3350,-2.06,6:10:0,Ok,RealTime,62798,1,
026890.KS,DPC             ,6290,6180,-1.41,6:15:27,Ok,RealTime,53694,1,
026940.KS,BOOKOOK STEEL   ,2835,2720,1.8,6:23:41,Ok,RealTime,32942,1,
027390.KS,HANWHAGALLERIATW,170000,78000,29.77,6:28:51,Ok,RealTime,3342,1,
027410.KS,BGF RETAIL      ,196000,176000,3.16,6:12:20,Ok,RealTime,18846,1,
027740.KS,MANIKER         ,570,591,-2.73,6:14:31,Ok,RealTime,37646,1,
027970.KS,SEHA            ,1870,1730,4.18,6:0:8,Ok,RealTime,61310,1,
028050.KS,SAMSUNG ENG     ,32450,32700,1.72,6:29:42,Ok,RealTime,25214,1,
028100.KS,DONGA GEOLOGICAL,8360,8390,-0.83,6:0:30,Ok,RealTime,26894,1,
028260.KS,CHEIL INDUSTRIES,183500,178000,1.94,6:25:19,Ok,RealTime,14238,1,
028670.KS,PANOCEAN        ,,,,,Ok,RealTime,2446,1,
029460.KS,K C TECH        ,12450,12000,-1.58,6:22:32,Ok,RealTime,48878,1,
029530.KS,SINDOH          ,61900,60100,0,6:10:0,Ok,RealTime,44078,1,
029780.KS,SAMSUNG CARD    ,38300,37850,0.39,6:20:12,Ok,RealTime,55982,1,
030000.KS,CHEIL WORLDWIDE ,18600,17600,1.64,6:28:5,Ok,RealTime,18302,1,
030200.KS,KT              ,29400,29300,0.86,6:28:23,Ok,RealTime,38382,1,
030210.KS,KTB INVEST&SECUR,4130,3800,7.13,6:16:53,Ok,RealTime,12894,1,
030610.KS,KYOBO SECURITIES,13050,12050,1.16,6:10:0,Ok,RealTime,20238,1,
030720.KS,DONG WON FISH   ,13450,,14.96,6:29:49,Ok,RealTime,59966,1,
030790.KS,TONGYANG NETWORK,2080,2185,-9.57,6:24:53,Ok,RealTime,25502,1,
031430.KS,SHINSEGAE INTER ,130000,127000,4.84,6:11:24,Ok,RealTime,59390,1,
031440.KS,SHINSEGAE FOOD  ,215000,182500,10.82,6:25:28,Ok,RealTime,39294,1,
031820.KS,COMTEC SYS      ,1385,1345,-1.77,6:27:35,Ok,RealTime,29102,1,
032350.KS,LOTTE TOUR DEV  ,17300,17100,0.58,6:21:14,Ok,RealTime,55150,1,
032560.KS,HWANG-KUM STEEL ,6660,6080,-0.89,6:10:0,Ok,RealTime,8286,1,
032640.KS,LG UPLUS        ,10400,10400,0.97,6:29:49,Ok,RealTime,5742,1,
032830.KS,SAMSUNG LIFE    ,107000,102500,2.39,6:29:43,Ok,RealTime,30590,1,
033180.KS,FEELUX          ,2425,2325,0.83,6:0:19,Ok,RealTime,11566,1,
033240.KS,JAHWA ELECTRON  ,11750,11050,0.43,6:0:21,Ok,RealTime,7134,1,
033250.KS,CHASYS          ,1240,1165,-1.2,6:11:42,Ok,RealTime,28126,1,
033270.KS,UNITED PHARM    ,27650,25500,5.33,6:28:51,Ok,RealTime,30078,1,
033530.KS,SEJONG IND      ,9910,9510,3.55,6:10:0,Ok,RealTime,27246,1,
033660.KS,AJU CAPITAL     ,6970,6990,-0.99,6:0:30,Ok,RealTime,49102,1,
033780.KS,KT G            ,101500,98200,3.26,6:27:52,Ok,RealTime,43262,1,
033920.KS,MUHAK           ,64700,63600,0.94,6:20:5,Ok,RealTime,58414,1,
034020.KS,DOOSAN HEAVY IND,24300,24850,-0.61,6:16:21,Ok,RealTime,1982,1,
034120.KS,SBS             ,35000,33500,2.64,6:23:26,Ok,RealTime,54350,1,
034220.KS,LG DISPLAY      ,24900,24900,1.01,6:29:43,Ok,RealTime,19342,1,
034300.KS,SHINSEGAE CONST ,68800,62600,3.15,6:0:21,Ok,RealTime,54494,1,
034310.KS,NICE            ,20650,20350,-2.82,6:20:5,Ok,RealTime,52878,1,
034590.KS,INCHEON CITY GAS,35400,34950,1.14,6:0:30,Ok,RealTime,52430,1,
034730.KS,SK C&C          ,296000,290000,-0.17,6:13:8,Ok,RealTime,20350,1,
035000.KS,G II R          ,9410,9540,-0.53,6:0:30,Ok,RealTime,55998,1,
035150.KS,BAIKSAN         ,5400,5780,-4.59,6:17:24,Ok,RealTime,22334,1,
035250.KS,KANGWON LAND    ,41200,38650,3.52,6:27:59,Ok,RealTime,30974,1,
035420.KS,NAVER           ,605000,612000,-1.47,6:24:44,Ok,RealTime,37470,1,
035510.KS,SHINSEGAE I&C   ,172500,164500,7.14,6:0:30,Ok,RealTime,57534,1,
036460.KS,KOREA GAS       ,45600,43650,-1.08,6:29:51,Ok,RealTime,25808,1,
036530.KS,S&T HOLDINGS    ,25500,25000,-1.92,6:0:30,Ok,RealTime,47822,1,
036570.KS,NCSOFT          ,217500,209500,-0.68,6:24:39,Ok,RealTime,34752,1,
036580.KS,FARMSCO         ,19100,18100,2.41,6:14:31,Ok,RealTime,62654,1,
037270.KS,YG PLUS         ,5140,4255,12.72,6:27:6,Ok,RealTime,34622,1,
037560.KS,CJ HELLOVISION  ,13950,13900,-1.41,6:22:25,Ok,RealTime,62654,1,
037620.KS,MIRAE ASSET SEC ,49000,46550,0.41,6:12:18,Ok,RealTime,24606,1,
037710.KS,GWANGJUSHINSEGAE,339500,325000,1.04,6:0:30,Ok,RealTime,42126,1,
039130.KS,HANA TOUR       ,164500,133000,2.81,6:10:0,Ok,RealTime,37550,1,
039490.KS,KIWOOM          ,72200,67200,1.69,6:27:38,Ok,RealTime,22526,1,
