GENEOS Status Report,
Monday 20 Jul 2015 17:36:18,
samplingStatus,Currency,HistClose,IndexName,IndexValue,NetChange,Open,Time,TradeDate,
OK,TWD,9041.76,TAIWAN WEIGHTED ,9054.2,12.44,9063.54,5:33:20,7/15/2015,
instrument,Name,Value,LastValue,PctChange,Time,DataState,Timeliness,SeqNumber,Ticks,
1438.TW,YU FOUNG INTL   ,5.19,5.4,-0.57,5:15:0,Ok,RealTime,6656,1,
1439.TW,CHUWA WOOL      ,13.85,13.8,-0.72,,Ok,RealTime,9680,1,
1440.TW,TAINAN SPINNING ,15.15,14.9,-0.66,,Ok,RealTime,48624,1,
1441.TW,TAH TONG TEXTILE,8.51,8.65,-0.12,,Ok,RealTime,8208,1,
1442.TW,ADVANCETEK      ,22.05,22.95,-1.34,,Ok,RealTime,16080,1,
1443.TW,LILY TEXTILE    ,5.75,5.62,1.23,1:25:5,Ok,RealTime,7744,1,
1444.TW,LEALEA ENT. CO  ,9.14,9.02,-1.4,,Ok,RealTime,46800,1,
1445.TW,UNIVERSAL TXET  ,9.65,10,-0.31,1:1:12,Ok,RealTime,25328,1,
1446.TW,HONG HO PRECISN ,23.45,22.9,-1.05,,Ok,RealTime,15408,1,
1447.TW,LI PENG ENT.    ,9.03,8.95,-0.55,,Ok,RealTime,37152,1,
1449.TW,CHIA HER INDUS  ,7.07,7.66,-5.73,,Ok,RealTime,17536,1,
1451.TW,NIEN HSING TEXTL,23.3,22.75,-0.85,,Ok,RealTime,23808,1,
1452.TW,HONG YI FIBER   ,35.4,30.5,1,,Ok,RealTime,32624,1,
1453.TW,TA JIANG        ,11.85,12.3,-4.05,,Ok,RealTime,3040,1,
1454.TW,TWN TAFFETA FAB ,11.65,11.9,-2.92,,Ok,RealTime,53392,1,
1455.TW,ZIG SHENG IND   ,12.9,13.3,-1.15,,Ok,RealTime,49552,1,
1457.TW,YI JINN INDU    ,13.85,12.95,1.47,,Ok,RealTime,48976,1,
1459.TW,LAN FA TEXTILE  ,12.75,12.2,-1.16,,Ok,RealTime,49472,1,
1460.TW,EVEREST TEXT    ,15.75,15.9,-1.25,,Ok,RealTime,3312,1,
1463.TW,CHYANG SHENG    ,16.9,16.9,-0.59,,Ok,RealTime,21280,1,
1464.TW,DE LICACY IND   ,28.1,27,-0.53,,Ok,RealTime,41696,1,
1465.TW,WISHER IND      ,15.75,15.6,-0.63,,Ok,RealTime,6048,1,
1466.TW,ACELON CHEM FIBR,15.65,15.8,-1.57,,Ok,RealTime,10784,1,
1467.TW,TEX-RAY         ,12.75,13.1,-0.78,,Ok,RealTime,27584,1,
1468.TW,CHANG HO        ,9.44,9.8,-3.08,,Ok,RealTime,6368,1,
1469.TW,LILONTEX        ,13.3,12.9,2.7,,Ok,RealTime,5104,1,
1470.TW,EVERTEX         ,18,17.6,0.28,1:29:43,Ok,RealTime,4256,1,
1471.TW,SOLYTECH        ,5.13,4.95,0.2,,Ok,RealTime,16656,1,
1472.TW,TRI OCEAN TEXT  ,17.05,16.4,-0.87,1:12:53,Ok,RealTime,12352,1,
1473.TW,TAINAN ENTER    ,28,28.9,-0.18,,Ok,RealTime,22448,1,
1474.TW,HONMYUE ENTER   ,9.83,10.05,0.2,,Ok,RealTime,37680,1,
1475.TW,SUMAGH HIGH-TECH,8.81,8.58,-6.77,4:52:49,Ok,RealTime,6528,1,
1476.TW,ECLAT TEXTILE   ,459.5,464,0.88,,Ok,RealTime,28256,1,
1477.TW,MAKALOT         ,263,266,-0.75,,Ok,RealTime,1776,1,
1503.TW,SHIHLIN ELECTRIC,38.5,38.3,0.39,,Ok,RealTime,12720,1,
1504.TW,TECO ELECTRIC   ,24.65,23.15,1.65,,Ok,RealTime,49072,1,
1506.TW, R.W.           ,18.95,18.1,-0.79,,Ok,RealTime,15280,1,
1507.TW,YUNGTAY         ,56.2,53.8,0.54,,Ok,RealTime,61328,1,
1512.TW,JUI LI          ,4.21,4.42,-0.94,1:2:33,Ok,RealTime,15232,1,
1513.TW,CHUNG-HSIN      ,17.9,17.95,-0.83,,Ok,RealTime,28720,1,
1514.TW,ALLIS ELECTRIC  ,9.12,9.19,0.33,,Ok,RealTime,22048,1,
1515.TW,REXON INDU      ,9.74,9.45,0.93,,Ok,RealTime,11120,1,
1517.TW,LEE CHI         ,12.35,12.3,-1.2,,Ok,RealTime,18992,1,
1519.TW,FORTUNE ELECTRIC,15.65,15.55,0.32,,Ok,RealTime,15328,1,
1521.TW,TA YIH IND      ,91.5,92.4,-0.22,,Ok,RealTime,35552,1,
1522.TW,TYC BROTHER IND ,18.85,18.6,-1.05,,Ok,RealTime,38368,1,
1524.TW,GORDON AUTO     ,5.25,5.24,-0.94,,Ok,RealTime,7648,1,
1525.TW,KIAN SHEN       ,70.8,65.2,-0.56,,Ok,RealTime,37120,1,
1526.TW,SUNRACE         ,14.55,12.95,-1.69,,Ok,RealTime,19936,1,
1527.TW,BASSO INDU      ,39.7,39.3,0.13,,Ok,RealTime,35904,1,
1528.TW,ANDERSON        ,8.97,8.8,0.11,,Ok,RealTime,14704,1,
1530.TW,AWEA MECH       ,32.25,31.65,-0.31,,Ok,RealTime,11840,1,
1531.TW,KAULIN MFG      ,17.3,17.2,-1.7,,Ok,RealTime,24192,1,
1532.TW,CHINA METAL     ,27,27,2.47,,Ok,RealTime,36832,1,
1533.TW,MOBILETRON      ,36.3,35.4,-0.55,,Ok,RealTime,22752,2,
1535.TW,CHINA ECOTEK    ,71.8,71.8,-0.14,,Ok,RealTime,9792,1,
1536.TW,HOTA IND        ,99.4,90.2,-0.4,,Ok,RealTime,59872,1,
1537.TW,KUNG LONG       ,133.5,136,-1.11,,Ok,RealTime,61744,1,
1538.TW,JENN FENG       ,6.9,5.38,5.67,,Ok,RealTime,19472,2,
1539.TW,CHIU TING MACH  ,34.55,35.85,2.37,,Ok,RealTime,2272,1,
1540.TW,ROUNDTOP        ,20.25,20.05,1.25,,Ok,RealTime,10672,1,
1541.TW,CHANG TYPE      ,19.9,19,-0.25,,Ok,RealTime,13184,1,
1558.TW,ZENG HSING      ,155.5,158.5,0.65,,Ok,RealTime,35888,1,
1560.TW,KINIK           ,54.9,53.9,-0.73,,Ok,RealTime,34704,1,
1568.TW,T.Y             ,17.9,17.4,0.56,,Ok,RealTime,17840,1,
1582.TW,SYNCMOLD        ,54,54.4,-1.46,,Ok,RealTime,39280,1,
1583.TW,GOODWAY         ,69,66,1.47,,Ok,RealTime,9552,1,
1589.TW,YGG             ,217,213.5,0.46,,Ok,RealTime,6128,1,
1590.TW,AIRTAC          ,158,157,0.96,,Ok,RealTime,63360,1,
1592.TW,ENTEREX         ,27.15,27.2,-0.55,,Ok,RealTime,6704,1,
1603.TW,CHINA WIRE&CABL ,11.45,11.45,-0.44,,Ok,RealTime,6512,1,
1604.TW,SAMPO CORP      ,13,12.95,-0.38,,Ok,RealTime,22048,1,
1605.TW,WALSIN LIHWA    ,7.12,7.02,-0.97,,Ok,RealTime,42528,1,
1608.TW,HUAENG WIRE&CABL,8.34,8.45,-1.42,,Ok,RealTime,14480,1,
1609.TW,TA YA WIRE&CABL ,5.21,5.2,-0.95,,Ok,RealTime,14576,1,
1611.TW,CHINA ELECTRIC  ,8.7,8.67,-0.57,,Ok,RealTime,16464,1,
1612.TW,HONG TAI ELEC   ,8.99,9.69,-1.75,,Ok,RealTime,23040,1,
1613.TW,TAI-I           ,3.94,3.96,-1.5,,Ok,RealTime,11920,1,
1614.TW,SANYO ELEC      ,27.1,26.95,-1.09,,Ok,RealTime,7888,1,
1615.TW,DAH SAN ELEC    ,10.35,10.2,1.47,,Ok,RealTime,3856,1,
1616.TW,EVERTOP WIRE    ,5.49,5.38,0.55,,Ok,RealTime,13456,1,
1617.TW,JUNG SHING WIRE ,6.88,6.8,-0.29,,Ok,RealTime,5664,1,
1618.TW,HOLD-KEY        ,7,6.94,0.29,,Ok,RealTime,8608,2,
1626.TW,AIRMATE         ,25.75,28,-1.72,1:5:34,Ok,RealTime,15568,1,
