GENEOS Status Report,
Monday 20 Jul 2015 17:36:18,
samplingStatus,Currency,HistClose,IndexName,IndexValue,NetChange,Open,Time,TradeDate,
OK,TWD,9041.76,TAIWAN WEIGHTED ,9054.2,12.44,9063.54,5:33:20,7/15/2015,
instrument,Name,Value,LastValue,PctChange,Time,DataState,Timeliness,SeqNumber,Ticks,
2368.TW,GOLD CIRCUIT ELE,12.15,11.55,-1.62,,Ok,RealTime,33536,1,
2369.TW,LINGSEN         ,11,10.75,-0.9,,Ok,RealTime,40544,1,
2371.TW,TATUNG CO LTD   ,6.2,6.19,-0.48,,Ok,RealTime,61824,1,
2373.TW,AURORA CORP     ,50.3,49.75,-0.2,,Ok,RealTime,18992,1,
2374.TW,ABILITY ENTER   ,15.7,15.5,-1.88,,Ok,RealTime,28608,1,
2375.TW,TEAPO           ,13.55,13,-0.37,,Ok,RealTime,14400,1,
2376.TW,GIGABYTE TECH   ,30,30.55,-0.66,,Ok,RealTime,46192,1,
2377.TW,MSI             ,30.6,29.5,-2.08,,Ok,RealTime,33456,1,
2379.TW,REALTEK         ,75.8,76.3,-1.69,,Ok,RealTime,19760,1,
2380.TW,AVISION         ,7.5,7.61,-0.79,,Ok,RealTime,15856,1,
2382.TW,QUANTA          ,67.4,65.6,-1.17,,Ok,RealTime,5392,1,
2383.TW,ELITE MATL      ,65.4,61.8,2.99,,Ok,RealTime,64352,1,
2385.TW,CHICONY ELTN    ,85.4,81.3,3.02,,Ok,RealTime,18960,2,
2387.TW,SUNREX          ,15.05,14.65,1.01,,Ok,RealTime,48080,1,
2390.TW,EVERSPRING INDU ,24.55,25.05,0.61,,Ok,RealTime,16992,1,
2392.TW,CHENG UEI       ,52.5,54.2,-2.6,,Ok,RealTime,3312,1,
2393.TW,EVERLIGHT       ,55.7,57.1,-1.42,,Ok,RealTime,31088,1,
2395.TW,ADVANTECH       ,228.5,203.5,9.86,,Ok,RealTime,24656,1,
2397.TW,DFI             ,44.9,44,0.56,,Ok,RealTime,28368,1,
2399.TW,BIOSTAR         ,7.85,7.94,-1.26,,Ok,RealTime,12544,1,
2401.TW,SUNPLUS TECH    ,15.2,14.65,0.66,,Ok,RealTime,48560,1,
2402.TW,ICHIA           ,23.75,23.55,-1.66,,Ok,RealTime,53008,1,
2404.TW,UNITED INTEG SVC,31.7,30.15,0.32,,Ok,RealTime,58256,1,
2405.TW,SHUTTLE         ,8.73,8.72,-2.78,,Ok,RealTime,51024,1,
2406.TW,GIGASTORAGE     ,24.5,23.85,1.24,,Ok,RealTime,43840,4,
2408.TW,NANYA TECH      ,36.8,38,-9.8,,Ok,RealTime,63056,4,
2409.TW,AU OPTRONICS    ,12.75,12.95,-0.39,,Ok,RealTime,33104,1,
2412.TW,CHUNGHWA TELECOM,98.2,97.9,-0.1,,Ok,RealTime,16176,1,
2413.TW,UMEC            ,12.65,12.1,-0.39,,Ok,RealTime,12128,1,
2414.TW,UNITECH         ,18,17.8,0.28,,Ok,RealTime,9136,1,
2415.TW,CX TECH         ,13.5,13.9,-0.74,1:20:3,Ok,RealTime,19872,1,
2417.TW,AVERMEDIA TECH  ,11.1,12,-2.63,,Ok,RealTime,52640,1,
2419.TW,HITRON TECH     ,12.95,13.1,0.39,,Ok,RealTime,26624,1,
2420.TW,ZIPPY TECH      ,43.8,43.9,-0.9,,Ok,RealTime,29680,1,
2421.TW,SUNONWEALTH     ,15.95,15.95,-1.24,,Ok,RealTime,17344,1,
2423.TW,GOOD WILL       ,18.25,18.3,0.27,,Ok,RealTime,6448,1,
2424.TW,LUNG HWA ELTRS  ,35.85,33.5,7.01,5:15:52,Ok,RealTime,6352,1,
2425.TW,WALTON CHAINTECH,21.6,21.8,-0.69,,Ok,RealTime,13056,1,
2426.TW,TYNTEK          ,14.2,14.2,7.17,,Ok,RealTime,592,1,
2427.TW,MERCURIES DATA  ,7,7.01,-1.13,,Ok,RealTime,11040,1,
2428.TW,THINKING ELTR   ,44.1,45,-1.23,,Ok,RealTime,31664,1,
2430.TW,TSANN KUEN ENTER,23.5,23.3,-0.64,,Ok,RealTime,16448,1,
2431.TW,LIEN CHANG ELTR ,18.05,18.05,-1.9,,Ok,RealTime,35072,1,
2433.TW,AURORA SYS      ,43.8,43.1,0.11,,Ok,RealTime,10384,1,
2436.TW,WELTREND SEMICON,25,24.95,0.4,,Ok,RealTime,51056,1,
2437.TW,RALEC ELTR      ,59.4,57.5,0.17,,Ok,RealTime,19568,2,
2438.TW,ENLIGHT         ,13.9,14.9,-1.42,,Ok,RealTime,19360,1,
2439.TW,MERRY ELTRS     ,63,66.6,-0.32,,Ok,RealTime,13568,1,
2440.TW,SPACE SHUTTLE   ,9.01,9.35,-3.12,2:41:49,Ok,RealTime,6400,1,
2441.TW,GREATEK ELTRS   ,34.2,34.2,0.15,,Ok,RealTime,4144,1,
2442.TW,JEAN            ,7.84,7.86,-0.63,,Ok,RealTime,19504,1,
2443.TW,LEAD DATA       ,14.9,14.55,-0.33,,Ok,RealTime,26208,1,
2444.TW,ABOCOM SYSTEMS  ,16.9,18.3,-2.31,,Ok,RealTime,14320,1,
2448.TW,EPISTAR         ,34.75,35.75,-2.93,,Ok,RealTime,4688,2,
2449.TW,KING YUAN ELEC  ,23.7,26,-3.27,,Ok,RealTime,61792,1,
2450.TW,SENAO           ,49.55,49.45,0.1,,Ok,RealTime,47520,1,
2451.TW,TRANSCEND INFO  ,103.5,99.2,5.4,,Ok,RealTime,5952,1,
2453.TW,SYSCOM COMPUTER ,11.35,11.7,0.44,,Ok,RealTime,13392,1,
2454.TW,MEDIATEK        ,373,401,1.63,,Ok,RealTime,23616,1,
2455.TW,VISUAL PHOTONICS,49.95,52.7,0.91,,Ok,RealTime,25216,1,
2456.TW,CHILISIN ELEC   ,60.1,54.2,0.17,,Ok,RealTime,18048,1,
2457.TW,PHIHONG         ,10.65,10.4,-1.39,,Ok,RealTime,17360,1,
2458.TW,ELAN MICROELE   ,41.7,41.55,-0.71,,Ok,RealTime,6144,1,
2459.TW,AUDIX           ,34.55,33.75,0.44,,Ok,RealTime,13952,1,
2460.TW,GEM TERMINAL    ,9.85,9.85,-1.3,,Ok,RealTime,7008,1,
2461.TW,K LASER         ,13.9,13.5,-0.36,,Ok,RealTime,12736,1,
2462.TW,TAIWAN LINE TEK ,16.9,16.9,-0.29,,Ok,RealTime,8192,1,
2464.TW,MIRLE AUTO      ,29,28.4,0.69,,Ok,RealTime,21056,1,
2465.TW,LEADTEK         ,12.9,12.2,0.39,,Ok,RealTime,56480,1,
2466.TW,COSMO ELTR      ,30.85,30.95,0.16,,Ok,RealTime,9984,1,
2467.TW,C SUN MFG       ,17.65,17.2,-0.84,,Ok,RealTime,17536,1,
2468.TW,FORTUNE INFO    ,10.75,10.6,-0.92,,Ok,RealTime,8032,1,
2471.TW,ARES INT'L      ,15.55,15.3,-0.96,,Ok,RealTime,7984,1,
2472.TW,LELON ELTR      ,26.9,28.75,-4.61,,Ok,RealTime,48736,1,
2474.TW,CATCHER TECH    ,375,379,1.08,,Ok,RealTime,11408,1,
2476.TW,G-SHANK ENTER   ,22.2,22.15,-0.23,,Ok,RealTime,9744,1,
2477.TW,MEILOON IND     ,14.45,14.05,0.35,,Ok,RealTime,50768,1,
2478.TW,TA-I TECH       ,13.8,13.65,-0.36,,Ok,RealTime,13584,1,
2480.TW,STARK           ,28.65,27.7,0.53,,Ok,RealTime,17776,1,
2481.TW,PAN JIT         ,10.9,11.2,0.46,,Ok,RealTime,26976,1,
2482.TW,UNIFORM         ,18.5,18.95,-1.08,,Ok,RealTime,51456,1,
2483.TW,EXCEL CELL      ,17.4,16.25,0.29,1:14:48,Ok,RealTime,11184,1,
2484.TW,SIWARD CRYSTAL  ,17.05,17.35,2.4,,Ok,RealTime,38384,1,
2485.TW,ZINWELL         ,37.2,36.95,2.48,,Ok,RealTime,59136,1,
2486.TW,I-CHIUN         ,12.7,12.4,-0.39,,Ok,RealTime,15712,1,
2488.TW,HANPIN          ,26,25.85,1.76,,Ok,RealTime,39216,1,
2489.TW,AMTRAN TECH     ,17.35,17.05,0.29,,Ok,RealTime,55408,1,
2491.TW,INFODISC TECH   ,10.5,10.45,4.48,1:48:49,Ok,RealTime,15744,1,
2492.TW,WALSIN TECH     ,10.95,11.1,-3.95,,Ok,RealTime,8560,1,
2493.TW,AMPOC FAR-EAST  ,23.15,25.4,-0.22,,Ok,RealTime,24880,1,
2495.TW,INFORTREND      ,14.75,14,1.03,,Ok,RealTime,16880,1,
2497.TW,E-LEAD ELEC     ,54.1,53.8,0.55,,Ok,RealTime,34336,1,
2498.TW,HTC CORP        ,71.1,67.7,2.01,,Ok,RealTime,4656,1,
2499.TW,UNITY OPTO      ,22.5,21.85,-1.11,,Ok,RealTime,45568,1,
2501.TW,CATHAY RED      ,15.85,15.95,-0.63,,Ok,RealTime,27632,1,
2504.TW,GOLDSUN CONST   ,9.28,9.23,0.22,,Ok,RealTime,37008,1,
2505.TW,KUO YANG CONSTRU,13.85,14.35,-1.77,,Ok,RealTime,32544,1,
2506.TW,PACIFIC CONSTR  ,18.15,16.75,0.83,,Ok,RealTime,37696,1,
2509.TW,CHAINQUI        ,24.75,24.6,0.2,,Ok,RealTime,7264,1,
2511.TW,PRINCE HOUSING  ,11.4,11.2,0.88,,Ok,RealTime,36560,1,
2514.TW,LONG BON        ,23.6,23.3,-1.05,,Ok,RealTime,17952,1,
2515.TW,BES ENG CORP    ,8.61,8.08,-0.35,,Ok,RealTime,56336,1,
2516.TW,NEW ASIA CONST  ,7.52,7.52,-0.27,,Ok,RealTime,10608,1,
2520.TW,KINDOM CONSTR   ,20.4,20.35,0.49,,Ok,RealTime,54416,1,
2524.TW,KING'S TOWN     ,25,25.1,-0.6,,Ok,RealTime,19760,1,
2527.TW,HUNG CHING      ,20.05,19.1,0.75,,Ok,RealTime,22016,1,
2528.TW,CROWELL         ,9.26,9.5,-2.94,4:51:48,Ok,RealTime,6592,1,
2530.TW,DELPHA CONSTR   ,18,17.95,-1.1,,Ok,RealTime,10560,1,
2534.TW,HUNG SHENG CONST,17,17.05,-0.59,,Ok,RealTime,28816,1,
2535.TW,DA-CIN CONSTR   ,16.8,16.55,0.3,,Ok,RealTime,16480,1,
2536.TW,HUNG POO R EST  ,22.9,23.1,-0.65,,Ok,RealTime,20272,1,
2537.TW,WE &WIN         ,9.39,9.45,-0.43,,Ok,RealTime,14432,1,
2538.TW,KEE TAI PROPERTI,18.45,17.7,2.5,,Ok,RealTime,62192,1,
2539.TW,SAKURA DEVELOP  ,34.2,35.5,-0.29,2:26:3,Ok,RealTime,8288,1,
2540.TW,I-SUNNY         ,32.7,33.55,-1.21,,Ok,RealTime,5760,1,
2542.TW,HIGHWEALTH CONST,70.4,69.3,-0.71,,Ok,RealTime,30624,1,
2543.TW,HWANG CHANG     ,9.29,9.1,-0.54,,Ok,RealTime,6096,1,
2545.TW,HUANG HSIANG    ,39.2,37.8,0.64,,Ok,RealTime,26288,1,
2546.TW,KEDGE CONT      ,16.95,16.75,0.3,,Ok,RealTime,5856,1,
2547.TW,RADIUM LIFE TECH,14.1,13.5,0.35,,Ok,RealTime,56288,1,
2548.TW,HUAKU           ,64,62.7,-1.69,,Ok,RealTime,4432,1,
2597.TW,RUENTEX E&C     ,52.1,53.5,-2.07,,Ok,RealTime,10032,1,
2601.TW,FIRST STEAMSHIP ,12.2,12.25,-0.81,,Ok,RealTime,23104,1,
2603.TW,EVERGREEN MARINE,17.35,16.85,2.97,,Ok,RealTime,57120,1,
2605.TW,SINCERE         ,23.45,23.2,0.64,,Ok,RealTime,25744,1,
2606.TW,U-MING MARINE   ,39.5,41,0.38,,Ok,RealTime,63824,1,
2607.TW,EVERGREEN INTL  ,15.5,15.25,0.65,,Ok,RealTime,34624,1,
2608.TW,KERRY TJ        ,33.8,34.15,-2.87,,Ok,RealTime,30960,1,
2609.TW,YANG MING MARINE,12.05,11.3,5.7,,Ok,RealTime,2960,1,
2610.TW,CHINA AIR LINES ,14.05,13.65,1.81,,Ok,RealTime,5936,1,
2611.TW,TSI             ,9.9,9.68,1.33,,Ok,RealTime,19216,1,
2612.TW,CHINESE MARITIME,30,28.7,0.33,,Ok,RealTime,15088,1,
2613.TW,CHINA CONTAINER ,15.35,15.3,0.33,,Ok,RealTime,6512,1,
2614.TW,EASTERN MEDIA   ,6.06,5.75,0.33,,Ok,RealTime,37280,1,
2615.TW,WAN HAI LINES   ,24.75,25.35,1.85,,Ok,RealTime,52960,1,
2616.TW,SHAN-LOONG TRANS,24.1,23.8,0.42,,Ok,RealTime,6304,1,
2617.TW,TAIWAN NAV      ,17.25,17,-0.29,,Ok,RealTime,14560,1,
2618.TW,EVA AIRWAYS     ,22.05,21.75,1.15,,Ok,RealTime,6368,1,
2634.TW,AIDC            ,41.6,40.95,-0.72,,Ok,RealTime,3568,1,
2637.TW,WISDOM          ,37.9,37.75,-0.26,,Ok,RealTime,44064,1,
2642.TW,PELICAN         ,30.9,29.55,-0.32,,Ok,RealTime,14544,1,
2701.TW,WAN HWA ENT CO  ,15.35,15.25,0.33,,Ok,RealTime,5712,1,
2702.TW,HOTEL GARDEN    ,16.25,16.15,-0.31,,Ok,RealTime,4800,1,
2704.TW,AMBASSADOR HOTEL,26.2,26.35,-0.38,,Ok,RealTime,13280,1,
2705.TW,LEOFOO DVLPMT CO,11.65,11.5,0.87,,Ok,RealTime,25824,1,
2706.TW,FIRST HOTEL     ,21.65,20.8,0.46,,Ok,RealTime,18224,1,
2707.TW,FORMOSA HOTEL   ,248,244.5,0.4,,Ok,RealTime,29456,1,
2712.TW,FGH             ,24.45,24,0.82,2:28:45,Ok,RealTime,6720,1,
2722.TW,CHATEAU         ,44.2,44.2,0.23,,Ok,RealTime,8400,1,
2723.TW,GOURMET MASTER  ,146.5,150.5,-1.01,,Ok,RealTime,33008,1,
2727.TW,WOWPRIME        ,245.5,240,-0.2,,Ok,RealTime,29200,1,
2731.TW,LIONTRAVEL      ,169.5,170.5,-0.88,,Ok,RealTime,44832,1,
2801.TW,CHANG HWA BANK  ,17.8,17.55,0.28,,Ok,RealTime,61328,1,
2809.TW,KING'S TOWN BANK,27.25,26.9,-0.37,,Ok,RealTime,42464,1,
2812.TW,TAICHUNG COMM BK,10.6,10.55,0.47,,Ok,RealTime,58208,1,
2816.TW,UNION INSURANCE ,22.25,22.9,-0.67,,Ok,RealTime,19200,1,
2820.TW,CHINA BILLS     ,11.25,11.25,0.44,,Ok,RealTime,49840,1,
2823.TW,CHINA LIFE      ,32,29.25,1.11,,Ok,RealTime,15440,1,
2832.TW,TFM INSURANCE   ,22,21.75,-1.35,,Ok,RealTime,17904,1,
2833.TW,TAIWAN LIFE INS ,33.3,32.85,0.6,,Ok,RealTime,54032,1,
2834.TW,TWN BIZ BANK    ,9.4,9.3,-0.11,,Ok,RealTime,16480,1,
2836.TW,BK OF KAOHSIUNG ,9.3,9.26,0.22,,Ok,RealTime,14080,1,
2838.TW,UNION BK        ,10.5,10.45,0.48,,Ok,RealTime,22960,2,
2841.TW,TAIWAN LAND     ,12,11.8,0.42,,Ok,RealTime,58000,1,
2845.TW,FEIB            ,10.8,10.7,0.46,,Ok,RealTime,43872,1,
2847.TW,TA CHONG BANK   ,11.15,10.9,1.36,,Ok,RealTime,56368,1,
2849.TW,ENTIE BANK      ,13.15,13.7,-1.13,,Ok,RealTime,20032,1,
2850.TW,SHINKONG INS    ,22.95,22.55,-0.22,,Ok,RealTime,14832,1,
2851.TW,CENTRAL REINS   ,15.9,15.9,0.63,,Ok,RealTime,11136,1,
2852.TW,FIRST INS       ,14.7,14.7,-0.34,,Ok,RealTime,10192,1,
2855.TW,PRESIDENT SEC   ,14.9,15.25,0.34,,Ok,RealTime,38736,1,
2856.TW,MASTERLINK SEC  ,9.87,9.72,0.2,,Ok,RealTime,32144,1,
2867.TW,MERCURIES LIFE  ,18.5,17.65,0.27,,Ok,RealTime,12224,1,
2880.TW,HUA NAN FIN     ,17.95,17.55,1.13,,Ok,RealTime,46160,2,
2881.TW,FUBON FIN HLDG  ,60.8,58.5,1.16,,Ok,RealTime,27280,1,
2882.TW,CATHAY FIN HLDG ,52.7,49.95,1.35,,Ok,RealTime,25616,1,
2883.TW,CHINA DVLP FIN H,10.8,10.2,1.41,,Ok,RealTime,25600,1,
2884.TW, E.S.F.H        ,21.2,20.4,0.47,,Ok,RealTime,63520,1,
2885.TW,YUANTA FHC      ,15.9,15.25,-0.31,,Ok,RealTime,32864,1,
2886.TW,MEGA FHC        ,27.65,27,0.55,,Ok,RealTime,22400,1,
2887.TW,TAISHIN FHC     ,12.75,12.65,-0.39,,Ok,RealTime,2672,1,
2888.TW,SKFH            ,9.49,9.15,0.85,,Ok,RealTime,3728,1,
2889.TW,WATERLAND FIN   ,8.52,8.47,-0.12,,Ok,RealTime,45200,1,
2890.TW,SINOPAC FHC     ,13.55,13.4,0.37,,Ok,RealTime,2368,1,
2891.TW,CHINATRUST FHC  ,23.85,23.6,0.63,,Ok,RealTime,22944,1,
2892.TW,FIRST FHC       ,18.85,18.65,0.53,,Ok,RealTime,5280,1,
2901.TW,SHIN SHIN CO LTD,29.1,28.8,-0.17,,Ok,RealTime,4704,1,
2903.TW,FAR EAST DEPT   ,18.65,19.05,0.27,,Ok,RealTime,44992,1,
2904.TW,PAN OVERSEAS    ,26.2,26.1,-0.38,,Ok,RealTime,11072,1,
2905.TW,MERCURIES       ,17.35,17.1,-0.58,,Ok,RealTime,29216,1,
2906.TW,COLLINS         ,13.5,14.35,0.75,,Ok,RealTime,8352,1,
2908.TW,TEST RITE INT'L ,20.45,20.75,-0.24,,Ok,RealTime,22512,1,
2910.TW,TONLIN DEPT     ,29,29.7,-3.97,,Ok,RealTime,7664,1,
2911.TW,LES ENPHANTS    ,14.4,13.85,1.77,,Ok,RealTime,17824,1,
2912.TW,PRESIDENT CHAIN ,215,208,0.23,,Ok,RealTime,8272,1,
2913.TW,TAIWAN TEA CORP ,15.2,15.2,-0.65,,Ok,RealTime,48928,1,
2915.TW,RUENTEX IND     ,68.1,66.6,1.04,,Ok,RealTime,17440,1,
2923.TW,SINO HORIZON    ,25.65,26.5,-6.39,,Ok,RealTime,49120,1,
2929.TW,TOPBI           ,120,111.5,-0.83,,Ok,RealTime,48928,1,
3002.TW,AHOKU ELTR      ,11.9,11.75,-0.83,,Ok,RealTime,6176,1,
3003.TW,K.S. TERMINALS  ,39.7,39.2,2.85,,Ok,RealTime,10240,1,
3004.TW,NAFCO           ,44,42.7,1.97,,Ok,RealTime,12288,1,
3005.TW,GETAC TECH      ,23.05,23.85,0.22,,Ok,RealTime,47104,2,
3006.TW,ESMT            ,34.6,32.45,0.29,,Ok,RealTime,24480,1,
3008.TW,LARGAN PRECISION,3400,3310,-2.86,,Ok,RealTime,20752,1,
3010.TW,WAH LEE INDU    ,51.4,51.6,-0.39,,Ok,RealTime,15184,1,
3011.TW,JI-HAW INDU     ,7,6.95,-0.57,,Ok,RealTime,8752,1,
3013.TW,CHENMING MOLD   ,19.85,19.25,0.51,,Ok,RealTime,20896,1,
3014.TW,ITE             ,28.8,30.1,-3.03,,Ok,RealTime,55120,1,
3015.TW,FSP TECH        ,17.7,18.25,-1.67,,Ok,RealTime,15328,1,
3016.TW,PRECISION       ,11.75,11.45,-0.42,,Ok,RealTime,17392,1,
3017.TW,AVC             ,25.7,25.75,-0.96,,Ok,RealTime,12336,1,
3018.TW,TUNG KAI TECH   ,15.4,15.5,0.98,,Ok,RealTime,8352,1,
3019.TW,ASIA OPTICAL    ,33.75,32.95,-1.03,,Ok,RealTime,9728,1,
3021.TW,WELLTEND        ,11.15,11.2,2.29,3:58:28,Ok,RealTime,6448,1,
3022.TW,IEI             ,49.4,48.9,0.71,,Ok,RealTime,46128,1,
3023.TW,SINBON ELEC     ,52.8,52.3,0.96,,Ok,RealTime,11904,1,
3024.TW,ACTION ELTR     ,4.93,4.9,0.41,,Ok,RealTime,8880,1,
3025.TW,LOOP TELECOM    ,10.1,10.1,-0.99,,Ok,RealTime,7680,1,
3026.TW,HOLYSTONE       ,41.1,40.85,0.49,,Ok,RealTime,15440,1,
3027.TW,BILLION         ,13.1,11.05,1.16,,Ok,RealTime,38704,1,
3028.TW,ZENITRON        ,17.3,17,0.58,,Ok,RealTime,18192,1,
3029.TW,ZERO ONE TECH   ,26.75,27.7,-1.11,,Ok,RealTime,2384,1,
3030.TW,TEST RESEARCH   ,63.6,65.9,1.44,,Ok,RealTime,18336,1,
3031.TW,BRIGHT LED      ,11.35,11.65,-0.44,,Ok,RealTime,25328,1,
3032.TW,COMPUCASE       ,16.95,16.8,1.19,,Ok,RealTime,16464,1,
3033.TW,WEIKENG INDU    ,22.9,22.8,0.22,,Ok,RealTime,12864,1,
3034.TW,NOVATEK MICROELE,128.5,138.5,0.78,,Ok,RealTime,11936,1,
3035.TW,FARADAY TECH    ,35.15,34.9,-3.3,,Ok,RealTime,39248,1,
3036.TW,WT MICROELECTRON,45.55,44.4,0.22,,Ok,RealTime,55904,2,
3037.TW,UNIMICRON TECH  ,16.45,16.45,0.3,,Ok,RealTime,55440,1,
3038.TW,EMERGING DISPLAY,6.92,7,-0.57,,Ok,RealTime,12752,1,
3040.TW,GLOBAL VIEW     ,41.95,41.25,-0.12,,Ok,RealTime,4544,1,
3041.TW,ALI             ,16.25,15.95,0.31,,Ok,RealTime,35136,1,
3042.TW,TXC             ,36.4,37.8,-1.09,,Ok,RealTime,27920,1,
3044.TW,TRIPOD TECH     ,55.9,55.5,1.27,,Ok,RealTime,10336,1,
3045.TW,TAIWAN MOBILE   ,102,100.5,-0.97,,Ok,RealTime,47392,1,
3046.TW,AOPEN           ,14.15,14.15,-0.35,,Ok,RealTime,9408,1,
3047.TW,EDIMAX TECH     ,9.7,9.99,1.04,,Ok,RealTime,22672,1,
3048.TW,EDOM            ,24.55,24.5,-1.01,,Ok,RealTime,28944,1,
3049.TW,HANNSTAR TOUCH  ,4.21,4.28,-1.17,,Ok,RealTime,37680,1,
3050.TW,U-TECH          ,6.64,6.61,-0.45,,Ok,RealTime,9968,1,
3052.TW,APEX            ,11.65,11.8,-2.51,,Ok,RealTime,10912,1,
3054.TW,CARRY           ,15.55,14.15,-2.81,,Ok,RealTime,35776,2,
3055.TW,SPIROX          ,15.3,15.1,-0.65,,Ok,RealTime,21856,1,
3056.TW,ZONG TAI        ,16.9,16.3,0.3,,Ok,RealTime,13328,1,
3057.TW,PROMISE         ,20.9,22.8,-1.42,,Ok,RealTime,2272,1,
3058.TW,LEADER          ,10.45,10.35,0.48,,Ok,RealTime,10304,1,
3059.TW,ALTEK           ,25.25,23.8,-1.17,,Ok,RealTime,49792,1,
3060.TW,MIN AIK         ,70.1,68.9,-0.99,,Ok,RealTime,41504,1,
3062.TW,CYBERTAN        ,20,20.15,-1.72,,Ok,RealTime,42896,1,
3090.TW,NICHIDENBO      ,25.75,25.25,0.19,,Ok,RealTime,8944,1,
3094.TW,DAVICOM         ,25.2,24.15,0.2,,Ok,RealTime,38352,1,
3130.TW,104 CORPORATION ,141,140.5,-0.71,,Ok,RealTime,8384,1,
3149.TW,G-TECH          ,15.75,15.4,-0.32,,Ok,RealTime,33760,1,
3164.TW,GENMONT BIOTECH ,26.7,24.65,-1.84,,Ok,RealTime,32176,1,
3167.TW,TALIANG         ,33.3,33.65,-0.6,,Ok,RealTime,6384,1,
3189.TW,KINSUS          ,76,75.8,-1.43,,Ok,RealTime,26464,1,
3209.TW,ALLTEK TECH     ,29.8,29.65,-0.33,,Ok,RealTime,15344,1,
3229.TW,CHEER TIME      ,30.6,31.7,-0.65,,Ok,RealTime,16848,1,
3231.TW,WISTRON CORP    ,22.45,23.15,-1.54,,Ok,RealTime,17232,1,
3257.TW,CHAMPION MICRO  ,54.6,55.9,-0.73,,Ok,RealTime,18336,1,
3266.TW,SUNTY           ,15.05,15,-0.33,,Ok,RealTime,28768,1,
3296.TW,POWERTECH       ,15.6,16.25,-4.59,,Ok,RealTime,6896,1,
3305.TW,SHENMAO         ,27.65,24.1,5.13,,Ok,RealTime,24080,1,
3308.TW,BESTEC POWER    ,8.33,8.17,2.21,,Ok,RealTime,11424,1,
3311.TW,SILITECH TECH   ,22,20.95,-0.68,,Ok,RealTime,52112,1,
3312.TW,G.M.I           ,10.35,10.3,-0.48,,Ok,RealTime,11568,1,
3315.TW,MAXTEK TECH     ,19.35,19.2,-0.78,1:12:44,Ok,RealTime,12400,1,
3338.TW,TAISOL          ,21,20.7,-0.94,,Ok,RealTime,12736,1,
3356.TW,GEO VISION      ,94,92.1,0.21,,Ok,RealTime,16224,1,
3376.TW,SHIN ZU SHING   ,86.4,85.9,1.53,,Ok,RealTime,17552,1,
3380.TW,ALPHA NETWORKS  ,17.05,17.35,-0.87,,Ok,RealTime,704,1,
3383.TW,GPI             ,10.4,10.4,-0.96,,Ok,RealTime,33648,1,
3406.TW,GENIUS          ,69.2,68.2,-2.26,,Ok,RealTime,10768,1,
3416.TW,WinMate         ,54.5,53.6,0.37,,Ok,RealTime,11760,1,
3419.TW,WHA YU          ,11.35,11.8,-2.58,,Ok,RealTime,8560,1,
3432.TW,TAI TWUN        ,15.45,15.4,-1.28,,Ok,RealTime,9584,1,
3437.TW,AOT             ,34.75,33.95,0.87,,Ok,RealTime,31792,1,
3443.TW,Global Unichip  ,78.7,79.8,-0.63,,Ok,RealTime,52000,1,
3450.TW,ELITE ADV LASER ,165,159,3.13,,Ok,RealTime,29792,1,
3454.TW,VIVOTEK         ,86.7,81.6,2.97,,Ok,RealTime,65312,1,
3474.TW,INOTERA MEMO    ,21.8,21,-3.96,,Ok,RealTime,36976,1,
3481.TW,INNOLUX         ,13.85,14,0.36,,Ok,RealTime,31904,1,
3494.TW,HITI DIGITAL    ,13.65,14.15,-1.09,,Ok,RealTime,45872,1,
3501.TW,WELL SHIN       ,45,42.85,0.22,,Ok,RealTime,24784,1,
3504.TW,YOUNG OPTICS    ,36.45,33.95,-1.22,,Ok,RealTime,34352,1,
3514.TW,GINTECH         ,20.1,21,0.5,,Ok,RealTime,53664,1,
3515.TW,ASROCK          ,54.5,55.7,-1.8,,Ok,RealTime,10784,1,
3518.TW,PARAGON TECH    ,54.1,53.6,-0.55,,Ok,RealTime,19200,1,
3519.TW,GREEN ENERGY    ,16.7,16.45,0.3,,Ok,RealTime,10192,1,
3532.TW,FORMOSA SUMCO   ,35.65,37.3,-3.26,,Ok,RealTime,30432,1,
3533.TW,LOTES           ,109,109,0.93,,Ok,RealTime,24256,1,
3535.TW,FAVITE          ,9.21,9.2,-0.97,,Ok,RealTime,10448,1,
3545.TW,FOCALTECH       ,30.65,31.3,-0.16,,Ok,RealTime,8032,1,
3550.TW,COPARTNER       ,12.85,12.7,-0.39,,Ok,RealTime,4928,1,
3557.TW,GAMMA OPTICAL   ,4.81,4.77,-0.82,,Ok,RealTime,7360,1,
3559.TW,GIGA SOLUTION   ,21.55,21.65,-0.69,,Ok,RealTime,25696,1,
3561.TW,SOLARTECH ENERGY,20.2,19.85,3.32,,Ok,RealTime,32176,1,
3573.TW,ENTIRE TECH     ,16.6,16.35,-4.05,,Ok,RealTime,18416,1,
3576.TW,NEO SOLAR POWER ,27.15,24.95,3.23,,Ok,RealTime,11616,1,
3579.TW,SAN CHIH        ,13.5,13.4,0.37,,Ok,RealTime,18256,1,
3583.TW,SCIENTECH       ,60.5,60.1,0.17,,Ok,RealTime,18624,1,
3584.TW,J TOUCH         ,11.05,11.45,-0.9,,Ok,RealTime,35008,1,
3588.TW,LEADTREND       ,31.8,32,-0.63,,Ok,RealTime,9856,1,
3591.TW,EDISON OPTO     ,20.7,21.15,-0.24,,Ok,RealTime,20272,1,
