Name,Version
<!>queryStatus,idle
<!>queryDuration,0 sec
<!>rowsReturned,1
Database Version,"Microsoft SQL Server 2005 - 9.00.1399.06 (Intel X86) 	Oct 14 2005 00:33:37 	Copyright (c) 1988-2005 Microsoft Corporation	Standard Edition on Windows NT 5.2 (Build 3790: Service Pack 2)"
