Name,Value,
cpuUtilisation,1.00 % (average load),
paging,-1,
swapUsed,0 %,
swapSize,16386 MB,
memoryUse,8066.7 MB,
memoryIdle,24056.1 MB,
memoryCached,5946.9 MB,
uptime,9 days,
timeDifference,0 seconds,
timezone,BST (+0100),
hostid,f3a96ac8,
totalPhysicalMemory,32122.8 MB,
hostname,gbwxvcerap02,
OS,Linux 2.6.9-55.9.EL.HF2smp #1 SMP Wed Oct 24 02:43:21 EDT 2007 x86_64 Red Hat Enterprise Linux AS release 4 (Nahant Update 5),
totalProcesses,223,
zombieProcesses,2,
