Parameter,Value
Dictionary,5
DictionaryCompress,5
Filter,0
LoginFailures,10
LoginSuccesses,59
Ping,62802
ReloginFailures,0
ReloginSuccesses,4
Unknown,0
UsageCollectReq,0
UsageSizeRequest,0
VerifyLogin,2
