Ticker,Ticker_Detail,Price,Change,Delta,Time
<!>timeSinceUpdate,462 seconds
<!>timeSinceModification,462 seconds
NKY:IND,NIKKEI 225,13661.13,-468.851,-3.31813%,1375079281
HSI:IND,HANG SENG INDEX,21850.15,-118.799,-0.54076%,1375084882
AS51:IND,S&P/ASX 200 INDEX,5046.327,4.30127,0.08531%,1375080853
KOSPI:IND,KOSPI INDEX,1899.89,-10.92,-0.57149%,1375088600
