Ticker,Ticker_Detail,Price,Change,Delta,Time
<!>timeSinceUpdate,462 seconds
<!>timeSinceModification,462 seconds
SPX:IND,S&P 500 INDEX,1683.2,-8.45007,-0.49952%,1375112081
CCMP:IND,NASDAQ COMPOSITE INDEX,3595.096,-18.0684,-0.50007%,1375113002
INDU:IND,DOW JONES INDUS. AVG,15494.58,-64.25,-0.41295%,1375113045
SPTSX:IND,S&P/TSX COMPOSITE INDEX,12629.3,-18.6006,-0.14706%,1375111845
IBOV:IND,BRAZIL IBOVESPA INDEX,49193.949,-228.102,-0.46154%,1375112160
