Ticker,Ticker_Detail,Price,Change,Delta,Time
EUBSC:IND,EUR-USD XCCY BASIS SW 3M,-8.76,0.66,7.00637%,1374865181
EUBS1:IND,EUR-USD XCCY BASIS SW 1Y,-16.4,0.5,2.95858%,1374863333
EUBS3:IND,EUR-USD XCCY BASIS SW 3Y,-26,0,0%,1374832149
