Jobname,Status,Start time,End time,Time Taken (mins),Next start,Max Run,
uni.prd.getpnlextract.elp,SUCCESS,Fri Oct 12 15:00:23 2012,Fri Oct 12 15:18:04 2012,17.7,Mon Oct 15 15:00:00 2012,60,
uni.prd.housekpbatch.elp,SUCCESS,Fri Oct 12 18:30:11 2012,Fri Oct 12 18:30:18 2012,0.1,Mon Oct 15 18:30:00 2012,120,
uni.prd.irc.deleteoldircdata.elp,SUCCESS,Mon Oct 15 05:23:23 2012,Mon Oct 15 05:29:04 2012,5.7,No Time,Not set,
uni.prd.irc.genscenarioriskreports.elp,SUCCESS,Mon Oct 15 05:23:23 2012,Mon Oct 15 05:23:28 2012,0.1,No Time,Not set,
uni.prd.irc.housekeeping.elp,SUCCESS,Fri Oct 12 19:00:30 2012,Fri Oct 12 19:00:32 2012,0.0,Mon Oct 15 19:00:00 2012,Not set,
uni.prd.linux.bouncebatch.box.elp,SUCCESS,Mon Oct 15 02:01:51 2012,Mon Oct 15 02:36:43 2012,34.9,No Time,Not set,
uni.prd.linux.bouncebatchpool1.box.elp,SUCCESS,Mon Oct 15 02:02:54 2012,Mon Oct 15 02:19:50 2012,16.9,No Time,Not set,
uni.prd.linux.bouncebatchpool2.box.elp,SUCCESS,Mon Oct 15 02:19:58 2012,Mon Oct 15 02:36:34 2012,16.6,No Time,Not set,
uni.prd.linux.bounceenginebatch001.elp,SUCCESS,Mon Oct 15 02:04:44 2012,Mon Oct 15 02:07:36 2012,2.9,No Time,Not set,
uni.prd.linux.bounceenginebatch002.elp,SUCCESS,Mon Oct 15 02:04:43 2012,Mon Oct 15 02:07:35 2012,2.9,No Time,Not set,
uni.prd.linux.bounceenginebatch004.elp,SUCCESS,Mon Oct 15 02:04:44 2012,Mon Oct 15 02:07:35 2012,2.9,No Time,Not set,
uni.prd.linux.bounceenginebatch005.elp,SUCCESS,Mon Oct 15 02:21:43 2012,Mon Oct 15 02:24:34 2012,2.9,No Time,Not set,
uni.prd.linux.bounceenginebatch007.elp,SUCCESS,Mon Oct 15 02:21:43 2012,Mon Oct 15 02:24:35 2012,2.9,No Time,Not set,
uni.prd.linux.bounceenginebatch008.elp,SUCCESS,Mon Oct 15 02:21:47 2012,Mon Oct 15 02:24:38 2012,2.9,No Time,Not set,
uni.prd.linux.bounceenginehistoric001.elp,SUCCESS,Mon Oct 15 02:04:44 2012,Mon Oct 15 02:07:36 2012,2.9,No Time,Not set,
uni.prd.linux.bounceenginehistoric003.elp,SUCCESS,Mon Oct 15 02:04:43 2012,Mon Oct 15 02:07:34 2012,2.9,No Time,Not set,
uni.prd.linux.bounceenginehistoric005.elp,SUCCESS,Mon Oct 15 03:10:51 2012,Mon Oct 15 03:13:42 2012,2.9,No Time,Not set,
uni.prd.linux.bounceengineprecheck001.elp,SUCCESS,Mon Oct 15 02:04:44 2012,Mon Oct 15 02:07:36 2012,2.9,No Time,Not set,
uni.prd.linux.bounceengineprecheck002.elp,SUCCESS,Mon Oct 15 02:04:43 2012,Mon Oct 15 02:07:34 2012,2.9,No Time,Not set,
uni.prd.linux.bounceengineprecheck003.elp,SUCCESS,Mon Oct 15 02:41:05 2012,Mon Oct 15 02:43:56 2012,2.9,No Time,Not set,
uni.prd.linux.bounceengineprimary001.elp,SUCCESS,Mon Oct 15 02:04:44 2012,Mon Oct 15 02:07:36 2012,2.9,No Time,Not set,
uni.prd.linux.bounceengineprimary002.elp,SUCCESS,Mon Oct 15 02:04:43 2012,Mon Oct 15 02:07:35 2012,2.9,No Time,Not set,
uni.prd.linux.bounceengineprimary004.elp,SUCCESS,Mon Oct 15 02:04:43 2012,Mon Oct 15 02:07:34 2012,2.9,No Time,Not set,
uni.prd.linux.bounceengineprimary005.elp,SUCCESS,Mon Oct 15 02:14:35 2012,Mon Oct 15 02:17:26 2012,2.9,No Time,Not set,
uni.prd.linux.bounceengineprimary007.elp,SUCCESS,Mon Oct 15 02:29:19 2012,Mon Oct 15 02:32:10 2012,2.9,No Time,Not set,
uni.prd.linux.bounceengineprimary008.elp,SUCCESS,Mon Oct 15 02:14:36 2012,Mon Oct 15 02:17:27 2012,2.9,No Time,Not set,
uni.prd.linux.bounceengineqq007.elp,SUCCESS,Mon Oct 15 02:04:40 2012,Mon Oct 15 02:07:31 2012,2.9,No Time,Not set,
uni.prd.linux.bounceengineqq009.elp,SUCCESS,Mon Oct 15 02:04:44 2012,Mon Oct 15 02:07:36 2012,2.9,No Time,Not set,
uni.prd.linux.bounceengineqq011.elp,SUCCESS,Mon Oct 15 04:49:07 2012,Mon Oct 15 04:51:59 2012,2.9,No Time,Not set,
uni.prd.linux.bounceenginescenario016.elp,SUCCESS,Fri Oct 12 21:04:08 2012,Fri Oct 12 21:07:00 2012,2.9,No Time,Not set,
uni.prd.linux.bounceenginescenario017.elp,SUCCESS,Fri Oct 12 21:04:08 2012,Fri Oct 12 21:07:00 2012,2.9,No Time,Not set,
uni.prd.linux.bounceenginescenario018.elp,SUCCESS,Fri Oct 12 21:04:08 2012,Fri Oct 12 21:07:00 2012,2.9,No Time,Not set,
uni.prd.linux.bounceenginescenario021.elp,SUCCESS,Fri Oct 12 21:04:08 2012,Fri Oct 12 21:07:00 2012,2.9,No Time,Not set,
uni.prd.linux.bounceenginescenario022.elp,SUCCESS,Fri Oct 12 21:04:08 2012,Fri Oct 12 21:07:00 2012,2.9,No Time,Not set,
uni.prd.linux.bounceenginescenario023.elp,SUCCESS,Fri Oct 12 21:11:29 2012,Fri Oct 12 21:14:21 2012,2.9,No Time,Not set,
uni.prd.linux.bounceenginescenario026.elp,SUCCESS,Fri Oct 12 21:11:29 2012,Fri Oct 12 21:14:21 2012,2.9,No Time,Not set,
uni.prd.linux.bounceenginescenario027.elp,SUCCESS,Fri Oct 12 21:11:29 2012,Fri Oct 12 21:14:21 2012,2.9,No Time,Not set,
uni.prd.linux.bounceenginescenario028.elp,SUCCESS,Fri Oct 12 21:11:29 2012,Fri Oct 12 21:14:21 2012,2.9,No Time,Not set,
uni.prd.linux.bounceenginesystem010.elp,SUCCESS,Mon Oct 15 02:04:40 2012,Mon Oct 15 02:07:31 2012,2.9,No Time,Not set,
uni.prd.linux.bounceenginesystem011.elp,SUCCESS,Mon Oct 15 02:04:40 2012,Mon Oct 15 02:07:32 2012,2.9,No Time,Not set,
uni.prd.linux.bounceenginesystem013.elp,SUCCESS,Mon Oct 15 02:04:44 2012,Mon Oct 15 02:07:36 2012,2.9,No Time,Not set,
uni.prd.linux.bounceenginesystem014.elp,SUCCESS,Mon Oct 15 02:14:32 2012,Mon Oct 15 02:17:23 2012,2.9,No Time,Not set,
uni.prd.linux.bounceenginesystem016.elp,SUCCESS,Mon Oct 15 02:14:34 2012,Mon Oct 15 02:17:26 2012,2.9,No Time,Not set,
uni.prd.linux.bounceenginesystem017.elp,SUCCESS,Mon Oct 15 02:14:33 2012,Mon Oct 15 02:17:25 2012,2.9,No Time,Not set,
uni.prd.linux.bouncehistoric.box.elp,SUCCESS,Mon Oct 15 02:01:51 2012,Mon Oct 15 04:15:53 2012,134.0,No Time,Not set,
uni.prd.linux.bouncehistoricpool1.box.elp,SUCCESS,Mon Oct 15 02:02:54 2012,Mon Oct 15 03:09:33 2012,66.7,No Time,Not set,
uni.prd.linux.bouncehistoricpool2.box.elp,SUCCESS,Mon Oct 15 03:09:41 2012,Mon Oct 15 04:15:06 2012,65.4,No Time,Not set,
uni.prd.linux.bounceprecheck.box.elp,SUCCESS,Mon Oct 15 02:01:51 2012,Mon Oct 15 02:56:56 2012,55.1,No Time,Not set,
uni.prd.linux.bounceprecheckpool1.box.elp,SUCCESS,Mon Oct 15 02:02:54 2012,Mon Oct 15 02:39:50 2012,36.9,No Time,Not set,
uni.prd.linux.bounceprecheckpool2.box.elp,SUCCESS,Mon Oct 15 02:39:58 2012,Mon Oct 15 02:56:47 2012,16.8,No Time,Not set,
uni.prd.linux.bounceprimary.box.elp,SUCCESS,Mon Oct 15 02:01:51 2012,Mon Oct 15 02:35:00 2012,33.1,No Time,Not set,
uni.prd.linux.bounceprimarypool1.box.elp,SUCCESS,Mon Oct 15 02:02:54 2012,Mon Oct 15 02:13:48 2012,10.9,No Time,Not set,
uni.prd.linux.bounceprimarypool2.box.elp,SUCCESS,Mon Oct 15 02:13:56 2012,Mon Oct 15 02:34:51 2012,20.9,No Time,Not set,
uni.prd.linux.bounceqq.box.elp,FAILURE,Mon Oct 15 02:01:51 2012,Mon Oct 15 04:12:40 2012,130.8,No Time,Not set,
uni.prd.linux.bounceqqpool1.box.elp,SUCCESS,Mon Oct 15 02:02:54 2012,Mon Oct 15 03:09:14 2012,66.3,No Time,Not set,
uni.prd.linux.bounceqqpool2.box.elp,FAILURE,Mon Oct 15 04:28:24 2012,Mon Oct 15 05:43:24 2012,75.0,No Time,Not set,
uni.prd.linux.bouncescenario.box.elp,SUCCESS,Fri Oct 12 21:01:33 2012,Fri Oct 12 21:16:31 2012,15.0,No Time,Not set,
uni.prd.linux.bouncescenariopool1.box.elp,SUCCESS,Fri Oct 12 21:02:28 2012,Fri Oct 12 21:09:56 2012,7.5,No Time,Not set,
uni.prd.linux.bouncescenariopool2.box.elp,SUCCESS,Fri Oct 12 21:10:04 2012,Fri Oct 12 21:16:19 2012,6.2,No Time,Not set,
uni.prd.linux.bouncesystem.box.elp,SUCCESS,Mon Oct 15 02:01:51 2012,Mon Oct 15 02:24:49 2012,23.0,No Time,Not set,
uni.prd.linux.bouncesystempool1.box.elp,SUCCESS,Mon Oct 15 02:02:55 2012,Mon Oct 15 02:13:46 2012,10.8,No Time,Not set,
uni.prd.linux.bouncesystempool2.box.elp,SUCCESS,Mon Oct 15 02:13:54 2012,Mon Oct 15 02:24:40 2012,10.8,No Time,Not set,
uni.prd.linux.epefxdata.elp,ON_ICE,Tue Jul 31 10:01:06 2012,Tue Jul 31 10:01:56 2012,0.8,Wed Aug  1 10:00:00 2012,120,
uni.prd.linux.epeinflationdata.elp,ON_ICE,Mon Aug  6 10:00:26 2012,Mon Aug  6 10:00:48 2012,0.4,Tue Aug  7 10:00:00 2012,120,
uni.prd.linux.epeirdata.elp,ON_ICE,Tue Jul  3 10:00:58 2012,Tue Jul  3 10:18:40 2012,17.7,Wed Jul  4 10:00:00 2012,120,
uni.prd.linux.famefeedbatch.elp,SUCCESS,Mon Oct 15 06:00:40 2012,Mon Oct 15 07:13:45 2012,73.1,Tue Oct 16 06:00:00 2012,Not set,
uni.prd.linux.startcheckersbatchpool1.elp,SUCCESS,Mon Oct 15 02:19:39 2012,Mon Oct 15 02:19:41 2012,0.0,No Time,Not set,
uni.prd.linux.startcheckersbatchpool2.elp,SUCCESS,Mon Oct 15 02:36:24 2012,Mon Oct 15 02:36:25 2012,0.0,No Time,Not set,
uni.prd.linux.startcheckershistoricpool1.elp,SUCCESS,Mon Oct 15 03:09:22 2012,Mon Oct 15 03:09:24 2012,0.0,No Time,Not set,
uni.prd.linux.startcheckershistoricpool2.elp,SUCCESS,Mon Oct 15 04:14:54 2012,Mon Oct 15 04:14:56 2012,0.0,No Time,Not set,
uni.prd.linux.startcheckersprecheckpool1.elp,SUCCESS,Mon Oct 15 02:39:40 2012,Mon Oct 15 02:39:41 2012,0.0,No Time,Not set,
uni.prd.linux.startcheckersprecheckpool2.elp,SUCCESS,Mon Oct 15 02:56:23 2012,Mon Oct 15 02:56:25 2012,0.0,No Time,Not set,
uni.prd.linux.startcheckersprimarypool1.elp,SUCCESS,Mon Oct 15 02:13:36 2012,Mon Oct 15 02:13:39 2012,0.1,No Time,Not set,
uni.prd.linux.startcheckersprimarypool2.elp,SUCCESS,Mon Oct 15 02:34:28 2012,Mon Oct 15 02:34:31 2012,0.1,No Time,Not set,
uni.prd.linux.startcheckersqqpool1.elp,SUCCESS,Mon Oct 15 03:09:04 2012,Mon Oct 15 03:09:05 2012,0.0,No Time,Not set,
uni.prd.linux.startcheckersqqpool2.elp,SUCCESS,Mon Oct 15 05:43:13 2012,Mon Oct 15 05:43:15 2012,0.0,No Time,Not set,
uni.prd.linux.startcheckersscenariopool1.elp,SUCCESS,Fri Oct 12 21:09:45 2012,Fri Oct 12 21:09:47 2012,0.0,No Time,Not set,
uni.prd.linux.startcheckersscenariopool2.elp,SUCCESS,Fri Oct 12 21:16:03 2012,Fri Oct 12 21:16:05 2012,0.0,No Time,Not set,
uni.prd.linux.startcheckerssystempool1.elp,SUCCESS,Mon Oct 15 02:13:35 2012,Mon Oct 15 02:13:37 2012,0.0,No Time,Not set,
uni.prd.linux.startcheckerssystempool2.elp,SUCCESS,Mon Oct 15 02:24:28 2012,Mon Oct 15 02:24:31 2012,0.1,No Time,Not set,
uni.prd.linux.stopenginecheckerbatch001.elp,SUCCESS,Mon Oct 15 02:03:44 2012,Mon Oct 15 02:03:51 2012,0.1,No Time,Not set,
uni.prd.linux.stopenginecheckerbatch002.elp,SUCCESS,Mon Oct 15 02:03:42 2012,Mon Oct 15 02:03:51 2012,0.1,No Time,Not set,
uni.prd.linux.stopenginecheckerbatch004.elp,SUCCESS,Mon Oct 15 02:03:43 2012,Mon Oct 15 02:03:51 2012,0.1,No Time,Not set,
uni.prd.linux.stopenginecheckerbatch005.elp,SUCCESS,Mon Oct 15 02:20:09 2012,Mon Oct 15 02:20:15 2012,0.1,No Time,Not set,
uni.prd.linux.stopenginecheckerbatch007.elp,SUCCESS,Mon Oct 15 02:20:09 2012,Mon Oct 15 02:20:15 2012,0.1,No Time,Not set,
uni.prd.linux.stopenginecheckerbatch008.elp,SUCCESS,Mon Oct 15 02:20:09 2012,Mon Oct 15 02:20:16 2012,0.1,No Time,Not set,
uni.prd.linux.stopenginecheckerhistoric001.elp,SUCCESS,Mon Oct 15 02:03:43 2012,Mon Oct 15 02:03:51 2012,0.1,No Time,Not set,
uni.prd.linux.stopenginecheckerhistoric003.elp,SUCCESS,Mon Oct 15 02:03:43 2012,Mon Oct 15 02:03:51 2012,0.1,No Time,Not set,
