Name,Value
Last configuration change time,06/01/2009 11:06:23
Last configuration change user,admin
Scheduled configuration time,-
Scheduled configuration user, 
Configuration lock state,Unlocked
Configuration lock owner, 
Configuration licence state,Licensed
