Name,Value
Output Score,0
Contribution Enabled,No
Updates Sent in Current Minute,0
Updates Sent in Current Hour,0
Updates Sent in Current Day,0
Queue Exceeded Holdoff Remain,-
Session #1, 
Connection to Marketlink,Down
Host,localhost:10300
