Name,Value,
cpuUtilisation,22.03 % (average load),
paging,17,
swapUsed,1 %,
swapSize,1129 MB,
memoryUse,724.0 MB,
memoryIdle,18.1 MB,
memoryCached,111.7 MB,
uptime,1 days,
timeDifference,0 seconds,
timezone,BST (+0100),
hostid,007f0200,
totalPhysicalMemory,742.1 MB,
hostname,presalesdemo,
OS,Linux 2.6.31.8-0.1-desktop #1 SMP PREEMPT 2009-12-15 23:55:40 +0100 i686 openSUSE 11.2 (i586),
totalProcesses,102,
zombieProcesses,0,
