UID,arrivalTime,count,genericType,specificType,source,community,uptime,NIKSUN-TRAPv2-OBJECTS-MIB::deviceType,NIKSUN-TRAPv2-OBJECTS-MIB::deviceVersion,NIKSUN-TRAPv2-OBJECTS-MIB::deviceHostname,NIKSUN-TRAPv2-OBJECTS-MIB::deviceIp,NIKSUN-TRAPv2-OBJECTS-MIB::recorder,NIKSUN-TRAPv2-OBJECTS-MIB::interface,NIKSUN-TRAPv2-OBJECTS-MIB::alarmModuleName,NIKSUN-TRAPv2-OBJECTS-MIB::alarmTypeIdentifier,NIKSUN-TRAPv2-OBJECTS-MIB::alarmCategory,NIKSUN-TRAPv2-OBJECTS-MIB::eventDescription,NIKSUN-TRAPv2-OBJECTS-MIB::eventTimeStamp,NIKSUN-TRAPv2-OBJECTS-MIB::eventSrcIP,NIKSUN-TRAPv2-OBJECTS-MIB::eventDstIP,NIKSUN-TRAPv2-OBJECTS-MIB::eventLayer,NIKSUN-TRAPv2-OBJECTS-MIB::eventSeverity,NIKSUN-TRAPv2-OBJECTS-MIB::eventFilter,NIKSUN-TRAPv2-OBJECTS-MIB::eventURL,NIKSUN-TRAPv2-OBJECTS-MIB::custom1Label,NIKSUN-TRAPv2-OBJECTS-MIB::custom1,NIKSUN-TRAPv2-OBJECTS-MIB::custom2Label,NIKSUN-TRAPv2-OBJECTS-MIB::custom2,NIKSUN-TRAPv2-OBJECTS-MIB::custom3Label,NIKSUN-TRAPv2-OBJECTS-MIB::custom3
c1ec3a0e0303da717a69957de24306788e011bd7a729309c9b1120535b9e3528,14-08-2013 07:14:02,1,0,20,10.25.8.126,NetVCRAdmin, 13:40:01.04,NetVCR,4.3.1.0_3,onlineapp6.niksun.com,10.25.8.126,onlineapp6.niksun.com,flcn0_vi0,NetSLM,REUTERS,Services,[11 repeats] Number of Packets(link) transmitted: 1126,1376478999.000000,n/a,n/a,link,Informational,"",https://onlineapp6.niksun.com/ngen/main.jsp?headless=false&openingScreen=Analysis&recorder=onlineapp6.niksun.com&iface=flcn0_vi0&endTime=1376478999.000000&startTime=1376478998.000000&layer=LINK&dataType1=packet,Threshold,1.000000,Breached Value,1126.000000,Interval,1.000000
ba63ab5320f50d0a124cb3e1bc77ffe2d23abd83e8a292c823510b2e53b39b14,14-08-2013 07:14:02,1,0,20,10.25.8.126,NetVCRAdmin, 13:40:01.06,NetVCR,4.3.1.0_3,onlineapp6.niksun.com,10.25.8.126,onlineapp6.niksun.com,flcn0_vi0,NetSLM,ICE,Services,[11 repeats] Bit Rate(ip): 3534672,1376478999.000000,n/a,n/a,ip,Critical,"",https://onlineapp6.niksun.com/ngen/main.jsp?headless=false&openingScreen=Analysis&recorder=onlineapp6.niksun.com&iface=flcn0_vi0&endTime=1376478999.000000&startTime=1376478998.000000&layer=IP&dataType1=bitRate,Threshold,70.000000,Breached Value,3534672.000000,Interval,1.000000
6470900181318791007d6445724694bd8c08ecae8bc87ddef4439f7ad3aaf0e1,14-08-2013 07:14:02,1,0,20,10.25.8.126,NetVCRAdmin, 13:40:01.08,NetVCR,4.3.1.0_3,onlineapp6.niksun.com,10.25.8.126,onlineapp6.niksun.com,flcn0_vi0,NetSLM,Bloomberg,Services,[11 repeats] Bit Rate(ip): 3534672,1376478999.000000,n/a,n/a,ip,Severe,"",https://onlineapp6.niksun.com/ngen/main.jsp?headless=false&openingScreen=Analysis&recorder=onlineapp6.niksun.com&iface=flcn0_vi0&endTime=1376478999.000000&startTime=1376478998.000000&layer=IP&dataType1=bitRate,Threshold,50.000000,Breached Value,3534672.000000,Interval,1.000000
935033e2d5878c96574a284262d3f66465fb404bcf4bbc8159d3364e28798f40,14-08-2013 07:14:12,1,0,20,10.25.8.126,NetVCRAdmin, 13:40:11.78,NetVCR,4.3.1.0_3,onlineapp6.niksun.com,10.25.8.126,onlineapp6.niksun.com,flcn0_vi0,NetSLM,REUTERS,Services,[9 repeats] Number of Packets(link) transmitted: 1136,1376479008.000000,n/a,n/a,link,Informational,"",https://onlineapp6.niksun.com/ngen/main.jsp?headless=false&openingScreen=Analysis&recorder=onlineapp6.niksun.com&iface=flcn0_vi0&endTime=1376479008.000000&startTime=1376479007.000000&layer=LINK&dataType1=packet,Threshold,1.000000,Breached Value,1136.000000,Interval,1.000000
c90de0cbcd3df356bf533ea23e0a5ec953fc74d85a0d784c15ef9a0bcd5c84d6,14-08-2013 07:14:12,1,0,20,10.25.8.126,NetVCRAdmin, 13:40:11.80,NetVCR,4.3.1.0_3,onlineapp6.niksun.com,10.25.8.126,onlineapp6.niksun.com,flcn0_vi0,NetSLM,ICE,Services,[9 repeats] Bit Rate(ip): 3592816,1376479008.000000,n/a,n/a,ip,Critical,"",https://onlineapp6.niksun.com/ngen/main.jsp?headless=false&openingScreen=Analysis&recorder=onlineapp6.niksun.com&iface=flcn0_vi0&endTime=1376479008.000000&startTime=1376479007.000000&layer=IP&dataType1=bitRate,Threshold,70.000000,Breached Value,3592816.000000,Interval,1.000000
c4020a5fad5b2ca014847da3686444dbb996841b1bb54c0832047e761e344bd7,14-08-2013 07:14:12,1,0,20,10.25.8.126,NetVCRAdmin, 13:40:11.82,NetVCR,4.3.1.0_3,onlineapp6.niksun.com,10.25.8.126,onlineapp6.niksun.com,flcn0_vi0,NetSLM,Bloomberg,Services,[9 repeats] Bit Rate(ip): 3592816,1376479008.000000,n/a,n/a,ip,Severe,"",https://onlineapp6.niksun.com/ngen/main.jsp?headless=false&openingScreen=Analysis&recorder=onlineapp6.niksun.com&iface=flcn0_vi0&endTime=1376479008.000000&startTime=1376479007.000000&layer=IP&dataType1=bitRate,Threshold,50.000000,Breached Value,3592816.000000,Interval,1.000000
bab3b976a22a489e8f8d6ca08cda1cf2fbf49e548d520cf8875e18c02d310885,14-08-2013 07:14:23,1,0,20,10.25.8.126,NetVCRAdmin, 13:40:22.50,NetVCR,4.3.1.0_3,onlineapp6.niksun.com,10.25.8.126,onlineapp6.niksun.com,flcn0_vi0,NetSLM,REUTERS,Services,[12 repeats] Number of Packets(link) transmitted: 1133,1376479020.000000,n/a,n/a,link,Informational,"",https://onlineapp6.niksun.com/ngen/main.jsp?headless=false&openingScreen=Analysis&recorder=onlineapp6.niksun.com&iface=flcn0_vi0&endTime=1376479020.000000&startTime=1376479019.000000&layer=LINK&dataType1=packet,Threshold,1.000000,Breached Value,1133.000000,Interval,1.000000
b907995fb4a3d3177d544f1900f60164df42a0eb0fbfd7335818aa1300f5c54d,14-08-2013 07:14:23,1,0,20,10.25.8.126,NetVCRAdmin, 13:40:22.52,NetVCR,4.3.1.0_3,onlineapp6.niksun.com,10.25.8.126,onlineapp6.niksun.com,flcn0_vi0,NetSLM,ICE,Services,[12 repeats] Bit Rate(ip): 3586976,1376479020.000000,n/a,n/a,ip,Critical,"",https://onlineapp6.niksun.com/ngen/main.jsp?headless=false&openingScreen=Analysis&recorder=onlineapp6.niksun.com&iface=flcn0_vi0&endTime=1376479020.000000&startTime=1376479019.000000&layer=IP&dataType1=bitRate,Threshold,70.000000,Breached Value,3586976.000000,Interval,1.000000
183e742d90c8ae2477e668a38a9da4413c7ab6fc037e6b4c2a2d07807053db1a,14-08-2013 07:14:23,1,0,20,10.25.8.126,NetVCRAdmin, 13:40:22.54,NetVCR,4.3.1.0_3,onlineapp6.niksun.com,10.25.8.126,onlineapp6.niksun.com,flcn0_vi0,NetSLM,Bloomberg,Services,[12 repeats] Bit Rate(ip): 3586976,1376479020.000000,n/a,n/a,ip,Severe,"",https://onlineapp6.niksun.com/ngen/main.jsp?headless=false&openingScreen=Analysis&recorder=onlineapp6.niksun.com&iface=flcn0_vi0&endTime=1376479020.000000&startTime=1376479019.000000&layer=IP&dataType1=bitRate,Threshold,50.000000,Breached Value,3586976.000000,Interval,1.000000
88da9986daf6b842adb741fc04afdad7a540d27571fabb27a9f894d1815e9a48,14-08-2013 07:14:35,1,0,20,10.25.8.126,NetVCRAdmin, 13:40:34.35,NetVCR,4.3.1.0_3,onlineapp6.niksun.com,10.25.8.126,onlineapp6.niksun.com,flcn0_vi0,NetSLM,REUTERS,Services,[12 repeats] Number of Packets(link) transmitted: 1130,1376479032.000000,n/a,n/a,link,Informational,"",https://onlineapp6.niksun.com/ngen/main.jsp?headless=false&openingScreen=Analysis&recorder=onlineapp6.niksun.com&iface=flcn0_vi0&endTime=1376479032.000000&startTime=1376479031.000000&layer=LINK&dataType1=packet,Threshold,1.000000,Breached Value,1130.000000,Interval,1.000000
