GENEOS Status Report,
Monday 20 Jul 2015 17:42:21,
samplingStatus,
OK,
instrument,Name,TradePrice,LastTradePrice,Change,PctChange,Time,Date,DataState,Timeliness,SeqNumber,Ticks,
.BVSP,BVSP BOVESPA IND,53101.06,52590.72,-138.113,-0.26,15:3:0,7/15/2015,Ok,RealTime,21712,3,
.GSPTSE,S&P/TSX COMP IDX,14685.73,14411.07,86.33,0.59,15:3:0,7/15/2015,Ok,RealTime,6654,1,
.MERV,BUSE MERVAL INDX,12409.05,11698.199,145.9,1.18,15:3:19,7/15/2015,Ok,RealTime,43168,1,
.MXX,MXSE IPC GRAL IN,45084.8,44915.98,-51.89,-0.11,15:3:23,7/15/2015,Ok,RealTime,62192,6,
