Report Key,Report Group,Report Name,Report Type,Report Arguments,Report Launch Date,Report Duration In Seconds,Execution Status,Report Status,Nb Errors,Nb Warnings,Report Duration
<!>Data Availability,OK
<!>Nb Jobs Executed,207
<!>Nb Jobs No Results,64
<!>Nb Jobs Failed,1
<!>Nb Jobs Succeeded,270
<!>Nb Errors,1
<!>Nb Warnings,908
<!>Total Duration in Seconds,26403
<!>Total Duration,07:20:03
FUTURE_POS - jeu. 8 aoû13 - 04:18:27,OTHER,FUTURE_POS,REPORT,CASALONDON; NULL; NULL; NULL; 07/06/2012,jeu. 8 aoû13 - 04:18:27,1,EXECUTED,SUCCEED,0,0,00:00:01
CA_CURVEFS - jeu. 8 aoû13 - 04:19:47,OTHER,CA_CURVEFS,REPORT,07/06/2012,jeu. 8 aoû13 - 04:19:47,6,EXECUTED,SUCCEED,0,0,00:00:06
JUSTPOCH - jeu. 8 aoû13 - 04:19:46,OTHER,JUSTPOCH,REPORT,07/06/2012; 30/04/2007; PARISCASA; NULL; NULL; NULL; No,jeu. 8 aoû13 - 04:19:46,40,EXECUTED,SUCCEED,0,0,00:00:40
JUSTPOCHPI - jeu. 8 aoû13 - 04:19:46,OTHER,JUSTPOCHPI,REPORT,07/06/2012; 30/04/2007; TRESO-PAR; NULL; NULL; NULL; No,jeu. 8 aoû13 - 04:19:46,44,EXECUTED,SUCCEED,0,0,00:00:44
UKCallAccountInventory - jeu. 8 aoû13 - 04:20:56,OTHER,UKCallAccountInventory,GLOBAL_SCRIPT,,jeu. 8 aoû13 - 04:20:56,25,EXECUTED,SUCCEED,0,0,00:00:25
CallAccountProjectedCashflows - jeu. 8 aoû13 - 04:23:41,OTHER,CallAccountProjectedCashflows,GLOBAL_REQUEST,,jeu. 8 aoû13 - 04:23:41,6,EXECUTED,SUCCEED,0,0,00:00:06
CPTY_INFI - jeu. 8 aoû13 - 04:21:09,OTHER,CPTY_INFI,REPORT,EMP,jeu. 8 aoû13 - 04:21:09,169,EXECUTED,FAILED,1,0,00:02:49
FUTURE_POS - jeu. 8 aoû13 - 04:24:05,OTHER,FUTURE_POS,REPORT,CASALONDON; NULL; NULL; NULL; 07/06/2012,jeu. 8 aoû13 - 04:24:05,1,EXECUTED,SUCCEED,0,0,00:00:01
CAE_PnLAccDay - jeu. 8 aoû13 - 04:19:55,OTHER,CAE_PnLAccDay,GLOBAL_SCRIPT,,jeu. 8 aoû13 - 04:19:55,284,EXECUTED,SUCCEED,0,79,00:04:44
BONDS_POS - jeu. 8 aoû13 - 04:24:54,OTHER,BONDS_POS,REPORT,CASALONDON; NULL; NULL; NULL; 07/06/2012,jeu. 8 aoû13 - 04:24:54,15,EXECUTED,SUCCEED,0,0,00:00:15
CALL_INV - jeu. 8 aoû13 - 04:25:50,OTHER,CALL_INV,REPORT,UK; 08/06/2012,jeu. 8 aoû13 - 04:25:50,2,EXECUTED,SUCCEED,0,0,00:00:02
CAE_PnLAccYear - jeu. 8 aoû13 - 04:20:17,OTHER,CAE_PnLAccYear,GLOBAL_SCRIPT,,jeu. 8 aoû13 - 04:20:17,359,EXECUTED,SUCCEED,0,81,00:05:59
DEALS_CASA - jeu. 8 aoû13 - 04:20:11,OTHER,DEALS_CASA,REPORT,PARISCASA; NULL; NULL; NULL; NULL; 07/06/2012; NULL; NULL; NULL; All,jeu. 8 aoû13 - 04:20:11,560,EXECUTED,SUCCEED,0,0,00:09:20
