GENEOS Status Report,
Monday 20 Jul 2015 17:42:02,
samplingStatus,Currency,HistClose,IndexName,IndexValue,NetChange,Open,Time,TradeDate,
OK,USD,2108.95,S&P 500 INDEX   ,2113.22,4.27,2109.01,15:3:13,7/15/2015,
instrument,Name,Value,LastValue,PctChange,Time,DataState,Timeliness,SeqNumber,Ticks,
BDX.N,BECTON DICKINSN ,147.64,144.76,0.2785,15:3:10,Ok,RealTime,4112,6,
BEN.N,FRANKLIN RES    ,49.17,49.05,0.5933,15:3:9,Ok,RealTime,59584,5,
BFb.N,BROWN FORMAN B  ,101.59,101.69,-0.5287,15:2:53,Ok,RealTime,58992,2,
BHI.N,BAKER HUGHES INC,60.55,59.9,-0.9488,15:2:37,Ok,RealTime,33280,2,
BIIB.OQ,BIOGEN INC      ,404.44,400.2,1.0595,15:3:3,Ok,RealTime,51664,1,
BK.N,BANK NY MELLON  ,42.7,41.7,0.3997,15:2:37,Ok,RealTime,13840,3,
BLK.N,BLACKROCK INC   ,345.32,342.76,0.7557,15:0:7,Ok,RealTime,34896,2,
BLL.N,BALL CORP       ,71.58,70.14,1.345,15:2:26,Ok,RealTime,54768,3,
BMY.N,BRISTOL MYERS SQ,70.16,69.67,0.1427,15:3:7,Ok,RealTime,50928,7,
BRCM.OQ,BROADCOM CORP   ,52.84,52.85,-0.0189,15:2:59,Ok,RealTime,19696,4,
BRKb.N,BERKSHRE CL B   ,141.88,139.67,0.5385,15:3:14,Ok,RealTime,43054,2,
BSX.N,BOSTON SCIEN CP ,17.78,17.71,-0.6149,15:2:37,Ok,RealTime,23632,2,
BWA.N,BORGWARNER      ,54.33,54.05,-0.4033,15:2:58,Ok,RealTime,18000,1,
BXP.N,BOSTON PPTY     ,124.12,125.21,-0.4092,14:59:20,Ok,RealTime,58608,2,
C.N,CITIGROUP       ,56.41,55.25,0.8943,15:3:10,Ok,RealTime,13024,8,
CA.OQ,CA IN           ,30.575,30.5,0.2459,15:2:46,Ok,RealTime,33072,1,
CAG.N,CONAGRA FOODS   ,44.59,44.81,-0.2907,15:3:12,Ok,RealTime,49312,7,
CAH.N,CARDINAL HLTH   ,86.79,85.86,0.7195,15:2:59,Ok,RealTime,96,1,
CAM.N,CAMERON INTL    ,51.46,51.04,-1.0385,15:2:37,Ok,RealTime,7232,2,
CAT.N,CATERPILLAR INC ,84.73,82.15,0.3197,15:2:57,Ok,RealTime,38000,2,
CB.N,CHUBB CORP      ,121.91,121.51,0.041,15:3:6,Ok,RealTime,17008,4,
CBG.N,CBRE GROUP INC A,37.86,37.94,-0.4208,15:3:1,Ok,RealTime,61872,2,
CBS.N,CBS CL B        ,55.71,55.62,0.5596,15:3:14,Ok,RealTime,53886,9,
CCE.N,COCA COLA ENT   ,45.53,45.13,-0.3938,15:2:20,Ok,RealTime,29648,4,
CCI.N,CROWN CASTLE    ,81.04,81.65,-0.601,15:0:38,Ok,RealTime,38704,1,
CCL.N,CARNIVAL CORP   ,52.13,51.96,-0.1341,15:3:10,Ok,RealTime,61952,6,
CELG.OQ,CELGENE CORP    ,133.94,122.85,9.0273,15:3:8,Ok,RealTime,38496,4,
CERN.OQ,CERNER CORP     ,71.98,71.3,0.9537,15:3:13,Ok,RealTime,24608,2,
CF.N,CF INDUSTRIES   ,62.64,61.92,-0.0638,15:3:13,Ok,RealTime,46814,2,
CHK.N,CHESAPEAKE ENER ,11.35,11.07,-0.2636,15:3:6,Ok,RealTime,43712,1,
CHRW.OQ,CH ROBINSON WW  ,63.92,64.32,-0.6219,15:2:36,Ok,RealTime,2064,1,
CI.N,CIGNA CORP      ,156.3,155.34,0.2244,15:2:23,Ok,RealTime,19440,2,
CINF.OQ,CINCINNATI FIN  ,53.31,54.17,-1.5876,15:1:42,Ok,RealTime,1952,5,
CL.N,COLGATE PALMOLIV,66.98,67.23,-0.4311,15:3:6,Ok,RealTime,55600,2,
CLX.N,CLOROX CO       ,109.32,108.21,0.6444,15:3:9,Ok,RealTime,20208,2,
CMA.N,COMERICA INC    ,50.19,49.57,1.0876,15:3:10,Ok,RealTime,63008,7,
CMCSA.OQ,COMCAST CORP A  ,63.4,63.24,0.253,15:3:11,Ok,RealTime,25968,10,
CME.OQ,CME GROUP INC A ,97.5,97.22,0.288,15:2:51,Ok,RealTime,11136,1,
CMG.N,CHIPOTLE MX GRL ,662.099,654.37,1.0129,15:2:37,Ok,RealTime,27504,2,
CMI.N,CUMMINS INC     ,130.75,129.15,0.6776,15:3:6,Ok,RealTime,9120,3,
CMS.N,CMS ENERGY CORP ,33.65,33.76,-0.3258,15:3:11,Ok,RealTime,55696,10,
CNP.N,CENTERPOINT     ,19.22,19.15,-0.2077,15:3:0,Ok,RealTime,14032,8,
CNX.N,CONSOL ENERGY   ,19.7,19.35,-1.6475,15:3:13,Ok,RealTime,7328,11,
COF.N,CAP ONE FINAN   ,90.42,88.5,1.5727,15:3:2,Ok,RealTime,3840,3,
COG.N,CABOT OIL GAS   ,29.83,29.31,-0.2341,15:3:7,Ok,RealTime,31840,3,
COH.N,COACH           ,33.07,33.29,-1.0769,15:1:45,Ok,RealTime,20960,1,
COL.N,ROCKWELL COLL   ,93.65,92.55,0.3644,15:2:33,Ok,RealTime,46256,2,
COP.N,CONOCOPHILLIPS  ,59.38,58.81,-0.252,15:3:7,Ok,RealTime,14384,8,
COST.OQ,COSTCO WHOLESAL ,143.29,143.93,-0.4447,15:3:8,Ok,RealTime,25920,2,
CPB.N,CAMPBELL SOUP CO,47.82,47.9,-0.6441,15:1:51,Ok,RealTime,24608,2,
CRM.N,SALESFORCE COM  ,72.07,71.12,0.39,15:3:11,Ok,RealTime,12832,3,
