GENEOS Status Report,
Monday 20 Jul 2015 17:42:02,
samplingStatus,Currency,HistClose,IndexName,IndexValue,NetChange,Open,Time,TradeDate,
OK,USD,2108.95,S&P 500 INDEX   ,2113.22,4.27,2109.01,15:3:13,7/15/2015,
instrument,Name,Value,LastValue,PctChange,Time,DataState,Timeliness,SeqNumber,Ticks,
JWN.N,NORDSTROM INC   ,77.88,78.13,-0.1666,15:3:3,Ok,RealTime,62000,3,
K.N,KELLOGG CO      ,63.89,64.14,-0.3587,15:3:11,Ok,RealTime,43136,4,
KEY.N,KEYCORP NEW     ,15.325,14.91,0.9552,15:2:30,Ok,RealTime,22992,5,
KIM.N,KIMCO REALTY CP ,24.29,24.14,0.7466,15:2:59,Ok,RealTime,62784,4,
KLAC.OQ,KLA TENCOR      ,55.49,55.63,-0.2517,15:3:4,Ok,RealTime,8800,9,
KMB.N,KIMBERLY-CLARK  ,111,110.41,0.0451,15:2:7,Ok,RealTime,43520,2,
KMI.N,KINDER MORGAN   ,38.18,38.175,0.4208,15:2:57,Ok,RealTime,11296,6,
KMX.N,CARMAX INC      ,67.71,68.06,-0.4557,15:2:52,Ok,RealTime,23824,1,
KO.N,COCA-COLA CO    ,41.35,40.65,0.4372,15:3:9,Ok,RealTime,26224,7,
KORS.N,MCHAEL KRS HLDNG,42.79,42.48,-1.5869,15:2:58,Ok,RealTime,8976,2,
KR.N,KROGER CO       ,38.375,76.33,0.4581,15:3:6,Ok,RealTime,46752,3,
KSS.N,KOHL'S CRP      ,63.63,63.96,-1.7601,15:3:9,Ok,RealTime,20368,6,
KSU.N,KANSAS CITY SO  ,94.5,94.39,0.0529,15:3:6,Ok,RealTime,34672,14,
L.N,LOEWS CORP      ,39.09,39,0.3594,15:3:7,Ok,RealTime,30496,2,
LB.N,L BRANDS INC    ,83.88,84.43,-0.1429,15:3:11,Ok,RealTime,27296,4,
LEG.N,LEGGETT& PLATT  ,50.68,50.02,-0.2362,15:2:37,Ok,RealTime,54496,2,
LEN.N,LENNAR CP CL A  ,53.04,53.3,-1.2842,15:3:12,Ok,RealTime,15872,7,
LH.N,LAB CRP OF AMER ,123.339,120.28,-0.3241,15:3:11,Ok,RealTime,21280,6,
LLL.N,L-3 COMMS HLDGS ,121.44,121.27,-0.1808,15:0:56,Ok,RealTime,51376,2,
LLTC.OQ,LINEAR TECH     ,43.42,43.54,-0.2756,15:3:1,Ok,RealTime,33888,1,
LLY.N,ELI LILLY       ,87.63,89.96,-1.2731,15:3:8,Ok,RealTime,22480,8,
LM.N,LEGG MASON      ,49.47,49.33,0.5692,15:3:7,Ok,RealTime,64016,1,
LMT.N,LOCKHEED MARTIN ,198.87,197.57,-0.0904,15:2:24,Ok,RealTime,20080,2,
LNC.N,LINCOLN NATL    ,58.69,59.24,0.2562,15:2:57,Ok,RealTime,48432,2,
LOW.N,LOWES COMPANIES ,68.3,68.3,-0.1316,15:3:7,Ok,RealTime,10896,8,
LRCX.OQ,LAM RESEARCH    ,79.81,79.85,-0.0501,15:2:55,Ok,RealTime,18080,1,
LUK.N,LEUCADIA NATL CP,25.14,24.76,-0.2381,14:59:19,Ok,RealTime,3488,2,
LUV.N,SW AIRLINES     ,33.58,34.35,-0.8269,15:2:54,Ok,RealTime,65168,3,
LVLT.N,LEVEL 3 COMM INC,52.45,51.91,-0.3041,15:3:4,Ok,RealTime,58384,8,
LYB.N,LYONDELLBASEL A ,101.1,99.11,-0.0198,15:2:50,Ok,RealTime,51296,4,
M.N,MACYS INC       ,66.26,67.05,-0.7043,15:3:11,Ok,RealTime,39776,17,
MA.N,MASTERCARD CL A ,95.41,94.62,0.147,15:3:11,Ok,RealTime,36798,2,
MAC.N,MACERICH        ,78.31,77.68,0.0128,15:2:17,Ok,RealTime,47744,3,
MAR.OQ,MARRIOT INTERNL ,77.83,77.26,0.7378,15:3:0,Ok,RealTime,39648,1,
MAS.N,MASCO CORP      ,23.61,23.53,-0.1269,15:1:18,Ok,RealTime,33504,2,
MAT.OQ,MATTEL INC      ,25.59,25.815,-0.8716,15:2:26,Ok,RealTime,4736,2,
MCD.N,MCDONALD'S CORP ,99.24,97.64,0.4657,15:3:7,Ok,RealTime,49184,3,
MCHP.OQ,MICROCHIP TECH  ,45.15,45.22,-0.1548,15:2:37,Ok,RealTime,46336,1,
MCK.N,MCKESSON CRP    ,234.4,229.53,0.2438,15:2:44,Ok,RealTime,26576,1,
MCO.N,MOODY'S         ,112,110.47,-0.0892,15:2:33,Ok,RealTime,28864,2,
MDLZ.OQ,MONDELEZ INT CLA,41.445,41.88,-1.0387,15:2:50,Ok,RealTime,1984,3,
MDT.N,MEDTRONIC PLC   ,75.97,74.37,0.1054,15:3:10,Ok,RealTime,5840,15,
MET.N,METLIFE INC     ,56.89,56.6,0.3705,15:3:9,Ok,RealTime,53200,3,
MHFI.N,MCGRAW HILL FINA,104.66,103.15,0.2683,15:2:59,Ok,RealTime,63600,3,
MHK.N,MOHAWK INDS     ,195.55,193.96,-0.255,15:1:31,Ok,RealTime,40224,2,
MJN.N,MEAD JOHNSON NTR,84.68,89.5,-3.9147,15:2:36,Ok,RealTime,7040,3,
MKC.N,MCCORMICK & CO  ,80.24,80.56,-0.5946,15:2:38,Ok,RealTime,63600,2,
MLM.N,M MARIETTA      ,150.26,152.9,-1.0536,15:2:10,Ok,RealTime,22576,3,
MMC.N,MARSH & MCLENNAN,57.86,57.57,0.1211,15:2:28,Ok,RealTime,43312,4,
MMM.N,3M COMPANY      ,156.9,156.55,0.0765,15:2:39,Ok,RealTime,39824,8,
MNK.N,MALLINCKRODT    ,125.64,122.41,1.2899,15:2:55,Ok,RealTime,63568,1,
MNST.OQ,MONSTER BEV CORP,141.73,140.88,0.6034,15:2:54,Ok,RealTime,55968,2,
MO.N,ALTRIA GROUP    ,51.4,51.6,0.0974,15:3:13,Ok,RealTime,60096,9,
MON.N,MONSANTO CO     ,107.64,109.11,-0.1484,15:2:20,Ok,RealTime,57392,5,
MOS.N,MOSAIC COMPANY  ,45.49,45.33,-0.5248,15:2:42,Ok,RealTime,13536,1,
MPC.N,MARTHN PETRO    ,58.08,59.4,-1.2077,15:3:4,Ok,RealTime,54496,2,
MRK.N,MERCK & CO      ,58.51,58.29,0.5499,15:3:9,Ok,RealTime,52496,5,
MRO.N,MARATHON OIL    ,25,24.48,-0.319,15:3:13,Ok,RealTime,46464,12,
MS.N,MORGAN STANLEY  ,39.78,39.01,0.1763,15:3:2,Ok,RealTime,17504,4,
MSFT.OQ,MICROSOFT CP    ,45.82,45.62,0.4384,15:3:12,Ok,RealTime,19072,9,
MSI.N,MOTOROLA SOL    ,58.85,58,0.4266,15:2:9,Ok,RealTime,28400,2,
MTB.N,M&T BANK CRP    ,128.21,126.21,0.8099,15:2:33,Ok,RealTime,47120,1,
MU.OQ,MICRON TECH     ,19.1,19.61,-2.6007,15:3:8,Ok,RealTime,30784,10,
MUR.N,MURPHY OIL CORP ,40.68,39.88,-0.3185,15:3:8,Ok,RealTime,31632,9,
MYL.OQ,MYLAN NV        ,71.21,71.42,-0.294,15:3:10,Ok,RealTime,48800,5,
NAVI.OQ,NAVIENT CORP    ,16.49,16.42,0.4263,15:2:27,Ok,RealTime,37376,3,
NBL.N,NOBLE ENERGY    ,39.77,38.72,0.4293,15:3:7,Ok,RealTime,36736,3,
NDAQ.OQ,NASDAQ OMX GRP  ,51.19,51.16,0.0586,15:1:27,Ok,RealTime,25136,1,
NE.N,NOBLE CORPN PLC ,14.65,14.3,0.4801,15:3:7,Ok,RealTime,39520,5,
NEE.N,NEXTERA ENERGY  ,101.91,101.58,-0.0784,15:3:8,Ok,RealTime,36608,3,
NEM.N,NEWMONT MINING  ,21.94,22.12,-0.9481,15:2:51,Ok,RealTime,47024,1,
NFLX.OQ,NETFLIX INC     ,100,702.6,-0.3699,15:3:13,Ok,RealTime,17102,9,
NFX.N,NEWFIELD EXPL   ,35.69,35.11,-2.2995,15:3:14,Ok,RealTime,11150,2,
NI.N,NISOURCE INC    ,16.82,16.885,0.2384,15:3:12,Ok,RealTime,10688,2,
NKE.N,NIKE INC CL B   ,112.11,112.43,-0.2047,15:3:9,Ok,RealTime,63040,8,
NLSN.N,NIELSEN NV      ,45.52,45.28,-0.1754,15:2:10,Ok,RealTime,20480,2,
NOC.N,NORTHROP GRUMMAN,168.51,165.29,0.0119,15:2:47,Ok,RealTime,48,1,
NOV.N,NTL OILWELL VARC,45.13,45.59,-0.8568,15:3:7,Ok,RealTime,56064,4,
NRG.N,NRG ENERGY      ,21.84,21.71,-1.087,15:3:7,Ok,RealTime,60240,5,
NSC.N,NORFOLK SOUTHERN,87.76,86.66,1.1993,15:3:11,Ok,RealTime,8768,14,
NTAP.OQ,NETAPP INC      ,31.115,30.89,0.7284,15:1:57,Ok,RealTime,50528,1,
NTRS.OQ,NORTHERN TRUST  ,77.55,77.24,0.4013,15:2:36,Ok,RealTime,60240,2,
NUE.N,NUCOR           ,43.56,43.72,-1.4033,15:3:7,Ok,RealTime,60752,9,
NVDA.OQ,NVIDIA CORP     ,19.91,19.89,0.1006,15:3:7,Ok,RealTime,52864,3,
NWL.N,NEWELL RUBBERMD ,42,42.49,-0.5917,15:2:8,Ok,RealTime,17024,4,
NWSA.OQ,NEWS CORP CL A  ,14.43,14.43,0,15:2:37,Ok,RealTime,44688,3,
O.N,REALTY INCM CORP,46.57,46.3,0.2583,15:1:54,Ok,RealTime,33200,1,
OI.N,OWENS-ILLINOIS  ,22.09,22.06,-0.4507,15:1:29,Ok,RealTime,35280,2,
OKE.N,ONEOK INC       ,41.02,39.54,-0.9179,15:2:40,Ok,RealTime,12032,4,
OMC.N,OMNICOM GP INC  ,72.99,72.69,0.468,15:2:47,Ok,RealTime,7840,2,
ORCL.N,ORACLE CORP     ,40.8,40.34,0.049,15:2:37,Ok,RealTime,12640,4,
ORLY.OQ,O REILLY AUTO   ,238.135,237.28,0.3603,15:3:8,Ok,RealTime,58320,4,
OXY.N,OCCIDENTAL PETE ,73.96,72.91,-0.4308,15:3:3,Ok,RealTime,53200,6,
PAYX.OQ,PAYCHEX INC     ,48.19,48.17,0.0415,15:3:2,Ok,RealTime,31856,1,
PBCT.OQ,PEOPLE UNTD FIN ,16.3,16.21,0.5552,15:2:28,Ok,RealTime,53040,2,
PBI.N,PITNEY BOWES INC,21.325,21.09,-0.1171,15:3:14,Ok,RealTime,60126,5,
PCAR.OQ,PACCAR INC      ,64.95,64.89,0.0925,15:1:59,Ok,RealTime,19216,4,
PCG.N,PG&E CORP       ,51.13,51.42,0.2549,15:3:12,Ok,RealTime,18544,10,
PCL.N,PLUM CREEK TIMB ,41,40.78,0.1955,15:1:18,Ok,RealTime,26000,2,
PCLN.OQ,PRICELINE GRP   ,1175.09,1171.43,0.3124,15:1:33,Ok,RealTime,65344,2,
PCP.N,PRECISION CAST  ,192.3,193.9,-0.7381,15:2:24,Ok,RealTime,30720,1,
PDCO.OQ,PATTERSON COS   ,49.13,49.04,0.635,15:2:21,Ok,RealTime,10320,1,
PEG.N,PUBL SVC ENTER  ,40.75,40.98,-0.318,15:2:52,Ok,RealTime,38496,5,
PEP.N,PEPSICO INC     ,96.95,97.12,-0.1853,15:3:12,Ok,RealTime,59856,6,
PFE.N,PFIZER INC      ,35.08,34.79,0,15:3:13,Ok,RealTime,48224,13,
PFG.N,PRINCIPAL FINL  ,52.36,51.21,0.3065,15:3:7,Ok,RealTime,38784,2,
PG.N,PROCTER & GAMBLE,82.02,81.93,-0.0244,15:3:13,Ok,RealTime,35872,5,
PGR.N,THE PROGRESSIVE ,29.82,29.67,0.1343,15:2:10,Ok,RealTime,36464,2,
PH.N,PARKER-HANNIFIN ,113.59,114,-0.8986,15:2:55,Ok,RealTime,43152,1,
PHM.N,PULTEGROUP INC  ,20.65,20.72,-1.1489,15:3:10,Ok,RealTime,64096,7,
PKI.N,PERKINELMER     ,52.98,51.53,0.0945,15:2:39,Ok,RealTime,32288,1,
PLD.N,PROLOGIS        ,39.09,38.91,0.5143,15:3:2,Ok,RealTime,28128,3,
PLL.N,PALL CORP       ,125.55,125.45,-0.0478,15:1:28,Ok,RealTime,48608,3,
PM.N,PHILIP MORRIS   ,82.64,82.17,-0.0484,15:3:7,Ok,RealTime,30272,11,
PNC.N,PNC FINL SVC    ,98.06,96.87,0.5744,15:3:12,Ok,RealTime,54048,12,
PNR.N,PENTAIR PLC     ,64.13,64.55,-1.7917,15:2:58,Ok,RealTime,50336,1,
PNW.N,PINNACL WEST CAP,59.82,60.14,-0.4824,15:2:29,Ok,RealTime,13728,5,
POM.N,PEPCO HOLDINGS  ,26.87,26.84,0.0372,15:2:32,Ok,RealTime,59536,1,
PPG.N,PPG IND         ,117.675,114.92,0.0553,15:2:37,Ok,RealTime,54032,3,
PPL.N,PPL CORP        ,30.85,31.06,-0.4518,15:3:13,Ok,RealTime,24528,7,
PRGO.N,PERRIGO CMPN PLC,185.08,180.82,-0.5962,15:2:38,Ok,RealTime,41824,1,
PRU.N,PRUDENTIAL FINL ,88.89,88.82,0.1577,15:2:46,Ok,RealTime,51920,1,
PSA.N,PBL STG MLD     ,198.22,196.15,0.2732,15:1:2,Ok,RealTime,42960,2,
PSX.N,PHILLIPS 66     ,82.74,83.49,-0.9339,15:3:6,Ok,RealTime,17744,1,
PVH.N,PVH CORP        ,115.12,113.58,-0.5529,15:0:3,Ok,RealTime,53184,2,
PWR.N,QUANTA SERVICES ,28.62,28.09,-0.9689,15:3:11,Ok,RealTime,18064,8,
PX.N,PRAXAIR INC     ,119.43,117.36,0.1341,15:3:6,Ok,RealTime,7024,4,
PXD.N,PIONEER NAT     ,136.45,134.03,-0.416,15:0:48,Ok,RealTime,36304,7,
QCOM.OQ,QUALCOMM INC    ,63.975,63.94,0.0547,15:3:2,Ok,RealTime,58016,4,
QEP.N,QEP RESOURCES   ,16.37,15.78,-0.6675,15:3:9,Ok,RealTime,60480,11,
R.N,RYDER SYSTEM INC,91.24,91.19,-0.2405,15:0:53,Ok,RealTime,10480,4,
RAI.N,REYNOLDS AMRICAN,77.57,77.4,-0.103,15:3:13,Ok,RealTime,45536,10,
RCL.N,ROYAL CARIBBEAN ,83.83,82.71,0.2511,15:2:52,Ok,RealTime,47360,2,
REGN.OQ,REGENERON PHAR  ,546.11,542.9,0.5913,15:2:44,Ok,RealTime,12704,2,
RF.N,REGIONS FINANCL ,10.39,10.23,1.6634,15:3:13,Ok,RealTime,49376,5,
RHI.N,ROB HALF INTL   ,56.6,56.18,-0.4923,15:1:58,Ok,RealTime,36976,2,
RHT.N,RED HAT INC     ,80.49,78.54,-0.2479,15:2:15,Ok,RealTime,12736,4,
RIG.N,TRANSOCEAN LTD  ,15.03,14.63,-0.5295,15:2:45,Ok,RealTime,39312,4,
RL.N,RALPH LAUREN COR,133.07,133.86,-1.6336,15:2:58,Ok,RealTime,40624,3,
ROK.N,ROCKWELL AUTOMAT,124.43,123.66,-0.456,15:2:30,Ok,RealTime,24176,2,
ROP.N,ROPER TECHNOLOGS,177.16,172.31,0.198,14:55:55,Ok,RealTime,13248,1,
ROST.OQ,ROSS STORES     ,52.3,52.43,-0.2479,15:2:58,Ok,RealTime,27712,1,
RRC.N,RANGE RESOURCES ,47.67,44.95,-0.0838,15:3:7,Ok,RealTime,13104,5,
RSG.N,REPUBLIC SVCS   ,40.47,39.745,0.2974,15:3:8,Ok,RealTime,42016,2,
RTN.N,RAYTHEON CO     ,99.69,99.98,-0.8553,15:2:53,Ok,RealTime,27760,3,
SBUX.OQ,STARBUCKS CORP  ,55.91,55.75,0.287,15:3:11,Ok,RealTime,59152,10,
SCG.N,SCANA CORP      ,52.67,53.01,-0.2084,15:3:13,Ok,RealTime,17296,5,
SCHW.N,CHRLS SCHWB CRP ,33.82,33.19,0.1481,15:3:0,Ok,RealTime,29664,6,
SE.N,SPECTRA ENRGY CP,31.67,31.56,-0.8453,15:3:5,Ok,RealTime,10944,4,
SEE.N,SEALED AIR CP   ,53.11,52.53,-0.2254,15:3:12,Ok,RealTime,42720,2,
SHW.N,SHERWIN-WILLIAMS,285.59,278.14,0.4608,15:2:2,Ok,RealTime,42144,2,
SIAL.OQ,SIGMA ALDRICH   ,139.5,139.56,-0.043,15:2:9,Ok,RealTime,51232,1,
SJM.N,J M SMUCKER     ,107.62,109.02,-0.8476,15:2:37,Ok,RealTime,23408,6,
SLB.N,SCHLUMBERGER LTD,84.76,83.69,-0.6214,15:3:11,Ok,RealTime,21760,7,
SLG.N,SL GREEN RLTY   ,114.05,115.355,-0.3059,14:59:56,Ok,RealTime,46960,2,
SNA.N,SNAP-ON INC     ,163.27,162.15,-0.049,14:57:4,Ok,RealTime,29264,2,
SNDK.OQ,SANDISK CORP    ,55.21,55.45,-0.4328,15:2:57,Ok,RealTime,51024,2,
SNI.N,SCRIPPS NETWORK ,66.39,65.81,0.2567,15:2:30,Ok,RealTime,57072,1,
SO.N,SOUTHERN        ,43.1,43.49,-0.2546,15:3:13,Ok,RealTime,2174,8,
SPG.N,SIMON PROP GRP  ,180.15,180.45,0.0889,14:59:28,Ok,RealTime,22480,2,
SPLS.OQ,STAPLES INC     ,15.535,15.53,0.0322,15:2:40,Ok,RealTime,40480,6,
SRCL.OQ,STERICYCLE INC  ,135.24,135.16,0.0592,15:1:48,Ok,RealTime,55744,1,
SRE.N,SEMPRA ENERGY   ,102.18,101.54,0.1961,15:3:8,Ok,RealTime,31344,3,
STI.N,SUNTRUST BKS    ,45.245,44.18,1.0836,15:2:48,Ok,RealTime,49824,2,
STJ.N,ST JUDE MEDICL  ,76.85,75.31,-0.1559,15:2:37,Ok,RealTime,44624,2,
STT.N,ST STREET CP    ,77.86,75.94,0.4127,15:2:59,Ok,RealTime,55056,9,
STX.OQ,SEAGATE TECH    ,47.6,47.61,-0.021,15:3:13,Ok,RealTime,64560,6,
STZ.N,CONSTELLATION A ,117.28,116.87,-0.3145,15:2:9,Ok,RealTime,52144,1,
SWK.N,STANLY BLK&DCKR ,107.25,106.63,-0.316,15:2:38,Ok,RealTime,64752,4,
SWKS.OQ,SKYWORKS SOLUTNS,101.73,102.03,-0.294,15:3:10,Ok,RealTime,26400,6,
SWN.N,SW ENERGY CO    ,22.57,21,1.9883,15:3:12,Ok,RealTime,3168,11,
SYK.N,STRYKER         ,98.16,96.36,-0.1018,15:3:10,Ok,RealTime,19568,5,
SYMC.OQ,SYMANTEC CRP    ,23.4,23.44,-0.1706,15:2:9,Ok,RealTime,17072,2,
SYY.N,SYSCO CORP      ,36.11,36.2,-0.1659,15:1:51,Ok,RealTime,30048,1,
T.N,AT&T            ,34.8,34.83,-0.9112,15:2:48,Ok,RealTime,51600,4,
TAP.N,MOLSON COORS BR ,71.54,71.1,-0.1396,15:2:35,Ok,RealTime,48032,2,
TDC.N,TERADATA CORP   ,36.25,36.15,-0.1652,15:0:56,Ok,RealTime,54336,2,
TE.N,TECO ENERGY     ,18.47,18.47,-0.27,15:2:58,Ok,RealTime,54768,6,
TEL.N,TE CONNECTIVITY ,63.01,62.42,-0.1268,15:1:26,Ok,RealTime,2512,2,
TGT.N,TARGET CORP     ,83.65,84.43,-0.5351,15:3:6,Ok,RealTime,464,3,
THC.N,TENET HEALTHCR  ,59.95,59.42,-1.3656,15:3:0,Ok,RealTime,34160,1,
TIF.N,TIFFANY & CO    ,93.57,91.95,0.2572,15:2:12,Ok,RealTime,56320,4,
TJX.N,TJX CO INC      ,68.73,68.12,-0.5786,15:3:3,Ok,RealTime,23024,3,
TMK.N,TORCHMARK CORP  ,59.77,58.76,0.5552,15:3:6,Ok,RealTime,39584,7,
TMO.N,THERMO FISHER SC,136.72,133.09,0.0952,15:3:9,Ok,RealTime,30448,19,
TRIP.OQ,TRIPADVISOR INC ,90.6,89.68,1.0259,15:2:25,Ok,RealTime,41696,1,
TROW.OQ,T ROWE PRICE GP ,78.29,78.09,0.2561,15:3:6,Ok,RealTime,26416,1,
TRV.N,THE TRAVELERS CO,102.36,100.99,-0.0195,15:2:37,Ok,RealTime,22544,1,
TSCO.OQ,TRACTOR SUPPLY  ,93.13,93.3,-0.1822,14:59:17,Ok,RealTime,17472,2,
TSN.N,TYSON FOODS     ,43.425,43.39,-1.3741,15:3:13,Ok,RealTime,46432,7,
TSO.N,TESORO CORP     ,98.51,99.75,-0.2329,15:2:37,Ok,RealTime,63920,2,
TSS.N,TOTAL SYS SVCS  ,43.19,42.53,0.1623,15:2:37,Ok,RealTime,37232,2,
TWC.N,TIME WARNER CABL,182.47,183.5,-0.545,15:3:14,Ok,RealTime,6030,6,
TWX.N,TIME WARNER INC ,90.295,88.64,0.3389,15:3:5,Ok,RealTime,46240,8,
TXN.OQ,TEXAS INSTRUMENT,49.73,49.76,-0.0603,15:3:3,Ok,RealTime,8624,4,
TXT.N,TEXTRON INC     ,44.17,43.7,-0.3609,15:2:9,Ok,RealTime,14112,1,
TYC.N,TYCO INTL       ,38.02,38.11,-0.2362,15:3:10,Ok,RealTime,656,8,
UA.N,UNDER ARMOUR    ,88.9,88.6,0.1126,15:3:7,Ok,RealTime,18976,3,
UHS.N,UNIV HEALTH SVC ,142.28,142.73,-0.7672,15:2:39,Ok,RealTime,28528,5,
UNH.N,UNITEDHEALTH GP ,125.19,123.01,0.152,15:2:58,Ok,RealTime,53040,4,
UNM.N,UNUM GROUP      ,36.29,35.86,0.2486,15:2:58,Ok,RealTime,56576,4,
UNP.N,UNION PACIFIC CP,98.36,97.65,1.6221,15:3:9,Ok,RealTime,56352,4,
UPS.N,UNITED PARCEL B ,97.62,97.51,-0.2554,15:3:6,Ok,RealTime,7280,3,
URBN.OQ,URBAN OUTFITTER ,35.79,36.26,-1.2962,15:2:47,Ok,RealTime,3744,1,
URI.N,UNITED RENTAL   ,81.17,81.38,-1.397,15:2:30,Ok,RealTime,62992,4,
USB.N,US BANCORP      ,45.19,43.66,2.9854,15:3:12,Ok,RealTime,19136,14,
UTX.N,UNITED TECH CP  ,111.33,110.17,-0.1614,15:3:6,Ok,RealTime,47664,1,
V.N,VISA INC        ,70.12,69.42,0.0285,15:2:57,Ok,RealTime,22512,1,
VAR.N,VARIAN MEDICAL  ,87.72,86.81,-0.1707,15:2:17,Ok,RealTime,25696,2,
VFC.N,VF CORP         ,72.89,72.21,0.1924,15:2:37,Ok,RealTime,22704,3,
VIAB.OQ,VIACOM INC B    ,61.33,61.71,-0.6158,15:2:51,Ok,RealTime,29040,1,
VLO.N,VALERO ENERGY   ,66.06,66.85,-0.377,15:2:59,Ok,RealTime,1872,4,
VMC.N,VULCAN MATRLS   ,88.94,90.34,-1.1668,15:2:49,Ok,RealTime,224,1,
VNO.N,VORNADO REALTY  ,97.07,97.13,0.0309,15:2:53,Ok,RealTime,58128,4,
VRSN.OQ,VERISIGN INC    ,64.63,64.19,0.6855,15:2:59,Ok,RealTime,41456,1,
VRTX.OQ,VERTEX PHARM    ,134.01,129.44,3.5306,15:3:8,Ok,RealTime,34656,13,
VTR.N,VENTAS INC      ,64.36,64.6,0.1712,15:2:38,Ok,RealTime,7248,3,
VZ.N,VERIZON COMMS   ,47.32,47.29,-0.1898,15:2:49,Ok,RealTime,50336,1,
WAT.N,WATERS CORP     ,131.44,128.5,-0.1974,14:59:35,Ok,RealTime,54560,2,
WBA.OQ,WALGREEN BOOTS  ,93.9,94.33,-0.4558,15:3:3,Ok,RealTime,36768,3,
WDC.OQ,WESTERN DGTL CRP,78.79,78.36,0.5487,15:2:48,Ok,RealTime,16000,1,
WEC.N,WEC ENERGY GROUP,47.27,47.15,0.1059,15:3:6,Ok,RealTime,256,4,
WFC.N,WELLS FARGO & CO,58.01,56.64,1.3275,15:3:0,Ok,RealTime,44560,2,
WFM.OQ,WHOLE FOODS MKT ,41.25,40.84,1.0039,15:3:8,Ok,RealTime,1104,3,
WHR.N,WHIRL POOL CORP ,172.53,174.42,-1.793,15:3:3,Ok,RealTime,63776,6,
WM.N,WASTE MANAGEMNT ,48.57,47.96,-0.0617,15:2:50,Ok,RealTime,64720,3,
WMB.N,WILLIAMS COMPS  ,57.92,57.95,-0.1896,15:2:57,Ok,RealTime,61264,3,
WMT.N,WAL-MART STORES ,73.485,73.89,-0.4133,15:3:6,Ok,RealTime,18384,3,
WU.N,WESTERN UNION   ,18.98,19.07,-0.9911,15:3:5,Ok,RealTime,55440,4,
WY.N,WEYERHAEUSER CO ,31.21,31.57,-0.1599,14:58:37,Ok,RealTime,15728,3,
WYN.N,WYNDHAM WRLD    ,86.04,84.35,-0.1393,15:3:9,Ok,RealTime,22224,3,
WYNN.OQ,WYNN RESORTS    ,105.29,107.26,-1.8367,15:3:3,Ok,RealTime,62800,1,
XEC.N,CIMAREX ENERGY  ,108.48,104.66,-0.4862,15:2:59,Ok,RealTime,25920,2,
XEL.N,XCEL ENERGY     ,33.45,33.6,-0.2683,15:3:12,Ok,RealTime,16688,8,
XL.N,XL GROUP PLC    ,38.32,37.97,-0.1563,15:2:21,Ok,RealTime,28960,4,
XLNX.OQ,XILINX INC      ,42.69,42.88,-0.4431,15:3:10,Ok,RealTime,51312,11,
XOM.N,EXXON MOBIL     ,83.23,82.3,0.1444,15:3:11,Ok,RealTime,56496,9,
XRAY.OQ,DENTSPLY INTL   ,52.64,52.47,0.324,15:2:49,Ok,RealTime,32400,2,
XRX.N,XEROX CORP      ,10.51,10.43,-0.1899,15:3:8,Ok,RealTime,24688,2,
XYL.N,XYLEM INC       ,36.29,35.62,-0.5481,15:2:25,Ok,RealTime,44416,2,
YHOO.OQ,YAHOO! INC      ,38.51,38.63,-0.3106,15:2:48,Ok,RealTime,34960,3,
YUM.N,YUM! BRANDS INC ,89.64,90.87,-2.1184,15:3:6,Ok,RealTime,45776,3,
ZION.OQ,ZIONS BANCORP   ,31.415,31.12,0.9479,15:2:59,Ok,RealTime,51008,1,
ZMH.N,**SEE<ZBH>      ,,,,,Ok,RealTime,368,1,
ZTS.N,ZOETIS INC      ,47.46,47.29,0,15:2:52,Ok,RealTime,37568,5,
