GENEOS Status Report,
Monday 20 Jul 2015 17:41:46,
samplingStatus,Currency,HistClose,IndexName,IndexValue,NetChange,Open,Time,TradeDate,
OK,USD,2108.95,S&P 500 INDEX   ,2113.11,4.16,2109.01,15:2:59,7/15/2015,
instrument,Name,Value,LastValue,PctChange,Time,DataState,Timeliness,SeqNumber,Ticks,
IR.N,INGERSOLL-RAND  ,67.33,67.36,-0.1779,15:2:43,Ok,RealTime,12992,7,
IRM.N,IRON MOUNTAIN   ,31.4,31.25,-0.3491,15:2:58,Ok,RealTime,62816,12,
ISRG.OQ,INTUITIVE SURG  ,492.65,491.95,0.1423,15:2:22,Ok,RealTime,9712,2,
ITW.N,ILLINOIS TOOL WK,93.81,93.45,-0.2446,15:2:57,Ok,RealTime,49840,9,
IVZ.N,INVESCO LTD     ,38.13,37.34,0.3421,15:2:30,Ok,RealTime,15776,8,
JBHT.OQ,J.B. HUNT TRAN  ,84.65,85.16,-0.5989,15:2:43,Ok,RealTime,8208,1,
JCI.N,JOHNSON CONTROLS,49.09,49.03,-0.4462,15:2:38,Ok,RealTime,30928,2,
JEC.N,JACOBS ENGINEER ,40.49,40.66,-1.9613,15:2:57,Ok,RealTime,35664,5,
JNJ.N,JOHNSON JOHNSON ,100.81,100.12,1.0323,15:2:36,Ok,RealTime,14192,6,
JNPR.N,JUNIPER NETWRKS ,26.295,26.15,0.9018,15:2:30,Ok,RealTime,14864,4,
JOY.N,JOY GLOBAL INC  ,31.22,31.15,-1.1086,15:2:47,Ok,RealTime,50816,2,
JPM.N,JPMORGAN CHASE  ,69.03,67.95,-0.0145,15:2:58,Ok,RealTime,19024,22,
JWN.N,NORDSTROM INC   ,77.87,78.13,-0.1795,15:1:38,Ok,RealTime,61344,3,
K.N,KELLOGG CO      ,63.87,64.14,-0.3899,15:2:9,Ok,RealTime,42800,2,
KEY.N,KEYCORP NEW     ,15.325,14.91,0.9552,15:2:30,Ok,RealTime,22544,2,
KIM.N,KIMCO REALTY CP ,24.29,24.14,0.7466,15:2:53,Ok,RealTime,62528,2,
KLAC.OQ,KLA TENCOR      ,55.5,55.63,-0.2337,15:2:58,Ok,RealTime,8000,9,
KMB.N,KIMBERLY-CLARK  ,111,110.41,0.0451,15:2:7,Ok,RealTime,43376,4,
KMI.N,KINDER MORGAN   ,38.18,38.175,0.4208,15:2:57,Ok,RealTime,11184,13,
KMX.N,CARMAX INC      ,67.71,68.06,-0.4557,15:2:52,Ok,RealTime,23760,7,
KO.N,COCA-COLA CO    ,41.35,40.65,0.4372,15:2:47,Ok,RealTime,25760,8,
KORS.N,MCHAEL KRS HLDNG,42.79,42.48,-1.5869,15:2:58,Ok,RealTime,8864,12,
KR.N,KROGER CO       ,38.37,76.33,0.445,15:2:27,Ok,RealTime,46528,6,
KSS.N,KOHL'S CRP      ,63.63,63.96,-1.7601,15:2:54,Ok,RealTime,20064,1,
KSU.N,KANSAS CITY SO  ,94.52,94.39,0.0741,15:2:55,Ok,RealTime,34224,8,
L.N,LOEWS CORP      ,39.09,39,0.3594,15:2:9,Ok,RealTime,29808,6,
LB.N,L BRANDS INC    ,83.88,84.43,-0.1429,15:2:57,Ok,RealTime,26464,7,
LEG.N,LEGGETT& PLATT  ,50.68,50.02,-0.2362,15:2:37,Ok,RealTime,54464,1,
LEN.N,LENNAR CP CL A  ,53.04,53.3,-1.2842,15:2:57,Ok,RealTime,15246,5,
LH.N,LAB CRP OF AMER ,123.3,120.28,-0.3556,15:2:30,Ok,RealTime,21040,1,
LLL.N,L-3 COMMS HLDGS ,121.44,121.27,-0.1808,15:0:56,Ok,RealTime,51344,3,
LLTC.OQ,LINEAR TECH     ,43.41,43.54,-0.2986,15:2:9,Ok,RealTime,33024,8,
LLY.N,ELI LILLY       ,87.63,89.96,-1.2731,15:2:57,Ok,RealTime,21088,12,
LM.N,LEGG MASON      ,49.47,49.33,0.5692,15:2:57,Ok,RealTime,63776,5,
LMT.N,LOCKHEED MARTIN ,198.87,197.57,-0.0904,15:2:24,Ok,RealTime,19968,6,
LNC.N,LINCOLN NATL    ,58.69,59.24,0.2562,15:2:57,Ok,RealTime,48272,2,
LOW.N,LOWES COMPANIES ,68.29,68.3,-0.1462,15:2:37,Ok,RealTime,9904,10,
LRCX.OQ,LAM RESEARCH    ,79.81,79.85,-0.0501,15:2:55,Ok,RealTime,17984,11,
LUK.N,LEUCADIA NATL CP,25.14,24.76,-0.2381,14:59:19,Ok,RealTime,3392,1,
LUV.N,SW AIRLINES     ,33.58,34.35,-0.8269,15:2:54,Ok,RealTime,64864,9,
LVLT.N,LEVEL 3 COMM INC,52.46,51.91,-0.2851,15:2:9,Ok,RealTime,57856,2,
LYB.N,LYONDELLBASEL A ,101.1,99.11,-0.0198,15:2:50,Ok,RealTime,51184,1,
M.N,MACYS INC       ,66.21,67.05,-0.7793,15:2:55,Ok,RealTime,37600,17,
MA.N,MASTERCARD CL A ,95.41,94.62,0.147,15:2:55,Ok,RealTime,36688,12,
MAC.N,MACERICH        ,78.31,77.68,0.0128,15:2:17,Ok,RealTime,47696,2,
MAR.OQ,MARRIOT INTERNL ,77.84,77.26,0.7507,15:2:47,Ok,RealTime,39136,2,
MAS.N,MASCO CORP      ,23.61,23.53,-0.1269,15:1:18,Ok,RealTime,33408,1,
MAT.OQ,MATTEL INC      ,25.59,25.815,-0.8716,15:2:26,Ok,RealTime,4688,2,
MCD.N,MCDONALD'S CORP ,99.17,97.64,0.3948,15:2:51,Ok,RealTime,46944,9,
MCHP.OQ,MICROCHIP TECH  ,45.15,45.22,-0.1548,15:2:37,Ok,RealTime,45888,7,
MCK.N,MCKESSON CRP    ,234.4,229.53,0.2438,15:2:44,Ok,RealTime,26416,3,
MCO.N,MOODY'S         ,112,110.47,-0.0892,15:2:33,Ok,RealTime,28832,1,
MDLZ.OQ,MONDELEZ INT CLA,41.445,41.88,-1.0387,15:2:50,Ok,RealTime,1920,6,
MDT.N,MEDTRONIC PLC   ,75.98,74.37,0.1186,15:2:37,Ok,RealTime,5168,3,
MET.N,METLIFE INC     ,56.89,56.6,0.3705,15:2:55,Ok,RealTime,52960,12,
MHFI.N,MCGRAW HILL FINA,104.66,103.15,0.2683,15:2:59,Ok,RealTime,63534,8,
MHK.N,MOHAWK INDS     ,195.55,193.96,-0.255,15:1:31,Ok,RealTime,40112,2,
MJN.N,MEAD JOHNSON NTR,84.68,89.5,-3.9147,15:2:36,Ok,RealTime,6944,6,
MKC.N,MCCORMICK & CO  ,80.24,80.56,-0.5946,15:2:38,Ok,RealTime,63568,3,
MLM.N,M MARIETTA      ,150.26,152.9,-1.0536,15:2:10,Ok,RealTime,22464,2,
MMC.N,MARSH & MCLENNAN,57.86,57.57,0.1211,15:2:28,Ok,RealTime,43152,4,
MMM.N,3M COMPANY      ,156.9,156.55,0.0765,15:2:39,Ok,RealTime,39424,8,
MNK.N,MALLINCKRODT    ,125.64,122.41,1.2899,15:2:55,Ok,RealTime,63456,4,
MNST.OQ,MONSTER BEV CORP,141.73,140.88,0.6034,15:2:54,Ok,RealTime,55680,5,
MO.N,ALTRIA GROUP    ,51.4,51.6,0.0974,15:2:48,Ok,RealTime,58560,7,
MON.N,MONSANTO CO     ,107.64,109.11,-0.1484,15:2:20,Ok,RealTime,56656,10,
MOS.N,MOSAIC COMPANY  ,45.49,45.33,-0.5248,15:2:42,Ok,RealTime,13472,2,
MPC.N,MARTHN PETRO    ,58.07,59.4,-1.2247,15:2:55,Ok,RealTime,52848,13,
MRK.N,MERCK & CO      ,58.51,58.29,0.5499,15:2:37,Ok,RealTime,52352,5,
MRO.N,MARATHON OIL    ,24.98,24.48,-0.3987,15:2:56,Ok,RealTime,40880,20,
MS.N,MORGAN STANLEY  ,39.78,39.01,0.1763,15:2:58,Ok,RealTime,16928,11,
MSFT.OQ,MICROSOFT CP    ,45.815,45.62,0.4274,15:2:37,Ok,RealTime,15792,7,
MSI.N,MOTOROLA SOL    ,58.85,58,0.4266,15:2:9,Ok,RealTime,28368,1,
MTB.N,M&T BANK CRP    ,128.21,126.21,0.8099,15:2:33,Ok,RealTime,47056,1,
MU.OQ,MICRON TECH     ,19.08,19.61,-2.7027,15:2:57,Ok,RealTime,26032,20,
MUR.N,MURPHY OIL CORP ,40.65,39.88,-0.3921,15:2:42,Ok,RealTime,30928,3,
MYL.OQ,MYLAN NV        ,71.2,71.42,-0.308,15:2:56,Ok,RealTime,48448,15,
NAVI.OQ,NAVIENT CORP    ,16.49,16.42,0.4263,15:2:27,Ok,RealTime,37264,4,
NBL.N,NOBLE ENERGY    ,39.74,38.72,0.3535,15:2:50,Ok,RealTime,34960,10,
NDAQ.OQ,NASDAQ OMX GRP  ,51.19,51.16,0.0586,15:1:27,Ok,RealTime,25104,1,
NE.N,NOBLE CORPN PLC ,14.64,14.3,0.4115,15:2:10,Ok,RealTime,36544,5,
NEE.N,NEXTERA ENERGY  ,101.95,101.58,-0.0392,15:2:3,Ok,RealTime,36144,3,
NEM.N,NEWMONT MINING  ,21.94,22.12,-0.9481,15:2:51,Ok,RealTime,46192,4,
NFLX.OQ,NETFLIX INC     ,99.99,702.6,-0.3799,15:2:53,Ok,RealTime,15984,1,
NFX.N,NEWFIELD EXPL   ,35.68,35.11,-2.3269,15:2:59,Ok,RealTime,10654,5,
NI.N,NISOURCE INC    ,16.82,16.885,0.2384,15:2:31,Ok,RealTime,10320,3,
NKE.N,NIKE INC CL B   ,112.12,112.43,-0.1958,15:2:37,Ok,RealTime,61968,9,
NLSN.N,NIELSEN NV      ,45.52,45.28,-0.1754,15:2:10,Ok,RealTime,20448,2,
NOC.N,NORTHROP GRUMMAN,168.51,165.29,0.0119,15:2:47,Ok,RealTime,65424,1,
NOV.N,NTL OILWELL VARC,45.13,45.59,-0.8568,15:2:10,Ok,RealTime,54976,4,
NRG.N,NRG ENERGY      ,21.85,21.71,-1.0417,15:2:54,Ok,RealTime,58752,8,
NSC.N,NORFOLK SOUTHERN,87.76,86.66,1.1993,15:2:54,Ok,RealTime,7936,8,
NTAP.OQ,NETAPP INC      ,31.115,30.89,0.7284,15:1:57,Ok,RealTime,50496,1,
NTRS.OQ,NORTHERN TRUST  ,77.55,77.24,0.4013,15:2:36,Ok,RealTime,59952,2,
NUE.N,NUCOR           ,43.53,43.72,-1.4713,15:2:37,Ok,RealTime,59360,1,
NVDA.OQ,NVIDIA CORP     ,19.91,19.89,0.1006,15:2:57,Ok,RealTime,52128,8,
NWL.N,NEWELL RUBBERMD ,42,42.49,-0.5917,15:2:8,Ok,RealTime,16800,2,
NWSA.OQ,NEWS CORP CL A  ,14.43,14.43,0,15:2:37,Ok,RealTime,44608,2,
O.N,REALTY INCM CORP,46.57,46.3,0.2583,15:1:54,Ok,RealTime,32944,1,
OI.N,OWENS-ILLINOIS  ,22.09,22.06,-0.4507,15:1:29,Ok,RealTime,35200,2,
OKE.N,ONEOK INC       ,41.02,39.54,-0.9179,15:2:40,Ok,RealTime,11888,1,
OMC.N,OMNICOM GP INC  ,72.99,72.69,0.468,15:2:47,Ok,RealTime,7808,3,
ORCL.N,ORACLE CORP     ,40.8,40.34,0.049,15:2:37,Ok,RealTime,11936,2,
ORLY.OQ,O REILLY AUTO   ,238.135,237.28,0.3603,15:1:25,Ok,RealTime,58224,1,
OXY.N,OCCIDENTAL PETE ,73.92,72.91,-0.4847,15:2:59,Ok,RealTime,51406,7,
PAYX.OQ,PAYCHEX INC     ,48.18,48.17,0.0208,15:2:10,Ok,RealTime,31728,1,
PBCT.OQ,PEOPLE UNTD FIN ,16.3,16.21,0.5552,15:2:28,Ok,RealTime,52928,2,
PBI.N,PITNEY BOWES INC,21.31,21.09,-0.1874,15:2:39,Ok,RealTime,59360,2,
PCAR.OQ,PACCAR INC      ,64.95,64.89,0.0925,15:1:59,Ok,RealTime,19072,5,
PCG.N,PG&E CORP       ,51.15,51.42,0.2941,15:2:48,Ok,RealTime,17520,4,
PCL.N,PLUM CREEK TIMB ,41,40.78,0.1955,15:1:18,Ok,RealTime,25920,5,
PCLN.OQ,PRICELINE GRP   ,1175.09,1171.43,0.3124,15:1:33,Ok,RealTime,65056,6,
PCP.N,PRECISION CAST  ,192.3,193.9,-0.7381,15:2:24,Ok,RealTime,30672,1,
PDCO.OQ,PATTERSON COS   ,49.13,49.04,0.635,15:2:21,Ok,RealTime,10288,1,
PEG.N,PUBL SVC ENTER  ,40.75,40.98,-0.318,15:2:52,Ok,RealTime,38160,2,
PEP.N,PEPSICO INC     ,96.95,97.12,-0.1853,15:2:58,Ok,RealTime,59248,18,
PFE.N,PFIZER INC      ,35.06,34.79,-0.057,15:2:29,Ok,RealTime,44832,5,
PFG.N,PRINCIPAL FINL  ,52.35,51.21,0.2874,15:1:55,Ok,RealTime,38672,4,
PG.N,PROCTER & GAMBLE,82.01,81.93,-0.0366,15:2:55,Ok,RealTime,34432,7,
PGR.N,THE PROGRESSIVE ,29.82,29.67,0.1343,15:2:10,Ok,RealTime,36256,4,
PH.N,PARKER-HANNIFIN ,113.59,114,-0.8986,15:2:55,Ok,RealTime,43104,4,
PHM.N,PULTEGROUP INC  ,20.65,20.72,-1.1489,15:2:52,Ok,RealTime,61696,2,
PKI.N,PERKINELMER     ,52.98,51.53,0.0945,15:2:39,Ok,RealTime,32240,1,
PLD.N,PROLOGIS        ,39.09,38.91,0.5143,15:1:41,Ok,RealTime,27168,2,
PLL.N,PALL CORP       ,125.55,125.45,-0.0478,15:1:28,Ok,RealTime,48560,1,
PM.N,PHILIP MORRIS   ,82.62,82.17,-0.0726,15:2:53,Ok,RealTime,29120,6,
PNC.N,PNC FINL SVC    ,98.07,96.87,0.5846,15:2:58,Ok,RealTime,52496,7,
PNR.N,PENTAIR PLC     ,64.13,64.55,-1.7917,15:2:58,Ok,RealTime,50240,17,
PNW.N,PINNACL WEST CAP,59.82,60.14,-0.4824,15:2:29,Ok,RealTime,13392,2,
POM.N,PEPCO HOLDINGS  ,26.87,26.84,0.0372,15:2:32,Ok,RealTime,59392,2,
PPG.N,PPG IND         ,117.675,114.92,0.0553,15:2:37,Ok,RealTime,53776,1,
PPL.N,PPL CORP        ,30.85,31.06,-0.4518,15:2:25,Ok,RealTime,22336,4,
PRGO.N,PERRIGO CMPN PLC,185.08,180.82,-0.5962,15:2:38,Ok,RealTime,41760,4,
PRU.N,PRUDENTIAL FINL ,88.89,88.82,0.1577,15:2:46,Ok,RealTime,51616,6,
PSA.N,PBL STG MLD     ,198.22,196.15,0.2732,15:1:2,Ok,RealTime,42928,2,
PSX.N,PHILLIPS 66     ,82.72,83.49,-0.9579,15:2:56,Ok,RealTime,17376,3,
PVH.N,PVH CORP        ,115.12,113.58,-0.5529,15:0:3,Ok,RealTime,53024,3,
PWR.N,QUANTA SERVICES ,28.62,28.09,-0.9689,15:2:57,Ok,RealTime,17328,7,
PX.N,PRAXAIR INC     ,119.46,117.36,0.1593,15:1:18,Ok,RealTime,6352,2,
PXD.N,PIONEER NAT     ,136.45,134.03,-0.416,15:0:48,Ok,RealTime,35904,2,
QCOM.OQ,QUALCOMM INC    ,63.98,63.94,0.0626,15:2:26,Ok,RealTime,57488,11,
QRVO.OQ,QORVO INC ORD   ,78.28,77.96,0.4105,15:2:50,Ok,RealTime,6128,1,
R.N,RYDER SYSTEM INC,91.24,91.19,-0.2405,15:0:53,Ok,RealTime,10416,3,
RAI.N,REYNOLDS AMRICAN,77.57,77.4,-0.103,15:2:52,Ok,RealTime,44944,6,
RCL.N,ROYAL CARIBBEAN ,83.83,82.71,0.2511,15:2:52,Ok,RealTime,47296,2,
REGN.OQ,REGENERON PHAR  ,546.11,542.9,0.5913,15:2:44,Ok,RealTime,12640,5,
RF.N,REGIONS FINANCL ,10.39,10.23,1.6634,15:1:46,Ok,RealTime,48720,7,
RHI.N,ROB HALF INTL   ,56.6,56.18,-0.4923,15:1:58,Ok,RealTime,36944,2,
RHT.N,RED HAT INC     ,80.49,78.54,-0.2479,15:2:15,Ok,RealTime,12592,7,
RIG.N,TRANSOCEAN LTD  ,15.03,14.63,-0.5295,15:2:45,Ok,RealTime,39120,2,
RL.N,RALPH LAUREN COR,133.07,133.86,-1.6336,15:2:58,Ok,RealTime,40208,7,
ROK.N,ROCKWELL AUTOMAT,124.43,123.66,-0.456,15:2:30,Ok,RealTime,24144,1,
ROP.N,ROPER TECHNOLOGS,177.16,172.31,0.198,14:55:55,Ok,RealTime,13136,2,
ROST.OQ,ROSS STORES     ,52.3,52.43,-0.2479,15:2:58,Ok,RealTime,27470,25,
RRC.N,RANGE RESOURCES ,47.64,44.95,-0.1467,15:2:49,Ok,RealTime,12288,6,
RSG.N,REPUBLIC SVCS   ,40.46,39.745,0.2726,15:2:52,Ok,RealTime,41392,3,
RTN.N,RAYTHEON CO     ,99.69,99.98,-0.8553,15:2:53,Ok,RealTime,27664,6,
SBUX.OQ,STARBUCKS CORP  ,55.89,55.75,0.2511,15:2:53,Ok,RealTime,56368,6,
SCG.N,SCANA CORP      ,52.69,53.01,-0.1705,15:2:33,Ok,RealTime,16688,1,
SCHW.N,CHRLS SCHWB CRP ,33.8,33.19,0.0888,15:2:51,Ok,RealTime,26848,5,
SE.N,SPECTRA ENRGY CP,31.66,31.56,-0.8766,15:2:41,Ok,RealTime,10064,3,
SEE.N,SEALED AIR CP   ,53.11,52.53,-0.2254,15:2:52,Ok,RealTime,42528,5,
SHW.N,SHERWIN-WILLIAMS,285.59,278.14,0.4608,15:2:2,Ok,RealTime,42016,3,
SIAL.OQ,SIGMA ALDRICH   ,139.5,139.56,-0.043,15:2:9,Ok,RealTime,51216,1,
SJM.N,J M SMUCKER     ,107.62,109.02,-0.8476,15:2:37,Ok,RealTime,23152,4,
SLB.N,SCHLUMBERGER LTD,84.73,83.69,-0.6566,15:2:56,Ok,RealTime,20640,9,
SLG.N,SL GREEN RLTY   ,114.05,115.355,-0.3059,14:59:56,Ok,RealTime,46928,2,
SNA.N,SNAP-ON INC     ,163.27,162.15,-0.049,14:57:4,Ok,RealTime,29232,3,
SNDK.OQ,SANDISK CORP    ,55.21,55.45,-0.4328,15:2:57,Ok,RealTime,50528,8,
SNI.N,SCRIPPS NETWORK ,66.39,65.81,0.2567,15:2:30,Ok,RealTime,57024,3,
SO.N,SOUTHERN        ,43.11,43.49,-0.2314,15:2:56,Ok,RealTime,784,10,
SPG.N,SIMON PROP GRP  ,180.15,180.45,0.0889,14:59:28,Ok,RealTime,22288,2,
SPLS.OQ,STAPLES INC     ,15.535,15.53,0.0322,15:2:40,Ok,RealTime,40384,10,
SRCL.OQ,STERICYCLE INC  ,135.24,135.16,0.0592,15:1:48,Ok,RealTime,55712,1,
SRE.N,SEMPRA ENERGY   ,102.18,101.54,0.1961,15:2:37,Ok,RealTime,30976,4,
STI.N,SUNTRUST BKS    ,45.245,44.18,1.0836,15:2:48,Ok,RealTime,49696,4,
STJ.N,ST JUDE MEDICL  ,76.85,75.31,-0.1559,15:2:37,Ok,RealTime,44560,1,
STT.N,ST STREET CP    ,77.85,75.94,0.3998,15:2:51,Ok,RealTime,54816,7,
STX.OQ,SEAGATE TECH    ,47.6,47.61,-0.021,15:2:48,Ok,RealTime,64160,1,
STZ.N,CONSTELLATION A ,117.28,116.87,-0.3145,15:2:9,Ok,RealTime,52048,4,
SWK.N,STANLY BLK&DCKR ,107.25,106.63,-0.316,15:2:38,Ok,RealTime,64688,3,
SWKS.OQ,SKYWORKS SOLUTNS,101.63,102.03,-0.392,15:2:40,Ok,RealTime,25056,3,
SWN.N,SW ENERGY CO    ,22.57,21,1.9883,15:2:49,Ok,RealTime,2240,6,
SYK.N,STRYKER         ,98.15,96.36,-0.1119,15:1:59,Ok,RealTime,19456,3,
SYMC.OQ,SYMANTEC CRP    ,23.4,23.44,-0.1706,15:2:9,Ok,RealTime,16960,3,
SYY.N,SYSCO CORP      ,36.11,36.2,-0.1659,15:1:51,Ok,RealTime,29936,3,
T.N,AT&T            ,34.8,34.83,-0.9112,15:2:48,Ok,RealTime,51440,3,
TAP.N,MOLSON COORS BR ,71.54,71.1,-0.1396,15:2:35,Ok,RealTime,47968,4,
TDC.N,TERADATA CORP   ,36.25,36.15,-0.1652,15:0:56,Ok,RealTime,54304,2,
TE.N,TECO ENERGY     ,18.47,18.47,-0.27,15:2:58,Ok,RealTime,54032,9,
TEL.N,TE CONNECTIVITY ,63.01,62.42,-0.1268,15:1:26,Ok,RealTime,2480,4,
TGNA.N,TEGNA INC       ,32.41,31.81,0.9343,15:2:44,Ok,RealTime,14080,2,
TGT.N,TARGET CORP     ,83.62,84.43,-0.5707,15:2:13,Ok,RealTime,64512,3,
THC.N,TENET HEALTHCR  ,59.97,59.42,-1.3327,15:2:44,Ok,RealTime,33680,3,
TIF.N,TIFFANY & CO    ,93.57,91.95,0.2572,15:2:12,Ok,RealTime,56128,2,
TJX.N,TJX CO INC      ,68.71,68.12,-0.6076,15:2:55,Ok,RealTime,21952,8,
TMK.N,TORCHMARK CORP  ,59.77,58.76,0.5552,15:2:9,Ok,RealTime,39376,4,
TMO.N,THERMO FISHER SC,136.7,133.09,0.0805,15:2:38,Ok,RealTime,29808,2,
TRIP.OQ,TRIPADVISOR INC ,90.6,89.68,1.0259,15:2:25,Ok,RealTime,41680,2,
TROW.OQ,T ROWE PRICE GP ,78.29,78.09,0.2561,15:2:37,Ok,RealTime,26064,3,
TRV.N,THE TRAVELERS CO,102.36,100.99,-0.0195,15:2:37,Ok,RealTime,22384,2,
TSCO.OQ,TRACTOR SUPPLY  ,93.13,93.3,-0.1822,14:59:17,Ok,RealTime,17376,6,
TSN.N,TYSON FOODS     ,43.43,43.39,-1.3627,15:2:58,Ok,RealTime,45504,18,
TSO.N,TESORO CORP     ,98.51,99.75,-0.2329,15:2:37,Ok,RealTime,63888,7,
TSS.N,TOTAL SYS SVCS  ,43.19,42.53,0.1623,15:2:37,Ok,RealTime,37120,1,
TWC.N,TIME WARNER CABL,182.49,183.5,-0.5341,15:2:59,Ok,RealTime,5758,5,
TWX.N,TIME WARNER INC ,90.29,88.64,0.3334,15:2:57,Ok,RealTime,45904,9,
TXN.OQ,TEXAS INSTRUMENT,49.73,49.76,-0.0603,15:2:58,Ok,RealTime,8016,27,
TXT.N,TEXTRON INC     ,44.17,43.7,-0.3609,15:2:9,Ok,RealTime,14048,4,
TYC.N,TYCO INTL       ,38.02,38.11,-0.2362,15:2:45,Ok,RealTime,65104,4,
UA.N,UNDER ARMOUR    ,88.89,88.6,0.1014,15:2:57,Ok,RealTime,18448,14,
UHS.N,UNIV HEALTH SVC ,142.28,142.73,-0.7672,15:2:39,Ok,RealTime,28448,7,
UNH.N,UNITEDHEALTH GP ,125.19,123.01,0.152,15:2:58,Ok,RealTime,52928,14,
UNM.N,UNUM GROUP      ,36.29,35.86,0.2486,15:2:58,Ok,RealTime,56224,4,
UNP.N,UNION PACIFIC CP,98.35,97.65,1.6117,15:2:57,Ok,RealTime,55712,15,
UPS.N,UNITED PARCEL B ,97.62,97.51,-0.2554,15:2:57,Ok,RealTime,7024,10,
URBN.OQ,URBAN OUTFITTER ,35.79,36.26,-1.2962,15:2:47,Ok,RealTime,3728,3,
URI.N,UNITED RENTAL   ,81.17,81.38,-1.397,15:2:30,Ok,RealTime,62912,1,
USB.N,US BANCORP      ,45.19,43.66,2.9854,15:2:58,Ok,RealTime,16400,15,
UTX.N,UNITED TECH CP  ,111.32,110.17,-0.1704,15:2:37,Ok,RealTime,47440,2,
V.N,VISA INC        ,70.12,69.42,0.0285,15:2:57,Ok,RealTime,22432,14,
VAR.N,VARIAN MEDICAL  ,87.72,86.81,-0.1707,15:2:17,Ok,RealTime,25584,2,
VFC.N,VF CORP         ,72.89,72.21,0.1924,15:2:37,Ok,RealTime,22624,2,
VIAB.OQ,VIACOM INC B    ,61.33,61.71,-0.6158,15:2:51,Ok,RealTime,28976,8,
VLO.N,VALERO ENERGY   ,66.03,66.85,-0.4223,15:2:50,Ok,RealTime,1312,2,
VMC.N,VULCAN MATRLS   ,88.94,90.34,-1.1668,15:2:49,Ok,RealTime,112,3,
VNO.N,VORNADO REALTY  ,97.07,97.13,0.0309,15:2:53,Ok,RealTime,58064,3,
VRSN.OQ,VERISIGN INC    ,64.61,64.19,0.6543,15:0:10,Ok,RealTime,40992,1,
VRTX.OQ,VERTEX PHARM    ,134.04,129.44,3.5538,15:2:49,Ok,RealTime,34272,1,
VTR.N,VENTAS INC      ,64.36,64.6,0.1712,15:2:38,Ok,RealTime,7072,5,
VZ.N,VERIZON COMMS   ,47.32,47.29,-0.1898,15:2:49,Ok,RealTime,50208,6,
WAT.N,WATERS CORP     ,131.44,128.5,-0.1974,14:59:35,Ok,RealTime,54480,3,
WBA.OQ,WALGREEN BOOTS  ,93.89,94.33,-0.4664,15:2:57,Ok,RealTime,36240,8,
WDC.OQ,WESTERN DGTL CRP,78.79,78.36,0.5487,15:2:48,Ok,RealTime,15984,4,
WEC.N,WEC ENERGY GROUP,47.27,47.15,0.1059,15:2:51,Ok,RealTime,65104,2,
WFC.N,WELLS FARGO & CO,58,56.64,1.31,15:2:38,Ok,RealTime,43488,11,
WFM.OQ,WHOLE FOODS MKT ,41.24,40.84,0.9794,15:2:58,Ok,RealTime,64512,23,
WHR.N,WHIRL POOL CORP ,172.45,174.42,-1.8386,15:1:30,Ok,RealTime,63616,1,
WM.N,WASTE MANAGEMNT ,48.57,47.96,-0.0617,15:2:50,Ok,RealTime,64640,3,
WMB.N,WILLIAMS COMPS  ,57.92,57.95,-0.1896,15:2:57,Ok,RealTime,60208,7,
WMT.N,WAL-MART STORES ,73.47,73.89,-0.4337,15:2:57,Ok,RealTime,16496,12,
WRK.N,WESTROCK COMPANY,61.8,62.07,-0.6271,15:1:45,Ok,RealTime,8656,1,
WU.N,WESTERN UNION   ,18.97,19.07,-1.0433,15:1:16,Ok,RealTime,54624,4,
WY.N,WEYERHAEUSER CO ,31.21,31.57,-0.1599,14:58:37,Ok,RealTime,15552,2,
WYN.N,WYNDHAM WRLD    ,86.04,84.35,-0.1393,15:2:6,Ok,RealTime,22080,1,
WYNN.OQ,WYNN RESORTS    ,105.23,107.26,-1.8926,15:1:37,Ok,RealTime,62560,2,
XEC.N,CIMAREX ENERGY  ,108.48,104.66,-0.4862,15:2:59,Ok,RealTime,25054,5,
XEL.N,XCEL ENERGY     ,33.47,33.6,-0.2087,15:2:9,Ok,RealTime,15152,3,
XL.N,XL GROUP PLC    ,38.32,37.97,-0.1563,15:2:21,Ok,RealTime,28832,4,
XLNX.OQ,XILINX INC      ,42.67,42.88,-0.4897,15:2:57,Ok,RealTime,49840,18,
XOM.N,EXXON MOBIL     ,83.22,82.3,0.1324,15:2:53,Ok,RealTime,55264,6,
XRAY.OQ,DENTSPLY INTL   ,52.64,52.47,0.324,15:2:49,Ok,RealTime,32352,5,
XRX.N,XEROX CORP      ,10.51,10.43,-0.1899,15:2:13,Ok,RealTime,24096,2,
XYL.N,XYLEM INC       ,36.29,35.62,-0.5481,15:2:25,Ok,RealTime,44384,3,
YHOO.OQ,YAHOO! INC      ,38.51,38.63,-0.3106,15:2:48,Ok,RealTime,30864,3,
YUM.N,YUM! BRANDS INC ,89.54,90.87,-2.2276,15:2:58,Ok,RealTime,43392,13,
ZBH.N,ZMMR BIOMT HLDS ,107.14,108.07,-0.2421,15:2:54,Ok,RealTime,43664,2,
ZION.OQ,ZIONS BANCORP   ,31.415,31.12,0.9479,15:2:59,Ok,RealTime,50926,3,
ZTS.N,ZOETIS INC      ,47.46,47.29,0,15:2:52,Ok,RealTime,37152,6,
