Item,Value
Container Updates,16644174
Update Rate Peak,0
Updates Received,16644178
Updates Sent,0
Discards,0
News Updates,0
Objects Total,7
Page Updates,0
Permission Updates,0
Read Updates,0
Requests,0
Update Rate Now,0
