userName,loginType,loginStatus,timeStamp,clientName,loginDuration
theodat:cds61@chgvasorci01,N/A,Logged-In,Oct-13-11:27:00,,
yhollenstein:cds61@chgvasorci01,N/A,Logged-In,Oct-13-11:28:35,,
orc_dev_2:cds_dev@chgvasorci01,N/A,Logged-In,Oct-13-11:48:53,,
