identifier,Name,messages-read-count,messages-read-count-since-reset,messages-read-rate,messages-written-count,messages-written-count-since-reset,messages-written-rate,bytes-read-count,bytes-read-count-since-reset,bytes-read-rate,bytes-written-count,bytes-written-count-since-reset,bytes-written-rate,updates-read-count,updates-read-count-since-reset,updates-read-rate,updates-written-count,updates-written-count-since-reset,updates-written-rate,requests-read-count,requests-read-count-since-reset,requests-read-rate,requests-written-count,requests-written-count-since-reset,requests-written-rate,discards-read-count,discards-read-count-since-reset,discards-read-rate,discards-written-count,discards-written-count-since-reset,discards-written-rate,nodatas-read-count,nodatas-read-count-since-reset,nodatas-read-rate,nodatas-written-count,nodatas-written-count-since-reset,nodatas-written-rate,notfound-read-count,notfound-read-count-since-reset,notfound-read-rate,notfound-written-count,notfound-written-count-since-reset,notfound-written-rate,readdeny-read-count,readdeny-read-count-since-reset,readdeny-read-rate,readdeny-written-count,readdeny-written-count-since-reset,readdeny-written-rate,writedeny-read-count,writedeny-read-count-since-reset,writedeny-read-rate,writedeny-written-count,writedeny-written-count-since-reset,writedeny-written-rate,deleteobject-read-count,deleteobject-read-count-since-reset,deleteobject-read-rate,deleteobject-written-count,deleteobject-written-count-since-reset,deleteobject-written-rate,unavailable-read-count,unavailable-read-count-since-reset,unavailable-read-rate,unavailable-written-count,unavailable-written-count-since-reset,unavailable-written-rate,nodataignorereqtimeout-read-count,nodataignorereqtimeout-read-count-since-reset,nodataignorereqtimeout-read-rate,nodataignorereqtimeout-written-count,nodataignorereqtimeout-written-count-since-reset,nodataignorereqtimeout-written-rate,info-read-count,info-read-count-since-reset,info-read-rate,info-written-count,info-written-count-since-reset,info-written-rate,status-read-count,status-read-count-since-reset,status-read-rate,status-written-count,status-written-count-since-reset,status-written-rate,heartbeats-read-count,heartbeats-read-count-since-reset,heartbeats-read-rate,heartbeats-written-count,heartbeats-written-count-since-reset,heartbeats-written-rate,rogue-update-count,rogue-update-count-since-reset,rogue-update-rate,active-subscriptions-count,active-subscriptions-count-since-reset,active-subscriptions-rate,monitoring-interval
1,demosrc-nysupsvr10,16576720,16576720,4,276282,276282,0,1539645795,1539645795,373,1105164,1105164,0,16576720,16576720,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Attribute N/A,Attribute N/A,Attribute N/A,Attribute N/A,Attribute N/A,Attribute N/A,0,0,0,2,2,0,0,0,0,0,0,0,2,2,0,276280,276280,0,0,0,0,0,0,0,0
0,liberator1,0,0,0,276283,276283,0,1105116,1105116,0,1105204,1105204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Attribute N/A,Attribute N/A,Attribute N/A,Attribute N/A,Attribute N/A,Attribute N/A,0,0,0,4,4,0,0,0,0,0,0,0,276279,276279,0,276279,276279,0,0,0,0,0,0,0,0
