Name,Value
IP,ullink-dashboard.domain.com/192.168.247.174
Machine arch,x86
Machine endian,little
Network,ullink-dashboard
OS Encoding,Cp1252
OS Name,Windows 7
OS Patch Version,Service Pack 1
OS Version,6.1
Status,CONNECTED,
Timezone,China Standard Time
Version,4.3.1_02 (build 20130308175442)
