GENEOS Status Report,
Monday 20 Jul 2015 17:38:16,
samplingStatus,Currency,HistClose,IndexName,IndexValue,NetChange,Open,Time,TradeDate,
OK,GBP,6753.75,FTSE 100 INDEX  ,6755.24,1.49,6753.75,14:59:28,7/15/2015,
instrument,Name,Value,LastValue,PctChange,Time,DataState,Timeliness,SeqNumber,Ticks,
NG.L,NATIONAL GRID   ,858.7,855.2,0.656,14:59:26,Ok,RealTime,39712,8,
NXT.L,NEXT            ,7550,7505,0.066,14:58:31,Ok,RealTime,55392,1,
OML.L,OLD MUTUAL      ,217.3,214.6,0.277,14:57:32,Ok,RealTime,61504,3,
PRU.L,PRUDENTIAL      ,1617.6,1603.5,-0.031,14:59:22,Ok,RealTime,29824,5,
PSN.L,PERSIMMON       ,2003,1988,1.009,14:59:7,Ok,RealTime,59616,4,
PSON.L,PEARSON         ,1230,1236,-0.081,14:59:1,Ok,RealTime,19152,1,
RB.L,RECKIT BNCSR GRP,5908,5827,0.819,14:59:26,Ok,RealTime,45520,9,
RBS.L,ROYAL BANK SCOT ,356.2,345.1,0.907,14:58:39,Ok,RealTime,53264,5,
RDSa.L,RDS 'A          ,1825.5,1811,-0.68,14:59:27,Ok,RealTime,60608,6,
RDSb.L,ROYAL DTCH SHL B,1849.5,1833.5,-0.565,14:59:26,Ok,RealTime,39248,7,
REL.L,RELX            ,1102,1077,-0.181,14:54:4,Ok,RealTime,30624,3,
RIO.L,RIO TINTO       ,2599.5,2564,0.736,14:59:26,Ok,RealTime,8704,25,
RMG.L,ROYAL MAIL      ,518,512.0209,-0.193,14:58:36,Ok,RealTime,3568,1,
RR.L,ROLLS ROYCE PLC ,778.5,760.097889,0.064,14:58:46,Ok,RealTime,56832,1,
RRS.L,RANDGOLD RES.   ,4107,4139,-1.345,14:59:24,Ok,RealTime,46352,8,
RSA.L,RSA INSRANCE GRP,425.1,405.253534,1.747,14:59:5,Ok,RealTime,58400,3,
SAB.L,SABMILLER       ,3472,3429,-0.344,14:59:21,Ok,RealTime,18480,6,
SBRY.L,SAINSBURY(J)    ,266.4,263.774,-0.486,14:59:8,Ok,RealTime,2512,3,
SDR.L,SCHRODERS       ,3164,3104,0.253,14:58:13,Ok,RealTime,22400,4,
SGE.L,SAGE GROUP      ,532.5,524,-0.094,14:58:43,Ok,RealTime,18848,1,
SHP.L,SHIRE           ,5450,5515,-0.638,14:59:26,Ok,RealTime,36896,9,
SJP.L,ST JAMESS PLACE ,977,952,0.982,14:59:28,Ok,RealTime,48272,12,
SKYB.L,SKY PLC         ,1126,1124,0.357,14:59:16,Ok,RealTime,55792,4,
SL.L,STANDARD LIFE   ,460.8,457,0.876,14:58:31,Ok,RealTime,55792,2,
SMIN.L,SMITHS GROUP    ,1141,1118.7054,0.352,14:57:38,Ok,RealTime,6832,2,
SN.L,SMITH&NEPHEW    ,1144,1124,0.087,14:58:9,Ok,RealTime,3792,2,
SPD.L,SPORTS DI INT   ,734.5,731.665,-0.272,14:58:45,Ok,RealTime,47712,2,
SSE.L,SSE PLC         ,1618,1598.609289,-0.492,14:58:31,Ok,RealTime,10336,5,
STAN.L,STANDRD CHART BK,1016.5,1007.9819,-0.392,14:59:16,Ok,RealTime,112,5,
SVT.L,SEVERN TRENT    ,2170,2150,0.977,14:59:24,Ok,RealTime,16976,4,
TPK.L,TRAVIS PERKINS  ,2230,2120,3.05,14:59:27,Ok,RealTime,21616,5,
TSCO.L,TESCO           ,217.35,208.1933,0.416,14:59:6,Ok,RealTime,20368,1,
TUIT.L,TUI AG          ,1078,1086.74,1.126,14:59:17,Ok,RealTime,24800,4,
TW.L,TAYLOR WIMPEY   ,189.5,192,0.265,14:59:22,Ok,RealTime,63840,3,
ULVR.L,UNILEVER        ,2888.182,2881,-0.483,14:59:24,Ok,RealTime,6368,11,
UU.L,UNITED UTIL GRP ,887,889,0.339,14:59:10,Ok,RealTime,4240,5,
VOD.L,VODAFONE GROUP  ,235.8,237.1,-0.883,14:59:21,Ok,RealTime,33472,9,
WEIR.L,WEIR GROUP      ,1590,1618,-0.313,14:58:34,Ok,RealTime,38304,2,
WOS.L,WOLSELEY        ,4303,4181.16685,1.009,14:58:14,Ok,RealTime,9056,7,
WPP.L,WPP PLC         ,1507,1483,0,14:57:46,Ok,RealTime,48624,1,
WTB.L,WHITBREAD       ,5210,5235.9,-0.096,14:55:58,Ok,RealTime,23008,1,
