GENEOS Status Report,
Monday 20 Jul 2015 17:38:00,
samplingStatus,Currency,HistClose,IndexName,IndexValue,NetChange,Open,Time,TradeDate,
OK,GBP,3737.14,FTSE 350 INDEX  ,3738.61,1.47,3737.14,14:59:9,7/15/2015,
instrument,Name,Value,LastValue,PctChange,Time,DataState,Timeliness,SeqNumber,Ticks,
RCP.L,RIT CAPITAL     ,1580,1569,0.318,14:49:57,Ok,RealTime,8576,1,
RDI.L,REDEFINE INTL   ,52.9,52.6,-0.094,14:58:34,Ok,RealTime,42624,2,
RDSa.L,RDS 'A          ,1826,1811,-0.653,14:59:7,Ok,RealTime,58992,24,
RDSb.L,ROYAL DTCH SHL B,1850,1833.5,-0.538,14:59:8,Ok,RealTime,37246,5,
RDW.L,REDROW          ,457.1,459.6,1.106,14:58:47,Ok,RealTime,49328,8,
REL.L,RELX            ,1102,1077,-0.181,14:54:4,Ok,RealTime,30448,1,
REX.L,REXAM           ,563.5,563,-0.442,14:58:39,Ok,RealTime,32208,1,
RGU.L,REGUS           ,269.7,264.3,1.011,14:58:12,Ok,RealTime,45552,3,
RIO.L,RIO TINTO       ,2600.5,2564,0.775,14:59:7,Ok,RealTime,4656,23,
RMG.L,ROYAL MAIL      ,518,512.0209,-0.193,14:58:36,Ok,RealTime,3360,4,
RMV.L,RIGHTMOVE ORD   ,3381,3259,-0.177,14:58:33,Ok,RealTime,38832,1,
RNK.L,RANK GROUP      ,243.7,235.6,1.499,14:58:34,Ok,RealTime,9472,6,
ROR.L,ROTORK PLC      ,209.9,222.3,-3.004,14:58:53,Ok,RealTime,45392,2,
RPC.L,RPC GROUP       ,660,669,0.917,14:57:47,Ok,RealTime,47744,2,
RPS.L,RPS GROUP       ,230.75,222.5,2.215,14:58:55,Ok,RealTime,10608,2,
RR.L,ROLLS ROYCE PLC ,778.5,760.097889,0.064,14:58:46,Ok,RealTime,56816,1,
RRS.L,RANDGOLD RES.   ,4109,4139,-1.297,14:59:8,Ok,RealTime,45440,20,
RSA.L,RSA INSRANCE GRP,425.1,405.253534,1.747,14:59:5,Ok,RealTime,58304,9,
RSER.L,RIVERSTONE      ,978,981.5,-0.811,14:58:34,Ok,RealTime,15696,3,
RSW.L,RENISHAW PLC    ,2235,2139.408046,4.05,14:58:46,Ok,RealTime,384,8,
RTN.L,RESTAURANT GROUP,691.5,700.333333,-0.647,14:57:59,Ok,RealTime,56656,2,
RTO.L,RENTOKIL INITIAL,151,149,0.199,14:55:6,Ok,RealTime,48480,2,
SAB.L,SABMILLER       ,3472.5,3429,-0.33,14:59:7,Ok,RealTime,17632,26,
SAGAG.L,SAGA            ,219.3,218.2,1.481,14:59:6,Ok,RealTime,1392,6,
SBRY.L,SAINSBURY(J)    ,266.4,263.774,-0.486,14:59:8,Ok,RealTime,2096,14,
SCIN.L,SCOTTISH INV TR ,639.5,638,-0.234,14:55:25,Ok,RealTime,30576,6,
SDR.L,SCHRODERS       ,3164,3104,0.253,14:58:13,Ok,RealTime,22272,1,
SGC.L,STAGECOACH GRP  ,395,394.7,0.051,14:58:1,Ok,RealTime,52496,5,
SGE.L,SAGE GROUP      ,532.5,524,-0.094,14:58:43,Ok,RealTime,18816,2,
SGP.L,SUPERGROUP      ,1364,1345,-0.438,14:58:46,Ok,RealTime,8304,3,
SGRO.L,SEGRO           ,433.6,423,-0.046,14:59:2,Ok,RealTime,30624,4,
SHB.L,SHAFTESBURY PLC ,906,902,0.055,14:59:6,Ok,RealTime,54800,9,
SHI.L,SIG PLC         ,202.3,202.9,-0.59,14:58:11,Ok,RealTime,61616,1,
SHP.L,SHIRE           ,5450,5515,-0.638,14:59:8,Ok,RealTime,36336,8,
SIA.L,SOCO INTL       ,164.75,162,-0.152,14:57:59,Ok,RealTime,29872,1,
SJP.L,ST JAMESS PLACE ,976.5,952,0.93,14:58:46,Ok,RealTime,47856,2,
SKYB.L,SKY PLC         ,1124.5,1124,0.267,14:58:55,Ok,RealTime,54640,3,
SL.L,STANDARD LIFE   ,460.8,457,0.876,14:58:31,Ok,RealTime,55632,2,
SMDS.L,SMITH (DS)      ,405.5,393,1.884,14:59:7,Ok,RealTime,11392,4,
SMIN.L,SMITHS GROUP    ,1141,1118.7054,0.352,14:57:38,Ok,RealTime,6752,1,
SMP.L,ST.MODWEN       ,462.3,455,0.022,14:58:34,Ok,RealTime,2768,1,
SMT.L,SCOT MTG INV TR ,266.5,264.8,-0.187,14:58:39,Ok,RealTime,34704,1,
SMWH.L,WH SMITH        ,1624,1572,1.373,14:58:46,Ok,RealTime,3664,2,
SN.L,SMITH&NEPHEW    ,1144,1124,0.087,14:58:9,Ok,RealTime,3648,2,
SNR.L,SENIOR          ,280.9,285,-0.812,14:58:35,Ok,RealTime,21648,2,
SPD.L,SPORTS DI INT   ,734.5,731.665,-0.272,14:58:45,Ok,RealTime,47680,2,
SPI.L,SPIRE HEALTH    ,345.5,339.8,0.935,14:58:34,Ok,RealTime,37504,1,
SPX.L,SPIRAX-SARCO    ,3345,3351,-0.624,14:57:44,Ok,RealTime,53296,1,
SRP.L,SERCO GROUP     ,132.3,128.2,0.838,14:59:3,Ok,RealTime,42752,1,
SSE.L,SSE PLC         ,1618,1598.609289,-0.492,14:58:31,Ok,RealTime,10032,1,
SSPG.L,SSP GRP         ,294.2,294.4,0.65,14:58:34,Ok,RealTime,55760,2,
STAN.L,STANDRD CHART BK,1016.5,1007.9819,-0.392,14:59:0,Ok,RealTime,64272,1,
SVI.L,SVG CAPITAL     ,500.5,493.7,0.704,14:58:43,Ok,RealTime,48304,6,
SVS.L,SAVILLS         ,972.5,960,0.361,14:58:32,Ok,RealTime,45184,1,
SVT.L,SEVERN TRENT    ,2171,2150,1.024,14:58:38,Ok,RealTime,16832,5,
SXS.L,SPECTRIS        ,1969,2029,-2.089,14:58:46,Ok,RealTime,26192,11,
SYNTS.L,SYNTHOMER       ,303.1,305,-1.591,14:57:12,Ok,RealTime,23744,1,
SYR.L,SYNERGY HLTH.   ,1800,1770,0.503,14:58:35,Ok,RealTime,47152,2,
TALK.L,TALKTALK        ,382.1,376,0.553,14:58:34,Ok,RealTime,26592,2,
TATE.L,TATE & LYLE     ,506,511.5,0.198,14:58:21,Ok,RealTime,4992,1,
TCG.L,THOMAS COOK GRP ,130.2,128.1118811,0.231,14:58:1,Ok,RealTime,33088,1,
TCY.L,TELECITY        ,1051,1046,0.478,14:56:54,Ok,RealTime,12576,1,
TED.L,TED BAKER       ,3003,3015,-0.464,14:58:34,Ok,RealTime,26928,3,
TEM.L,TEMPLETON EMERGE,493.9,503,-0.943,14:58:5,Ok,RealTime,22384,2,
TEP.L,TELECOM PLUS    ,1085,1010,3.531,14:58:6,Ok,RealTime,55792,1,
TLPR.L,TULLETT PREBON  ,389.7,373.5,2.31,14:58:35,Ok,RealTime,9168,1,
TLW.L,TULLOW OIL      ,285.3,302.3702,-3.68,14:59:4,Ok,RealTime,17728,6,
TMPL.L,TEMPLE BAR INV  ,1169,1167.5,0.171,14:58:34,Ok,RealTime,30512,1,
TPK.L,TRAVIS PERKINS  ,2229,2120,3.004,14:58:29,Ok,RealTime,21392,2,
TRY.L,TR PROPERTY INV ,305.4726,297.6,0.131,14:49:30,Ok,RealTime,13344,3,
TSB.L,TSB BNK GRP     ,349.5,339.5,0.287,14:53:21,Ok,RealTime,33840,1,
TSCO.L,TESCO           ,217.35,208.1933,0.416,14:59:6,Ok,RealTime,19824,16,
TUIT.L,TUI AG          ,1075,1086.74,0.844,14:58:11,Ok,RealTime,23792,2,
TW.L,TAYLOR WIMPEY   ,189.5,192,0.265,14:59:4,Ok,RealTime,63504,16,
UBM.L,UBM             ,522.5,515.5,0.384,14:55:31,Ok,RealTime,40112,1,
UDG.L,UDG HEALTHCARE  ,503,496,1.126,14:58:37,Ok,RealTime,36960,4,
UKCM.L,UK COMM PROP TST,89.85,90.0345,-0.828,14:58:34,Ok,RealTime,62816,1,
ULE.L,ULTRA ELECS HLDG,1739,1723,-0.115,14:58:34,Ok,RealTime,40576,1,
ULVR.L,UNILEVER        ,2886,2881,-0.483,14:58:14,Ok,RealTime,4368,9,
UTG.L,UNITE GROUP     ,618.5,597.25,0.406,14:58:34,Ok,RealTime,32176,2,
UU.L,UNITED UTIL GRP ,887,889,0.339,14:58:24,Ok,RealTime,3280,1,
VCTX.L,VICTREX         ,2027,1959,2.374,14:59:3,Ok,RealTime,60896,2,
VED.L,VEDANTA RES     ,461.6,454.6,2.101,14:58:46,Ok,RealTime,65264,1,
VM.L,VIRGIN MONEY    ,382.8,381,-1.594,14:58:24,Ok,RealTime,18160,1,
VOD.L,VODAFONE GROUP  ,235.85,237.1,-0.862,14:59:8,Ok,RealTime,31310,30,
VSVS.L,VESUVIUS        ,412.5,423.6,-1.972,14:59:7,Ok,RealTime,15904,11,
WEIR.L,WEIR GROUP      ,1590,1618,-0.313,14:58:34,Ok,RealTime,38256,3,
WG.L,WOOD GRP (JOHN) ,617,589,-0.484,14:56:9,Ok,RealTime,8016,1,
WKP.L,WORKSPACE GROUP ,947,896.5,2.434,14:55:58,Ok,RealTime,1280,1,
WMH.L,WILLIAM HILL    ,399.6,389.02168,1.887,14:59:9,Ok,RealTime,27742,26,
WOS.L,WOLSELEY        ,4303,4181.16685,1.009,14:58:14,Ok,RealTime,8656,2,
WPP.L,WPP PLC         ,1507,1483,0,14:57:46,Ok,RealTime,48448,2,
WTAN.L,WITAN INV TST   ,810.5,803.835,0.185,14:51:57,Ok,RealTime,41424,2,
WTB.L,WHITBREAD       ,5210,5235.9,-0.096,14:55:58,Ok,RealTime,22992,2,
WWH.L,WORLDWIDE HC    ,2059.9916,1967.5,2.19,14:54:49,Ok,RealTime,47504,2,
ZPLAZ.L,ZOOPLA PROPERTY ,242,238.8,-1.184,14:58:34,Ok,RealTime,42208,4,
