Process Name,/group,instanceCount,args,percentCPU,processId,parentProcessId,percentMemory,user,startTime,ageDays,ageHours,fileDescriptors,state,cpuTime,cpuSeconds
XFM_EMEA2_APPLICATION, ,1,/tools/jav ... XX:+PrintGCApplicationStoppedTime com.ml.ets.apptk.APPTKMain,0.01 %,27368,27088,2.65 %,ettprod,Mon Jun 15 05:45:16 2009,0 Days,10 Hours,117,Sleeping, , ,
XFM_EMEA2_CONTROLLER, ,1,/opt/TPper ... aapettp14/apps/ettprod/XFM_EMEA2/scripts/tprun -app XFM_EMEA2,0.00 %,27088,1,0.04 %,ettprod,Mon Jun 15 05:45:13 2009,0 Days,10 Hours,5,Sleeping, , ,
